22 26714 8090
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 26258 8017 14691
22 26279 8019 14597
22 26376 8022 14628
22 26572 8025 14726
21 26738 8029 14706
23 26863 8030 14712
21 26921 8027 14693
22 26888 8034 14696
21 26772 8028 14668
23 26652 8032 14709
21 26538 8029 14711
22 26413 8030 14674
22 26300 8031 14686
22 26191 8031 14695
21 26163 8031 14716
23 26152 8033 14684
21 26179 8034 14711
22 26201 8040 14579
22 26250 8045 14573
22 26313 8051 14574
21 26350 8053 14569
23 26379 8062 14582
21 26379 8075 14554
22 26348 8083 14579
22 26331 8091 14592
22 26303 8101 14585
21 26283 8112 14587
23 26344 8125 14585
21 26476 8118 14564
22 26632 8126 14574
22 26894 8141 14579
22 27044 8128 14657
21 27125 8135 14688
23 27072 8141 14708
21 26982 8146 14700
22 26814 8152 14710
22 26682 8159 14694
22 26523 8160 14710
21 26410 8164 14665
23 26296 8165 14686
21 26250 8162 14706
22 26256 8166 14686
23 26276 8164 14690
21 26310 8164 14704
22 26371 8166 14683
22 26406 8170 14705
22 26449 8186 14577
21 26450 8186 14562
23 26449 8193 14576
21 26405 8202 14557
22 26347 8203 14586
22 26387 8216 14573
22 26520 8233 14582
21 26690 8243 14566
23 26922 8257 14582
21 27056 8274 14594
22 27132 8296 14569
22 27128 8312 14591
22 27001 8326 14581
21 26822 8343 14576
23 26633 8355 14580
21 26537 8367 14717
22 26409 8373 14704
22 26338 8384 14710
22 26274 8392 14711
21 26210 8396 14708
23 26221 8399 14711
21 26256 8403 14696
22 26313 8408 14707
22 26375 8406 14701
22 26385 8406 14685
21 26363 8409 14692
22 26375 8401 14686
22 26366 8398 14708
22 26367 8395 14689
21 26380 8388 14566
23 26473 8385 14592
21 26679 8375 14584
22 26928 8366 14591
22 27139 8360 14562
22 27256 8354 14581
21 27240 8348 14583
23 27132 8340 14568
21 26965 8327 14573
22 26767 8310 14565
23 26620 8298 14586
21 26448 8279 14569
22 26332 8269 14584
22 26266 8260 14588
22 26247 8249 14586
21 26249 8247 14643
23 26326 8248 14700
21 26369 8244 14709
