21 26547à
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 26525 18112 3898
22 26534 18111 3899
22 26542 18112 3897
22 26544 18112 3899
21 26556 18117 3899
23 26566 18113 3902
21 26572 18112 3901
22 26568 18115 3899
21 26569 18117 3903
23 26558 18115 3900
21 26537 18117 3899
22 26553 18121 3900
22 26537 18115 3900
22 26546 18123 3901
21 26554 18115 3899
23 26556 18118 3899
21 26542 18115 3904
22 26529 18118 3902
22 26542 18116 3899
22 26526 18117 3899
21 26538 18118 3901
23 26549 18115 3902
21 26553 18116 3904
22 26569 18116 3901
22 26599 18116 3900
22 26621 18113 3900
21 26635 18110 3900
23 26614 18106 3900
21 26582 18105 3900
22 26578 18104 3899
22 26564 18096 3900
22 26561 18106 3901
21 26547 18100 3899
23 26561 18102 3899
21 26567 18099 3902
22 26574 18097 3898
22 26586 18099 3897
22 26605 18094 3898
21 26582 18092 3900
23 26584 18088 3901
21 26583 18089 3899
22 26573 18085 3902
23 26573 18086 3899
21 26570 18086 3902
22 26563 18082 3897
22 26548 18084 3899
22 26545 18077 3900
21 26540 18076 3901
23 26546 18078 3897
21 26550 18072 3902
22 26546 18071 3900
22 26534 18070 3902
22 26551 18065 3900
21 26550 18070 3901
23 26558 18070 3899
21 26562 18071 3902
22 26547 18066 3900
22 26553 18065 3905
22 26563 18058 3899
21 26554 18062 3901
23 26538 18059 3902
21 26542 18057 3902
22 26574 18059 3900
22 26612 18052 3903
22 26602 18056 3901
21 26629 18054 3900
23 26635 18053 3905
21 26612 18051 3898
22 26596 18046 3900
22 26589 18046 3901
22 26593 18050 3898
21 26572 18047 3898
22 26555 18044 3899
22 26555 18047 3902
22 26544 18048 3896
21 26559 18046 3904
23 26538 18042 3902
21 26554 18041 3902
22 26583 18040 3901
22 26574 18037 3900
22 26582 18039 3901
21 26557 18036 3902
23 26560 18036 3904
21 26556 18038 3902
22 26543 18035 3904
23 26546 18032 3903
21 26557 18032 3900
22 26555 18034 3902
22 26583 18033 3902
22 26533 18033 3900
