Delay= 19552
Source file: EDA_withMillis_noAccel_Final__1_.ino
Millis PPG EDA T_Skin
25 32767 31338 4488
22 32767 31330 4524
22 32767 31325 4511
22 32767 31317 4497
21 32767 31321 4520
23 32767 31317 4523
21 32767 31314 4523
22 32767 31312 4487
22 32767 31308 4491
22 32767 31305 4564
21 32767 31305 4594
23 32767 31302 4573
21 32767 31304 4517
22 32767 31302 4503
22 32767 31304 4506
22 32767 31305 4525
21 32767 31305 4504
23 32767 31303 4470
21 32767 31304 4487
22 32767 31302 4529
21 32767 31304 4601
23 32767 31303 4577
21 32767 31302 4537
22 32767 31302 4517
22 32767 31303 4504
22 32767 31302 4525
21 32767 31303 4521
23 32767 31304 4505
21 32767 31305 4468
22 32767 31303 4525
22 32767 31305 4598
22 32767 31305 4596
21 32767 31304 4554
23 32767 31304 4518
22 32767 31305 4503
21 32767 31304 4523
23 32767 31303 4504
21 32767 31305 4522
22 32767 31303 4487
22 32767 31303 4504
22 32767 31301 4561
21 32767 31301 4580
23 32767 31301 4576
21 32767 31301 4519
22 32767 31299 4534
22 32767 31299 4489
22 32767 31299 4543
21 32767 31299 4504
23 32767 31299 4504
21 32767 31300 4503
22 32767 31301 4513
22 32767 31300 4598
22 32767 31301 4595
21 32767 31300 4537
23 32767 31299 4519
21 32767 31300 4504
22 32767 31299 4541
22 32767 31300 4522
22 32767 31301 4486
21 32767 31299 4487
23 32767 31297 4507
21 32767 31298 4582
22 32767 31297 4579
22 32767 31299 4540
22 32767 31299 4519
21 32767 31296 4505
23 32767 31296 4522
21 32767 31294 4542
22 32767 31294 4505
22 32767 31296 4505
22 32767 31297 4489
21 32767 31298 4566
23 32767 31298 4581
21 32767 31299 4575
22 32767 31299 4537
23 32767 31297 4500
21 32767 31299 4523
22 32767 31302 4541
22 32767 31301 4506
22 32767 31302 4504
21 32767 31300 4485
23 32767 31300 4532
21 32767 31301 4583
22 32767 31299 4576
21 32767 31299 4575
23 32767 31299 4518
21 32767 31298 4522
