Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
20 26111 31565 4443
21 26294 31561 4513
23 26395 31551 4530
22 26486 31545 4546
22 26537 31542 4530
22 26668 31536 4513
21 26759 31528 4529
23 26690 31527 4545
21 26697 31528 4494
23 26610 31527 4566
21 26547 31528 4533
23 26460 31525 4530
21 26526 31525 4545
22 26453 31524 4528
22 26410 31525 4510
22 26400 31520 4547
22 26392 31523 4511
22 26410 31522 4495
21 26399 31520 4512
23 26345 31520 4498
21 26371 31518 4530
23 26344 31519 4549
21 26316 31519 4513
22 26331 31516 4531
22 26265 31519 4532
22 26111 31518 4511
22 26155 31518 4529
22 26085 31521 4531
21 26025 31516 4494
23 25913 31520 4513
21 26044 31519 4497
23 25945 31519 4551
21 26110 31515 4548
22 26016 31516 4512
22 26113 31515 4530
22 26151 31516 4547
22 26270 31510 4530
22 26431 31507 4512
21 26519 31503 4531
23 26586 31496 4529
22 26716 31492 4494
22 26649 31490 4549
22 26613 31486 4566
21 26482 31488 4548
23 26531 31487 4513
21 26504 31482 4514
23 26442 31484 4513
21 26443 31488 4528
22 26411 31491 4513
22 26364 31494 4528
22 26415 31498 4509
22 26289 31503 4512
22 26311 31510 4550
22 26311 31508 4532
22 26401 31507 4530
21 26332 31507 4547
23 26289 31512 4513
21 26319 31509 4495
23 26277 31512 4547
21 26343 31514 4547
22 26238 31513 4512
22 26260 31513 4513
22 26195 31519 4479
22 26209 31519 4532
22 26157 31514 4548
21 26246 31514 4547
23 26216 31515 4512
21 26140 31521 4533
23 26151 31519 4531
21 26267 31518 4549
22 26269 31518 4567
22 26399 31518 4493
22 26544 31523 4512
22 26528 31518 4517
22 26680 31521 4550
22 26688 31518 4548
22 26712 31522 4548
22 26653 31523 4513
22 26616 31520 4531
22 26518 31521 4548
21 26387 31521 4528
23 26379 31519 4515
21 26432 31519 4512
23 26350 31523 4513
21 26363 31516 4514
22 26301 31521 4532
22 26361 31520 4548
22 26351 31516 4548
22 26245 31520 4533
22 26351 31516 4529
22 26247 31514 4530
22 26323 31518 4546
21 26230 31519 4513
23 26237 31519 4495
21 26234 31517 4528
23 26216 31516 4549
21 26194 31518 4549
22 26291 31516 4532
22 26207 31519 4548
22 26180 31521 4513
22 26137 31519 4513
22 26153 31519 4529
21 26145 31520 4547
23 26123 31516 4528
21 26176 31521 4495
