Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 26332 20526 4147
22 26334 20523 4140
22 26349 20519 4141
22 26332 20517 4147
21 26343 20522 4143
23 26355 20512 4139
21 26380 20511 4141
22 26350 20507 4151
21 26413 20505 4140
23 26399 20496 4143
21 26364 20496 4146
22 26386 20485 4142
22 26380 20479 4148
22 26405 20473 4137
21 26383 20470 4140
23 26355 20464 4141
21 26363 20461 4138
22 26414 20453 4140
22 26382 20457 4144
22 26328 20450 4141
21 26321 20446 4139
23 26321 20440 4140
21 26356 20436 4140
22 26366 20432 4142
22 26347 20428 4140
22 26367 20427 4144
21 26367 20431 4139
23 26348 20424 4142
21 26361 20417 4148
22 26363 20418 4142
22 26366 20416 4140
22 26358 20406 4141
21 26365 20403 4144
23 26348 20400 4141
21 26349 20398 4147
22 26336 20398 4143
22 26344 20394 4140
22 26349 20395 4139
21 26345 20388 4144
23 26354 20386 4139
21 26393 20382 4144
22 26369 20380 4145
23 26367 20378 4142
21 26381 20380 4143
22 26362 20369 4143
22 26338 20373 4150
22 26349 20368 4141
21 26333 20363 4143
23 26358 20364 4153
21 26372 20360 4137
22 26391 20357 4140
22 26393 20355 4143
22 26327 20357 4143
21 26300 20349 4139
23 26335 20351 4141
21 26370 20349 4142
22 26350 20350 4145
22 26371 20341 4139
22 26405 20340 4136
21 26417 20337 4139
23 26387 20333 4139
21 26372 20329 4143
22 26345 20323 4138
22 26334 20318 4137
22 26334 20318 4147
21 26332 20315 4140
23 26316 20311 4141
21 26343 20305 4150
22 26367 20310 4139
22 26353 20299 4139
22 26368 20299 4141
21 26365 20300 4139
22 26348 20291 4139
22 26366 20289 4142
22 26323 20291 4144
21 26328 20286 4139
23 26381 20283 4140
21 26362 20283 4140
22 26372 20281 4138
22 26390 20276 4138
22 26389 20270 4142
21 26353 20274 4140
23 26370 20270 4138
21 26379 20265 4138
22 26413 20269 4140
23 26369 20266 4140
21 26359 20264 4147
22 26340 20263 4141
22 26319 20261 4139
22 26305 20258 4145
21 26366 20258 4139
23 26387 20265 4139
21 26404 20256 4138
22 26370 20254 4141
22 26353 20265 4140
22 26350 20245 4142
21 26352 20248 4139
23 26339 20246 4139
21 26363 20246 4141
22 26370 20245 4138
22 26374 20239 4140
22 26403 20239 4140
21 26378 20242 4141
23 26381 20235 4139
21 26361 20231 4140
22 26353 20233 4139
22 26384 20227 4139
22 26359 20230 4138
21 26324 20225 4144
23 26336 20225 4148
21 26301 20222 4142
22 26325 20218 4142
22 26363 20223 4146
22 26336 20220 4140
21 26346 20219 4139
23 26363 20215 4140
21 26364 20218 4145
22 26411 20212 4140
22 26387 20214 4141
22 26384 20211 4138
21 26369 20210 4145
23 26363 20207 4139
21 26355 20209 4143
22 26343 20208 4137
22 26367 20204 4138
22 26370 20205 4140
21 26389 20205 4140
23 26399 20201 4136
22 26383 20202 4147
21 26345 20197 4140
23 26351 20200 4142
21 26354 20197 4143
22 26381 20200 4140
22 26394 20193 4138
22 26412 20194 4149
21 26388 20192 4138
22 26348 20190 4139
22 26335 20187 4141
22 26329 20192 4147
21 26366 20184 4141
23 26361 20186 4140
21 26336 20185 4140
22 26331 20182 4142
22 26331 20179 4141
22 26333 20177 4137
21 26352 20178 4140
23 26370 20175 4139
21 26372 20173 4139
22 26373 20176 4141
22 26381 20173 4140
22 26392 20169 4145
21 26362 20172 4139
23 26338 20167 4139
21 26314 20164 4144
22 26335 20165 4140
22 26329 20170 4138
22 26357 20159 4140
21 26378 20162 4137
23 26353 20169 4141
21 26319 20157 4140
22 26337 20156 4139
22 26364 20152 4139
22 26411 20155 4139
21 26399 20151 4138
23 26358 20148 4139
21 26347 20148 4139
22 26362 20154 4144
22 26384 20146 4139
22 26375 20144 4141
22 26391 20142 4144
22 26352 20142 4139
22 26316 20136 4139
21 26311 20134 4142
23 26326 20137 4146
21 26357 20139 4138
