Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 25855 291 4236
27 25801 293 4234
23 25794 295 4235
25 25741 296 4236
23 25703 296 4236
24 25700 297 4234
24 25656 297 4234
24 25693 298 4234
24 25712 300 4234
24 25782 299 4234
24 25787 299 4237
23 25763 300 4234
25 25761 299 4233
23 25796 299 4234
25 25965 302 4236
23 26284 301 4236
24 26536 300 4236
24 26645 300 4234
24 26568 298 4234
24 26387 297 4235
23 26166 296 4235
25 25992 293 4234
23 25870 290 4236
24 25763 287 4234
25 25712 286 4235
23 25751 281 4233
24 25782 276 4233
24 25830 274 4237
24 25855 269 4235
23 25864 269 4235
25 25855 262 4236
23 25802 260 4235
24 25767 256 4233
25 25719 253 4234
23 25717 250 4233
24 25706 248 4235
24 25739 245 4234
24 25731 243 4233
23 25746 241 4233
25 25728 239 4236
23 25741 240 4234
24 25791 239 4234
25 25964 240 4234
23 26256 241 4235
24 26536 243 4236
24 26689 244 4236
24 26712 249 4236
23 26530 248 4237
25 26321 248 4233
24 26115 249 4234
23 25970 250 4235
25 25844 250 4235
23 25760 250 4236
24 25777 251 4232
24 25782 251 4233
24 25801 252 4236
23 25814 252 4234
25 25836 253 4236
24 25826 253 4236
23 25812 255 4234
25 25766 256 4238
23 25763 259 4236
24 25743 257 4234
24 25732 257 4233
24 25713 256 4235
23 25746 257 4233
25 25739 257 4231
24 25727 257 4233
23 25732 257 4236
25 25704 256 4236
23 25717 255 4235
24 25726 256 4234
24 25739 254 4235
24 25772 254 4236
24 25894 252 4234
24 26170 253 4236
24 26511 255 4234
23 26756 252 4236
25 26775 254 4238
23 26687 252 4236
24 26493 251 4234
24 26258 251 4235
24 26061 251 4233
24 25910 251 4235
24 25838 251 4235
24 25793 251 4236
23 25792 251 4236
25 25797 252 4232
23 25794 252 4236
24 25805 254 4238
24 25825 252 4233
24 25805 255 4239
24 25796 255 4233
24 25797 253 4235
24 25759 255 4234
23 25758 254 4235
25 25727 255 4232
23 25710 254 4236
24 25666 254 4233
25 25679 254 4235
23 25707 255 4236
24 25685 255 4233
24 25739 255 4236
24 25723 254 4235
23 25771 255 4234
25 25757 254 4237
23 25751 255 4235
24 25752 254 4235
25 25808 254 4234
23 25902 254 4234
24 26227 255 4235
24 26548 254 4233
24 26744 254 4235
23 26753 254 4236
25 26611 256 4236
23 26439 255 4233
24 26184 256 4235
25 25999 254 4233
23 25851 257 4233
24 25822 254 4232
24 25766 254 4233
24 25778 253 4234
23 25774 253 4236
25 25814 253 4233
24 25851 254 4235
23 25830 254 4235
25 25819 253 4233
23 25784 254 4234
24 25763 254 4235
24 25768 254 4234
24 25753 254 4232
23 25734 254 4234
25 25710 256 4239
24 25744 255 4236
23 25740 254 4236
25 25723 254 4238
23 25709 254 4238
24 25719 253 4236
24 25730 254 4232
24 25758 254 4235
23 25736 254 4236
25 25765 253 4234
24 25863 254 4235
23 26099 253 4234
25 26403 253 4233
23 26639 254 4234
24 26688 252 4239
24 26593 255 4234
24 26454 254 4237
24 26265 252 4232
24 26083 251 4232
24 25919 250 4234
23 25810 250 4235
25 25732 249 4236
23 25724 249 4236
24 25753 248 4237
24 25805 247 4232
24 25849 248 4234
24 25832 247 4236
24 25811 246 4232
24 25782 245 4235
23 25822 246 4236
25 25786 247 4237
23 25764 246 4236
24 25766 243 4236
24 25770 244 4232
24 25717 243 4235
24 25701 243 4236
24 25690 243 4231
24 25683 242 4236
23 25704 241 4235
25 25729 243 4237
23 25768 242 4235
24 25798 242 4236
25 25792 242 4236
23 25824 242 4236
