
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
20 25023 11 4335
18 24546 10 4427
20 24135 14 4446
19 24138 14 4427
20 24391 15 4445
19 24939 15 4427
20 25767 12 4427
19 26666 15 4447
20 27477 16 4427
19 27878 15 4409
21 27927 16 4426
19 27510 16 4445
19 27084 16 4409
20 26746 16 4410
19 26437 17 4445
20 26218 16 4410
19 26206 17 4427
20 26223 17 4424
19 26173 15 4445
20 26147 16 4444
19 26155 16 4427
21 26212 15 4427
19 26338 17 4410
19 26897 16 4446
20 27557 18 4427
19 28154 16 4427
20 28356 17 4445
19 28023 15 4445
20 27345 17 4445
19 26489 16 4445
20 25914 16 4427
20 25832 17 4428
20 25998 16 4427
19 26554 16 4445
20 26922 16 4445
19 26972 16 4428
19 26530 16 4428
20 25828 16 4409
19 25208 17 4428
20 24701 16 4445
19 24651 17 4426
20 24757 16 4445
20 25051 16 4445
20 25449 16 4446
19 25969 17 4426
20 26432 16 4446
19 26718 17 4445
19 26845 18 4410
20 26911 17 4429
19 26962 17 4428
20 26963 17 4409
19 27035 17 4426
20 27189 14 4427
20 27289 17 4410
20 27351 17 4445
19 27334 18 4410
20 27236 16 4428
19 27058 12 4409
20 26927 16 4427
19 26831 15 4445
19 26905 17 4427
20 26888 16 4428
19 26937 16 4427
21 26904 18 4444
19 26858 18 4427
20 26752 17 4427
19 26586 15 4428
20 26370 17 4411
19 26522 17 4427
20 26638 17 4427
19 26626 14 4428
19 26329 16 4445
20 25984 17 4410
19 25784 17 4444
21 25681 16 4427
19 25798 14 4409
20 25913 18 4427
19 26042 17 4411
20 26249 16 4409
19 26561 15 4411
20 27030 14 4445
19 27471 17 4426
20 27539 16 4425
19 27215 16 4427
19 26692 17 4410
21 26196 18 4427
19 25885 15 4427
20 25749 18 4445
19 25856 17 4427
20 26097 17 4429
19 26362 14 4426
20 26665 16 4446
19 26944 17 4427
20 27200 16 4427
19 27352 17 4427
20 27481 16 4445
20 27321 17 4426
19 27017 17 4445
20 26748 15 4428
19 26518 13 4426
20 26364 18 4427
19 26289 16 4427
20 26463 17 4446
19 26615 16 4428
20 26740 16 4425
19 26817 17 4427
21 26792 16 4409
19 26665 15 4426
19 26504 16 4427
20 26323 16 4428
19 26204 16 4427
20 26163 16 4409
19 26089 16 4445
20 26045 15 4427
19 26144 16 4428
20 26296 14 4426
19 26489 16 4426
21 26740 17 4428
19 26918 18 4428
19 26952 15 4427
20 27037 17 4446
19 27022 15 4428
20 26961 16 4445
19 26770 16 4409
20 26601 16 4428
19 26501 16 4428
20 26536 15 4426
20 26549 14 4446
20 26748 16 4409
