
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 26562 21920 4143
27 26277 21896 4141
24 26022 21876 4142
24 25824 21859 4139
24 25686 21847 4138
24 25638 21836 4141
23 25625 21828 4140
25 25659 21820 4142
24 25746 21815 4141
24 25815 21811 4140
24 25902 21810 4142
24 25929 21805 4140
24 25909 21804 4142
23 25827 21802 4139
25 25773 21801 4139
24 25714 21800 4142
24 25667 21801 4143
24 25630 21802 4141
24 25633 21802 4141
24 25650 21804 4143
23 25682 21806 4140
25 25693 21806 4142
23 25699 21807 4140
25 25694 21809 4141
24 25781 21811 4143
24 26035 21816 4144
24 26414 21816 4142
23 26719 21818 4138
25 26838 21820 4141
23 26777 21821 4140
25 26557 21822 4141
24 26263 21824 4140
24 25978 21825 4141
24 25724 21826 4141
23 25549 21828 4141
25 25513 21830 4141
23 25537 21830 4139
25 25629 21831 4140
23 25705 21830 4140
24 25836 21830 4142
25 25912 21832 4142
23 25939 21833 4143
25 25912 21836 4143
23 25892 21833 4140
25 25809 21834 4141
23 25719 21833 4142
24 25669 21833 4141
25 25645 21834 4142
23 25625 21832 4141
25 25623 21831 4140
23 25622 21828 4140
25 25640 21828 4144
23 25682 21827 4141
24 25691 21829 4142
24 25710 21824 4141
24 25748 21824 4143
25 25980 21820 4140
23 26375 21818 4140
25 26807 21816 4141
23 27051 21814 4141
24 27019 21811 4142
24 26810 21808 4141
24 26476 21806 4141
25 26154 21802 4142
23 25909 21799 4140
24 25734 21795 4140
24 25667 21791 4145
24 25678 21788 4140
24 25693 21787 4145
24 25716 21782 4141
24 25768 21775 4142
24 25843 21771 4140
24 25843 21766 4140
24 25875 21762 4140
24 25818 21757 4141
24 25783 21753 4141
24 25715 21749 4141
24 25685 21744 4140
24 25651 21740 4141
23 25657 21735 4139
25 25651 21731 4141
24 25659 21726 4144
24 25640 21726 4143
24 25673 21718 4140
23 25668 21715 4141
25 25671 21711 4141
23 25694 21706 4143
25 25714 21704 4140
24 25678 21699 4140
24 25667 21695 4140
24 25705 21691 4140
23 25758 21689 4141
25 25986 21685 4142
23 26360 21685 4142
25 26799 21679 4141
23 27084 21676 4143
25 27165 21671 4139
24 26947 21668 4140
23 26598 21663 4142
25 26237 21659 4142
23 25918 21657 4141
25 25743 21652 4142
23 25650 21648 4142
25 25626 21645 4142
24 25678 21641 4142
23 25748 21637 4142
25 25803 21635 4142
23 25846 21631 4140
25 25855 21627 4145
23 25804 21620 4142
25 25767 21612 4140
23 25707 21604 4141
24 25658 21596 4141
25 25597 21588 4142
23 25549 21584 4140
25 25511 21578 4143
23 25473 21575 4141
24 25458 21572 4140
24 25429 21570 4143
24 25391 21570 4143
25 25311 21571 4143
23 25286 21572 4145
25 25287 21577 4145
23 25356 21578 4141
24 25444 21579 4141
24 25504 21585 4140
24 25473 21588 4141
24 25489 21594 4140
24 25511 21605 4142
25 25654 21616 4141
23 26012 21630 4138
24 26430 21646 4138
24 26721 21662 4139
24 26729 21682 4141
24 26482 21697 4141
24 26125 21716 4144
25 25785 21732 4140
23 25563 21752 4140
24 25507 21773 4141
24 25582 21794 4140
24 25718 21818 4140
24 25841 21839 4141
24 25928 21860 4137
24 26036 21880 4141
24 26087 21898 4140
24 26105 21913 4140
24 26085 21931 4140
24 26056 21942 4139
24 25998 21958 4145
24 25963 21968 4142
23 25865 21977 4141
25 25810 21986 4140
24 25807 21991 4140
24 25776 21993 4143
24 25797 21993 4140
24 25899 21987 4142
24 25939 21977 4140
24 25957 21962 4141
24 25908 21944 4141
23 25849 21920 4143
25 25793 21897 4141
24 25754 21872 4143
24 25725 21846 4141
24 25837 21820 4141
23 26137 21796 4140
25 26680 21773 4143
23 27154 21752 4141
25 27368 21731 4139
24 27274 21714 4140
24 26875 21698 4143
24 26462 21684 4142
23 26084 21672 4139
25 25789 21659 4139
23 25557 21652 4141
25 25512 21643 4140
23 25503 21639 4141
25 25599 21633 4141
24 25787 21631 4141
23 25953 21629 4140
25 26051 21628 4143
23 26058 21631 4140
25 26020 21632 4141
23 25894 21636 4140
24 25786 21642 4141
25 25682 21647 4141
23 25621 21654 4140
25 25587 21665 4140
23 25575 21670 4139
25 25594 21682 4142
23 25654 21688 4140
24 25777 21699 4140
24 26151 21709 4141
24 26646 21717 4140
25 26975 21727 4143
23 27027 21737 4140
25 26818 21745 4143
23 26468 21755 4141
24 26051 21764 4142
24 25719 21774 4140
24 25524 21782 4145
25 25434 21792 4141
23 25430 21803 4143
