
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
20 26598 32394 4414
23 26663 32388 4521
21 26617 32384 4506
22 26610 32381 4524
22 26610 32377 4505
22 26637 32376 4524
22 26601 32374 4523
22 26622 32373 4523
22 26648 32373 4523
22 26568 32372 4522
22 26601 32371 4523
22 26597 32368 4524
21 26575 32371 4523
23 26622 32369 4541
21 26657 32368 4522
23 26646 32371 4526
21 26626 32370 4522
23 26586 32371 4523
21 26577 32371 4503
23 26602 32371 4502
21 26621 32366 4502
22 26645 32369 4503
22 26651 32369 4522
22 26635 32370 4503
22 26605 32369 4503
22 26592 32370 4503
22 26593 32369 4504
22 26655 32369 4485
22 26629 32368 4522
22 26605 32371 4487
21 26610 32367 4504
23 26607 32367 4504
21 26606 32370 4523
23 26588 32369 4540
21 26620 32369 4542
23 26659 32369 4524
22 26640 32370 4522
22 26605 32372 4523
22 26608 32369 4507
22 26588 32371 4542
22 26618 32369 4523
21 26637 32369 4505
23 26634 32367 4541
21 26600 32366 4522
23 26654 32368 4541
21 26585 32370 4523
23 26565 32370 4524
21 26642 32369 4486
23 26614 32367 4521
21 26614 32368 4485
22 26625 32369 4521
22 26650 32369 4501
22 26589 32368 4503
22 26555 32370 4519
22 26607 32370 4504
22 26612 32372 4521
22 26616 32368 4488
22 26627 32370 4504
22 26622 32370 4520
21 26602 32369 4521
23 26626 32367 4504
21 26604 32367 4522
23 26635 32369 4523
21 26598 32370 4506
23 26613 32369 4523
21 26648 32365 4523
23 26624 32370 4523
21 26593 32368 4543
22 26607 32369 4508
23 26604 32370 4523
21 26607 32370 4524
23 26630 32369 4523
21 26585 32370 4526
23 26618 32371 4524
21 26605 32370 4541
23 26597 32369 4524
21 26578 32371 4525
22 26550 32370 4522
22 26542 32369 4506
22 26550 32368 4504
22 26595 32369 4504
22 26595 32367 4487
22 26603 32368 4521
22 26624 32363 4487
22 26596 32368 4522
22 26692 32368 4506
22 26633 32368 4521
22 26638 32369 4486
21 26607 32370 4503
23 26626 32368 4486
21 26651 32369 4503
23 26659 32369 4524
21 26637 32369 4523
23 26631 32369 4541
21 26610 32369 4522
23 26575 32370 4523
21 26574 32370 4506
22 26602 32370 4523
22 26623 32370 4524
22 26626 32367 4523
22 26608 32368 4523
22 26625 32369 4523
22 26632 32369 4524
22 26664 32369 4523
23 26667 32367 4505
21 26597 32370 4506
22 26612 32369 4522
22 26619 32369 4486
22 26629 32367 4503
22 26613 32369 4505
22 26638 32368 4486
22 26624 32367 4503
22 26638 32368 4485
22 26612 32368 4487
22 26612 32369 4504
21 26586 32366 4503
23 26590 32367 4504
21 26615 32369 4503
23 26601 32369 4502
21 26622 32368 4487
23 26610 32369 4508
21 26586 32370 4524
23 26548 32369 4523
21 26619 32370 4541
22 26636 32370 4541
22 26626 32370 4523
22 26662 32370 4542
22 26704 32368 4507
22 26649 32369 4523
22 26600 32369 4524
22 26586 32369 4505
22 26643 32368 4523
22 26634 32369 4523
21 26601 32367 4522
23 26625 32368 4523
21 26589 32366 4486
23 26610 32366 4522
21 26601 32370 4505
23 26661 32368 4505
