Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 26560 23297 3874
22 26559 23299 3872
22 26557 23301 3871
22 26550 23301 3874
21 26550 23307 3874
23 26552 23307 3872
21 26548 23307 3873
22 26545 23307 3874
21 26552 23308 3872
23 26580 23304 3873
21 26607 23307 3874
22 26658 23304 3872
22 26693 23304 3872
22 26725 23305 3872
21 26723 23303 3872
23 26716 23304 3873
21 26711 23304 3870
22 26674 23306 3873
22 26654 23307 3872
22 26650 23308 3873
21 26642 23310 3872
23 26616 23315 3872
21 26612 23317 3872
22 26586 23318 3873
22 26600 23325 3872
22 26613 23328 3873
21 26599 23334 3871
23 26603 23334 3871
21 26581 23343 3872
22 26575 23347 3872
22 26585 23352 3875
22 26591 23356 3874
21 26578 23361 3873
23 26578 23365 3874
21 26558 23373 3871
22 26549 23379 3871
22 26560 23384 3872
22 26569 23390 3873
21 26558 23397 3873
23 26558 23401 3874
21 26564 23405 3873
22 26555 23411 3876
23 26553 23416 3872
21 26572 23417 3875
22 26583 23423 3873
22 26609 23423 3873
22 26664 23430 3873
21 26684 23428 3874
23 26704 23431 3874
21 26715 23434 3872
22 26696 23435 3872
22 26654 23436 3871
22 26662 23439 3873
21 26620 23439 3870
23 26624 23441 3873
21 26628 23445 3872
22 26608 23449 3873
22 26602 23452 3873
22 26587 23456 3871
21 26576 23455 3872
23 26576 23460 3874
21 26574 23463 3873
22 26589 23464 3872
22 26580 23469 3874
22 26586 23471 3874
21 26588 23472 3875
23 26580 23477 3873
21 26563 23474 3873
22 26563 23476 3871
22 26563 23479 3871
22 26558 23479 3874
21 26544 23483 3874
22 26560 23485 3873
22 26571 23487 3874
22 26538 23489 3872
21 26540 23489 3871
23 26552 23490 3873
21 26565 23488 3873
22 26614 23492 3872
22 26668 23493 3871
22 26699 23490 3870
21 26713 23491 3872
23 26720 23488 3873
21 26685 23487 3873
22 26679 23487 3872
23 26628 23486 3875
21 26615 23485 3874
22 26589 23484 3872
22 26599 23484 3876
22 26588 23481 3872
21 26571 23486 3873
23 26581 23483 3874
21 26574 23481 3873
22 26589 23482 3873
22 26583 23481 3874
22 26584 23478 3872
21 26571 23478 3873
23 26568 23480 3872
21 26574 23482 3872
22 26576 23480 3874
22 26578 23478 3873
22 26567 23482 3874
21 26558 23485 3874
23 26555 23486 3873
21 26550 23488 3872
22 26555 23488 3875
22 26571 23494 3875
22 26572 23496 3870
21 26616 23499 3874
23 26641 23503 3873
21 26662 23505 3872
22 26642 23507 3873
22 26643 23508 3873
22 26636 23513 3872
21 26598 23512 3873
23 26583 23519 3873
21 26575 23519 3872
22 26581 23518 3871
22 26569 23523 3873
22 26572 23523 3872
21 26580 23527 3876
23 26588 23528 3874
21 26593 23530 3872
22 26584 23534 3874
22 26569 23537 3873
22 26549 23538 3872
21 26555 23542 3873
23 26563 23549 3872
22 26533 23551 3872
21 26502 23552 3874
23 26503 23558 3874
21 26474 23562 3873
22 26490 23565 3874
22 26512 23571 3872
22 26535 23574 3872
21 26570 23577 3871
22 26584 23583 3871
22 26631 23587 3873
22 26678 23590 3873
21 26678 23592 3871
23 26679 23599 3873
21 26671 23603 3874
22 26650 23607 3873
22 26635 23610 3872
22 26627 23616 3873
21 26618 23621 3872
23 26585 23626 3872
21 26572 23631 3871
22 26575 23634 3874
22 26581 23640 3872
22 26579 23642 3875
21 26588 23649 3874
23 26577 23647 3874
21 26580 23655 3873
22 26573 23659 3873
22 26575 23663 3874
22 26569 23663 3873
21 26571 23669 3873
23 26555 23669 3873
21 26556 23673 3874
22 26558 23676 3875
22 26576 23679 3874
22 26599 23681 3872
21 26601 23682 3872
23 26609 23685 3872
21 26638 23685 3873
22 26625 23686 3872
22 26627 23688 3871
22 26617 23686 3872
22 26610 23686 3874
22 26609 23686 3871
22 26604 23684 3871
21 26596 23684 3872
23 26579 23681 3873
21 26576 23683 3872
22 26587 23679 3875
22 26584 23677 3873
22 26592 23681 3874
21 26584 23675 3872
23 26584 23675 3874
21 26582 23676 3872
22 26587 23675 3871
22 26574 23675 3875
22 26566 23674 3872
21 26561 23674 3874
23 26561 23673 3874
21 26576 23673 3873
22 26575 23673 3873
22 26596 23674 3875
22 26603 23674 3871
21 26621 23674 3875
23 26649 23672 3870
21 26640 23676 3874
22 26657 23677 3873
22 26650 23679 3870
22 26628 23677 3871
21 26622 23682 3871
23 26623 23678 3873
