Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 180 SECONDS,,,
1719386653843285,20291,23039,5533
1719386653863037,20303,23274,5526
1719386653896074,20304,23148,5528
1719386653918658,20311,23110,5526
1719386653930901,20322,22991,5531
1719386653954163,20325,22977,5529
1719386653969474,20332,22954,5530
1719386653982732,20338,22946,5530
1719386653999824,20348,22991,5528
1719386654014594,20350,23201,5531
1719386654031074,20359,23428,5528
1719386654049207,20363,23747,5528
1719386654067007,20369,24031,5528
1719386654085830,20380,24028,5529
1719386654106424,20386,24013,5526
1719386654119588,20395,23844,5527
1719386654139754,20399,23510,5526
1719386654159837,20408,23406,5530
1719386654173699,20415,23197,5528
1719386654199931,20421,23001,5528
1719386654214659,20427,22858,5533
1719386654239764,20435,22829,5529
1719386654263268,20439,22839,5532
1719386654288917,20445,22886,5528
1719386654303382,20451,23061,5531
1719386654325577,20452,23058,5529
1719386654343047,20458,23199,5530
1719386654366391,20463,23223,5526
1719386654379673,20466,23127,5529
1719386654403248,20472,23185,5530
1719386654415769,20477,23166,5526
1719386654443328,20481,23137,5528
1719386654466461,20485,23116,5527
1719386654482984,20490,23072,5531
1719386654506408,20500,23073,5528
1719386654533156,20498,23087,5530
1719386654544083,20505,23092,5528
1719386654565752,20503,23162,5528
1719386654586391,20511,23288,5528
1719386654597170,20515,23490,5530
1719386654619797,20522,23721,5532
1719386654649730,20526,23859,5528
1719386654661897,20531,23960,5528
1719386654685342,20535,23956,5528
1719386654703121,20542,23907,5530
1719386654719835,20542,23662,5528
1719386654743091,20551,23637,5529
1719386654763077,20550,23461,5528
1719386654779886,20558,23340,5528
1719386654799707,20556,23148,5528
1719386654823319,20560,23210,5528
1719386654839799,20561,23092,5528
1719386654863082,20565,23215,5529
1719386654879752,20566,23235,5529
1719386654903304,20568,23432,5529
1719386654919803,20571,23432,5529
1719386654943320,20571,23497,5528
1719386654966408,20570,23501,5527
1719386654986633,20573,23417,5528
1719386655009814,20572,23330,5531
1719386655035436,20571,23216,5528
1719386655049824,20570,23173,5531
1719386655072869,20569,23093,5531
1719386655086808,20569,22997,5530
1719386655100735,20569,22967,5532
1719386655126616,20565,22993,5529
1719386655143150,20561,23008,5527
1719386655166372,20560,22984,5527
1719386655186409,20557,23057,5527
1719386655199633,20553,23160,5528
1719386655230121,20547,23356,5530
1719386655254058,20540,23539,5525
1719386655271847,20536,23630,5530
1719386655286407,20529,23688,5528
1719386655300048,20525,23630,5529
1719386655323059,20518,23535,5530
1719386655339668,20508,23455,5530
1719386655363088,20509,23352,5529
1719386655382935,20493,23200,5530
1719386655399747,20484,23250,5531
1719386655423284,20481,23254,5531
1719386655439747,20463,23305,5528
1719386655463292,20456,23316,5528
1719386655476353,20448,23316,5528
1719386655503228,20435,23340,5526
1719386655522998,20421,23371,5529
1719386655546341,20411,23333,5528
1719386655563267,20401,23374,5530
1719386655583067,20389,23260,5531
1719386655606646,20379,23318,5527
1719386655626405,20366,23285,5527
1719386655649710,20357,23235,5528
1719386655663042,20345,23146,5528
1719386655683005,20332,23198,5528
1719386655703050,20323,23141,5529
1719386655726465,20312,23158,5529
1719386655746392,20301,23145,5530
1719386655760616,20294,23124,5527
1719386655786393,20284,23127,5529
1719386655809721,20275,23136,5527
1719386655822974,20267,23160,5527
1719386655849689,20258,23229,5526
1719386655869694,20248,23371,5527
1719386655880656,20239,23545,5527
1719386655903086,20235,23681,5530
1719386655929651,20224,23795,5530
1719386655949688,20215,23800,5529
1719386655963053,20206,23768,5528
1719386655983201,20198,23683,5529
1719386656003498,20191,23575,5527
1719386656029757,20184,23448,5528
1719386656046488,20182,23347,5530
1719386656060830,20174,23240,5530
1719386656079709,20160,23175,5532
1719386656106642,20150,23166,5529
1719386656129771,20150,23246,5531
1719386656153234,20139,23122,5528
1719386656165019,20135,23122,5528
1719386656179641,20126,23145,5527
1719386656206349,20121,23179,5533
1719386656219689,20117,23147,5529
1719386656253060,20110,23163,5532
1719386656268371,20101,23244,5530
1719386656289892,20096,23114,5530
1719386656309615,20090,23135,5529
1719386656332955,20084,23153,5531
1719386656352954,20077,23146,5527
1719386656373039,20070,23133,5528
1719386656387530,20064,23135,5527
1719386656409678,20056,23150,5527
1719386656433056,20050,23158,5532
1719386656449609,20044,23182,5529
1719386656469679,20040,23243,5531
1719386656484969,20034,23351,5533
1719386656512908,20028,23463,5531
1719386656530168,20022,23546,5530
1719386656566409,20021,23632,5529
1719386656583515,20016,23537,5529
1719386656601787,20010,23582,5532
1719386656619898,20007,23493,5531
1719386656640173,20003,23393,5530
1719386656658373,19999,23292,5528
1719386656676218,19997,23206,5530
