Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 180 SECONDS,,,
1719386653843285,20291.0,23039.0,5533.0
1719386653863037,20303.0,23274.0,5526.0
1719386653896074,20304.0,23148.0,5528.0
1719386653918658,20311.0,23110.0,5526.0
1719386653930901,20322.0,22991.0,5531.0
1719386653954163,20325.0,22977.0,5529.0
1719386653969474,20332.0,22954.0,5530.0
1719386653982732,20338.0,22946.0,5530.0
1719386653999824,20348.0,22991.0,5528.0
1719386654014594,20350.0,23201.0,5531.0
1719386654031074,20359.0,23428.0,5528.0
1719386654049207,20363.0,23747.0,5528.0
1719386654067007,20369.0,24031.0,5528.0
1719386654085830,20380.0,24028.0,5529.0
1719386654106424,20386.0,24013.0,5526.0
1719386654119588,20395.0,23844.0,5527.0
1719386654139754,20399.0,23510.0,5526.0
1719386654159837,20408.0,23406.0,5530.0
1719386654173699,20415.0,23197.0,5528.0
1719386654199931,20421.0,23001.0,5528.0
1719386654214659,20427.0,22858.0,5533.0
1719386654239764,20435.0,22829.0,5529.0
1719386654263268,20439.0,22839.0,5532.0
1719386654288917,20445.0,22886.0,5528.0
1719386654303382,20451.0,23061.0,5531.0
1719386654325577,20452.0,23058.0,5529.0
1719386654343047,20458.0,23199.0,5530.0
1719386654366391,20463.0,23223.0,5526.0
1719386654379673,20466.0,23127.0,5529.0
1719386654403248,20472.0,23185.0,5530.0
1719386654415769,20477.0,23166.0,5526.0
1719386654443328,20481.0,23137.0,5528.0
1719386654466461,20485.0,23116.0,5527.0
1719386654482984,20490.0,23072.0,5531.0
1719386654506408,20500.0,23073.0,5528.0
1719386654533156,20498.0,23087.0,5530.0
1719386654544083,20505.0,23092.0,5528.0
1719386654565752,20503.0,23162.0,5528.0
1719386654586391,20511.0,23288.0,5528.0
1719386654597170,20515.0,23490.0,5530.0
1719386654619797,20522.0,23721.0,5532.0
1719386654649730,20526.0,23859.0,5528.0
1719386654661897,20531.0,23960.0,5528.0
1719386654685342,20535.0,23956.0,5528.0
1719386654703121,20542.0,23907.0,5530.0
1719386654719835,20542.0,23662.0,5528.0
1719386654743091,20551.0,23637.0,5529.0
1719386654763077,20550.0,23461.0,5528.0
1719386654779886,20558.0,23340.0,5528.0
1719386654799707,20556.0,23148.0,5528.0
1719386654823319,20560.0,23210.0,5528.0
1719386654839799,20561.0,23092.0,5528.0
1719386654863082,20565.0,23215.0,5529.0
1719386654879752,20566.0,23235.0,5529.0
1719386654903304,20568.0,23432.0,5529.0
1719386654919803,20571.0,23432.0,5529.0
1719386654943320,20571.0,23497.0,5528.0
1719386654966408,20570.0,23501.0,5527.0
1719386654986633,20573.0,23417.0,5528.0
1719386655009814,20572.0,23330.0,5531.0
1719386655035436,20571.0,23216.0,5528.0
1719386655049824,20570.0,23173.0,5531.0
1719386655072869,20569.0,23093.0,5531.0
1719386655086808,20569.0,22997.0,5530.0
1719386655100735,20569.0,22967.0,5532.0
1719386655126616,20565.0,22993.0,5529.0
1719386655143150,20561.0,23008.0,5527.0
1719386655166372,20560.0,22984.0,5527.0
1719386655186409,20557.0,23057.0,5527.0
1719386655199633,20553.0,23160.0,5528.0
1719386655230121,20547.0,23356.0,5530.0
1719386655254058,20540.0,23539.0,5525.0
1719386655271847,20536.0,23630.0,5530.0
1719386655286407,20529.0,23688.0,5528.0
1719386655300048,20525.0,23630.0,5529.0
1719386655323059,20518.0,23535.0,5530.0
1719386655339668,20508.0,23455.0,5530.0
1719386655363088,20509.0,23352.0,5529.0
1719386655382935,20493.0,23200.0,5530.0
1719386655399747,20484.0,23250.0,5531.0
1719386655423284,20481.0,23254.0,5531.0
1719386655439747,20463.0,23305.0,5528.0
1719386655463292,20456.0,23316.0,5528.0
1719386655476353,20448.0,23316.0,5528.0
1719386655503228,20435.0,23340.0,5526.0
1719386655522998,20421.0,23371.0,5529.0
1719386655546341,20411.0,23333.0,5528.0
1719386655563267,20401.0,23374.0,5530.0
1719386655583067,20389.0,23260.0,5531.0
1719386655606646,20379.0,23318.0,5527.0
1719386655626405,20366.0,23285.0,5527.0
1719386655649710,20357.0,23235.0,5528.0
1719386655663042,20345.0,23146.0,5528.0
1719386655683005,20332.0,23198.0,5528.0
1719386655703050,20323.0,23141.0,5529.0
1719386655726465,20312.0,23158.0,5529.0
1719386655746392,20301.0,23145.0,5530.0
1719386655760616,20294.0,23124.0,5527.0
1719386655786393,20284.0,23127.0,5529.0
1719386655809721,20275.0,23136.0,5527.0
1719386655822974,20267.0,23160.0,5527.0
1719386655849689,20258.0,23229.0,5526.0
1719386655869694,20248.0,23371.0,5527.0
1719386655880656,20239.0,23545.0,5527.0
1719386655903086,20235.0,23681.0,5530.0
1719386655929651,20224.0,23795.0,5530.0
1719386655949688,20215.0,23800.0,5529.0
1719386655963053,20206.0,23768.0,5528.0
1719386655983201,20198.0,23683.0,5529.0
1719386656003498,20191.0,23575.0,5527.0
1719386656029757,20184.0,23448.0,5528.0
1719386656046488,20182.0,23347.0,5530.0
