Time,EDA,PPG,Temp
300,,,
1719387464519602,19951.0,23193.0,5637.0
1719387464543253,19949.0,23188.0,5634.0
1719387464566238,19950.0,23125.0,5638.0
1719387464576496,19948.0,23032.0,5639.0
1719387464602906,19944.0,23030.0,5638.0
1719387464622881,19945.0,23050.0,5638.0
1719387464646393,19946.0,23048.0,5636.0
1719387464666345,19939.0,23032.0,5639.0
1719387464682940,19945.0,22901.0,5639.0
1719387464706569,19941.0,23034.0,5638.0
1719387464714474,19944.0,23083.0,5638.0
1719387464736487,19938.0,23260.0,5636.0
1719387464756528,19941.0,23508.0,5637.0
1719387464779772,19945.0,24048.0,5637.0
1719387464793159,19943.0,24501.0,5638.0
1719387464816214,19945.0,24872.0,5637.0
1719387464836197,19947.0,24837.0,5639.0
1719387464863187,19945.0,24776.0,5638.0
1719387464879910,19944.0,24378.0,5635.0
1719387464899781,19941.0,23928.0,5637.0
1719387464913293,19941.0,23582.0,5638.0
1719387464933128,19940.0,23209.0,5638.0
1719387464960020,19937.0,22917.0,5640.0
1719387464986423,19937.0,22780.0,5637.0
1719387464999611,19939.0,22577.0,5638.0
1719387465023025,19938.0,22685.0,5638.0
1719387465046708,19936.0,22732.0,5636.0
1719387465066364,19936.0,22961.0,5638.0
1719387465082916,19936.0,23019.0,5636.0
1719387465103081,19937.0,23179.0,5641.0
1719387465126371,19934.0,23258.0,5638.0
1719387465142954,19935.0,23255.0,5637.0
1719387465166276,19935.0,23242.0,5640.0
1719387465186270,19933.0,23226.0,5636.0
1719387465199625,19934.0,23146.0,5638.0
1719387465219568,19933.0,23092.0,5637.0
1719387465246372,19934.0,23039.0,5638.0
1719387465259704,19933.0,23022.0,5636.0
1719387465276648,19932.0,23020.0,5638.0
1719387465302923,19931.0,22962.0,5638.0
1719387465326518,19930.0,22992.0,5639.0
1719387465339636,19930.0,23065.0,5639.0
1719387465359861,19936.0,23066.0,5637.0
1719387465379559,19932.0,23081.0,5639.0
1719387465399606,19930.0,23159.0,5638.0
1719387465419601,19932.0,23374.0,5637.0
1719387465439537,19929.0,23838.0,5638.0
1719387465462891,19924.0,24256.0,5637.0
1719387465479525,19925.0,24650.0,5638.0
1719387465493126,19926.0,24867.0,5637.0
1719387465523059,19926.0,24904.0,5641.0
1719387465539794,19929.0,24562.0,5638.0
1719387465560105,19925.0,24126.0,5638.0
1719387465576603,19923.0,23799.0,5639.0
1719387465602995,19923.0,23384.0,5639.0
1719387465623152,19921.0,22983.0,5636.0
1719387465643188,19922.0,22672.0,5638.0
1719387465669697,19923.0,22630.0,5640.0
1719387465686302,19923.0,22639.0,5638.0
1719387465696412,19922.0,22771.0,5634.0
1719387465727323,19921.0,22868.0,5639.0
1719387465743082,19922.0,23002.0,5640.0
1719387465760129,19920.0,23162.0,5634.0
1719387465789694,19921.0,23264.0,5639.0
1719387465806213,19920.0,23303.0,5639.0
1719387465829681,19920.0,23306.0,5638.0
1719387465846318,19921.0,23232.0,5640.0
1719387465859935,19917.0,23130.0,5638.0
1719387465879759,19922.0,23098.0,5637.0
1719387465906526,19918.0,23086.0,5638.0
1719387465916400,19923.0,23057.0,5637.0
1719387465933093,19916.0,23034.0,5636.0
1719387465959863,19917.0,22923.0,5638.0
1719387465986517,19915.0,23069.0,5640.0
1719387465999100,19914.0,23087.0,5641.0
1719387466022992,19923.0,23074.0,5638.0
1719387466036275,19915.0,23118.0,5640.0
1719387466056384,19919.0,23089.0,5639.0
1719387466077764,19915.0,23157.0,5637.0
1719387466103120,19913.0,23305.0,5637.0
1719387466123140,19913.0,23560.0,5636.0
1719387466143099,19917.0,23979.0,5637.0
1719387466163002,19914.0,24526.0,5641.0
1719387466186546,19916.0,24797.0,5638.0
1719387466203212,19916.0,24887.0,5639.0
1719387466219962,19914.0,24801.0,5639.0
1719387466246294,19912.0,24484.0,5638.0
1719387466263403,19915.0,24060.0,5635.0
1719387466289920,19914.0,23437.0,5638.0
1719387466309888,19913.0,23175.0,5640.0
1719387466322887,19913.0,22765.0,5638.0
1719387466346182,19913.0,22702.0,5634.0
1719387466366299,19915.0,22661.0,5637.0
1719387466389810,19915.0,22695.0,5636.0
1719387466409939,19914.0,22797.0,5636.0
1719387466429432,19914.0,22924.0,5643.0
1719387466449546,19917.0,23071.0,5637.0
1719387466469511,19916.0,23198.0,5642.0
1719387466486223,19921.0,23278.0,5638.0
1719387466503023,19915.0,23276.0,5639.0
1719387466519697,19912.0,23220.0,5640.0
1719387466543894,19915.0,23173.0,5638.0
1719387466566481,19913.0,23172.0,5638.0
1719387466589662,19917.0,23113.0,5638.0
1719387466613127,19916.0,23046.0,5639.0
1719387466624732,19921.0,23010.0,5638.0
1719387466646423,19913.0,23007.0,5637.0
1719387466663057,19912.0,23013.0,5639.0
1719387466679711,19911.0,23007.0,5639.0
1719387466703200,19909.0,23088.0,5637.0
1719387466729842,19910.0,22967.0,5638.0
1719387466743011,19911.0,23055.0,5638.0
1719387466766287,19915.0,23201.0,5639.0
1719387466779673,19912.0,23315.0,5638.0
1719387466803043,19911.0,23545.0,5638.0
1719387466822877,19910.0,23971.0,5639.0
1719387466846374,19914.0,24357.0,5638.0
1719387466863047,19911.0,24683.0,5640.0
1719387466889625,19912.0,24903.0,5638.0
1719387466906280,19914.0,24786.0,5639.0
1719387466929640,19912.0,24575.0,5639.0
1719387466946444,19911.0,24156.0,5637.0
1719387466966383,19908.0,23604.0,5639.0
1719387466983011,19907.0,23227.0,5636.0
1719387467006422,19908.0,22882.0,5636.0
1719387467024545,19907.0,22663.0,5642.0
1719387467046335,19908.0,22560.0,5637.0
1719387467066573,19908.0,22589.0,5643.0
1719387467086520,19907.0,22733.0,5635.0
1719387467102956,19906.0,22933.0,5635.0
1719387467132995,19906.0,23095.0,5636.0
1719387467146186,19906.0,23214.0,5637.0
1719387467176760,19906.0,23287.0,5638.0
1719387467184171,19904.0,23344.0,5639.0
1719387467199661,19907.0,23306.0,5638.0
1719387467229791,19902.0,23199.0,5637.0
1719387467256459,19904.0,23111.0,5639.0
1719387467264574,19906.0,23142.0,5639.0
1719387467286407,19902.0,23038.0,5639.0
1719387467303091,19909.0,23023.0,5640.0
1719387467320035,19899.0,22932.0,5640.0
1719387467346444,19900.0,22919.0,5638.0
1719387467369685,19909.0,23041.0,5639.0
1719387467382949,19901.0,23091.0,5638.0
1719387467406271,19903.0,23136.0,5638.0
1719387467419756,19902.0,23117.0,5637.0
1719387467449801,19903.0,23130.0,5638.0
1719387467469809,19904.0,23193.0,5638.0
1719387467482982,19901.0,23421.0,5638.0
1719387467509470,19905.0,23818.0,5640.0
1719387467529957,19904.0,24227.0,5639.0
1719387467544362,19901.0,24537.0,5641.0
1719387467576153,19901.0,24750.0,5641.0
1719387467586205,19901.0,24646.0,5640.0
1719387467609494,19901.0,24404.0,5639.0
1719387467629680,19902.0,24002.0,5638.0
1719387467649565,19898.0,23644.0,5639.0
1719387467663133,19896.0,23225.0,5637.0
1719387467692905,19896.0,22925.0,5637.0
1719387467706252,19894.0,22729.0,5643.0
1719387467729582,19895.0,22637.0,5637.0
1719387467753269,19894.0,22690.0,5636.0
1719387467773524,19896.0,22753.0,5638.0
1719387467787506,19894.0,22908.0,5637.0
1719387467812850,19892.0,23022.0,5638.0
1719387467823007,19891.0,23156.0,5636.0
1719387467846385,19894.0,23195.0,5639.0
1719387467873118,19892.0,23261.0,5638.0
1719387467896263,19895.0,23203.0,5639.0
1719387467906272,19891.0,23268.0,5640.0
1719387467922999,19891.0,23232.0,5640.0
1719387467942938,19896.0,23177.0,5640.0
1719387467986306,19892.0,23044.0,5639.0
1719387467993324,19891.0,23014.0,5639.0
1719387468002888,19886.0,23133.0,5642.0
1719387468029708,19883.0,23104.0,5640.0
1719387468046325,19887.0,23120.0,5638.0
1719387468063045,19887.0,23092.0,5639.0
1719387468086698,19886.0,23112.0,5643.0
1719387468116347,19881.0,23120.0,5638.0
1719387468133009,19883.0,23150.0,5639.0
1719387468146711,19883.0,23539.0,5638.0
1719387468166777,19883.0,23891.0,5640.0
1719387468193214,19886.0,24321.0,5640.0
1719387468212873,19882.0,24561.0,5639.0
1719387468232892,19883.0,24701.0,5643.0
1719387468253002,19881.0,24511.0,5639.0
1719387468269823,19884.0,24189.0,5640.0
1719387468292939,19884.0,23802.0,5638.0
1719387468316460,19883.0,23416.0,5638.0
1719387468336403,19877.0,23110.0,5638.0
1719387468349711,19878.0,22852.0,5639.0
1719387468376154,19877.0,22724.0,5636.0
1719387468399601,19877.0,22677.0,5638.0
1719387468416179,19877.0,22754.0,5644.0
1719387468430468,19877.0,22849.0,5642.0
1719387468456347,19878.0,23041.0,5636.0
1719387468469337,19877.0,23178.0,5639.0
1719387468492886,19878.0,23283.0,5638.0
1719387468519709,19877.0,23291.0,5638.0
1719387468536315,19875.0,23351.0,5638.0
1719387468546513,19874.0,23312.0,5639.0
1719387468569700,19875.0,23243.0,5639.0
1719387468589532,19875.0,23174.0,5638.0
1719387468606214,19873.0,23109.0,5638.0
1719387468623390,19879.0,23078.0,5640.0
1719387468646272,19869.0,23064.0,5638.0
1719387468672869,19869.0,23032.0,5639.0
1719387468686345,19866.0,22987.0,5639.0
1719387468706210,19867.0,23107.0,5642.0
1719387468732941,19872.0,23109.0,5639.0
1719387468749746,19874.0,23355.0,5640.0
1719387468776687,19869.0,23589.0,5638.0
1719387468796422,19870.0,24002.0,5643.0
1719387468813060,19870.0,24381.0,5639.0
1719387468836425,19869.0,24558.0,5637.0
1719387468853195,19866.0,24614.0,5638.0
1719387468876293,19867.0,24469.0,5638.0
1719387468896342,19864.0,24156.0,5638.0
1719387468916470,19866.0,23748.0,5637.0
1719387468930590,19867.0,23329.0,5639.0
1719387468959497,19866.0,23010.0,5638.0
1719387468982904,19864.0,22802.0,5638.0
1719387468996301,19864.0,22676.0,5641.0
1719387469019999,19862.0,22576.0,5638.0
1719387469039628,19860.0,22767.0,5640.0
1719387469056301,19861.0,22907.0,5641.0
1719387469079638,19862.0,23075.0,5637.0
1719387469089606,19861.0,23221.0,5640.0
1719387469119839,19861.0,23326.0,5639.0
1719387469144348,19860.0,23346.0,5640.0
1719387469162829,19861.0,23368.0,5639.0
1719387469179528,19862.0,23351.0,5638.0
1719387469189658,19859.0,23307.0,5639.0
1719387469212814,19862.0,23235.0,5640.0
1719387469233270,19859.0,23141.0,5639.0
1719387469260061,19860.0,23101.0,5638.0
1719387469279682,19863.0,23099.0,5638.0
1719387469293058,19864.0,23084.0,5639.0
1719387469316351,19857.0,23100.0,5639.0
1719387469333058,19855.0,23122.0,5639.0
1719387469349673,19855.0,23176.0,5638.0
1719387469369781,19855.0,23532.0,5638.0
1719387469392937,19853.0,23945.0,5639.0
1719387469409599,19855.0,24267.0,5640.0
1719387469426663,19855.0,24782.0,5643.0
1719387469456747,19855.0,24930.0,5643.0
1719387469479816,19855.0,24886.0,5639.0
1719387469499740,19856.0,24650.0,5642.0
1719387469510017,19857.0,24107.0,5638.0
1719387469539687,19855.0,23743.0,5639.0
1719387469556122,19855.0,23328.0,5637.0
1719387469579537,19855.0,22985.0,5635.0
1719387469599520,19857.0,22772.0,5635.0
1719387469619837,19856.0,22688.0,5639.0
1719387469642926,19857.0,22748.0,5639.0
1719387469659883,19856.0,22892.0,5639.0
1719387469679511,19858.0,23049.0,5639.0
1719387469699684,19855.0,23233.0,5642.0
1719387469716390,19853.0,23402.0,5642.0
1719387469743049,19855.0,23441.0,5641.0
1719387469763047,19854.0,23447.0,5640.0
1719387469774382,19854.0,23373.0,5638.0
1719387469806281,19859.0,23284.0,5638.0
1719387469822952,19856.0,23153.0,5640.0
1719387469836410,19853.0,23029.0,5638.0
1719387469846413,19854.0,22933.0,5639.0
1719387469876533,19849.0,22888.0,5643.0
1719387469896302,19851.0,22903.0,5639.0
1719387469912820,19848.0,22946.0,5640.0
