Time,EDA,PPG,Temp
600,,,
1719387861829133,21190.0,23238.0,5711.0
1719387861848644,21200.0,23307.0,5711.0
1719387861856223,21195.0,23302.0,5709.0
1719387861879512,21199.0,23159.0,5713.0
1719387861899631,21198.0,23218.0,5711.0
1719387861916719,21197.0,23050.0,5713.0
1719387861939735,21201.0,23101.0,5715.0
1719387861966155,21201.0,23079.0,5712.0
1719387861979876,21196.0,22998.0,5713.0
1719387862009528,21198.0,23092.0,5706.0
1719387862022869,21198.0,23041.0,5712.0
1719387862046328,21196.0,23100.0,5710.0
1719387862063258,21197.0,23164.0,5709.0
1719387862083282,21194.0,23259.0,5715.0
1719387862102998,21192.0,23513.0,5711.0
1719387862123114,21191.0,23770.0,5712.0
1719387862139525,21189.0,24017.0,5713.0
1719387862159575,21188.0,24144.0,5708.0
1719387862189487,21184.0,24144.0,5710.0
1719387862206158,21185.0,24019.0,5713.0
1719387862226198,21177.0,23764.0,5713.0
1719387862236520,21176.0,23577.0,5712.0
1719387862266490,21172.0,23353.0,5712.0
1719387862292853,21168.0,23162.0,5711.0
1719387862309495,21165.0,23012.0,5710.0
1719387862320493,21164.0,22969.0,5713.0
1719387862342892,21153.0,22928.0,5711.0
1719387862359531,21155.0,22862.0,5711.0
1719387862372814,21154.0,23050.0,5713.0
1719387862399647,21143.0,23217.0,5710.0
1719387862416306,21139.0,23288.0,5711.0
1719387862442865,21138.0,23341.0,5712.0
1719387862463328,21131.0,23366.0,5713.0
1719387862476191,21131.0,23439.0,5711.0
1719387862502834,21125.0,23435.0,5713.0
1719387862522738,21123.0,23273.0,5711.0
1719387862539444,21117.0,23069.0,5711.0
1719387862559492,21112.0,22997.0,5712.0
1719387862577789,21105.0,22875.0,5712.0
1719387862606135,21102.0,22863.0,5713.0
1719387862628368,21095.0,22800.0,5707.0
1719387862646303,21093.0,22831.0,5712.0
1719387862666655,21087.0,22831.0,5713.0
1719387862686432,21084.0,23047.0,5707.0
1719387862709641,21079.0,23205.0,5710.0
1719387862722868,21074.0,23331.0,5711.0
1719387862746137,21069.0,23568.0,5707.0
1719387862766288,21066.0,23813.0,5708.0
1719387862786513,21062.0,23991.0,5710.0
1719387862803220,21056.0,24084.0,5707.0
1719387862819548,21056.0,24095.0,5710.0
1719387862839601,21050.0,23950.0,5713.0
1719387862862933,21045.0,23791.0,5715.0
1719387862893002,21041.0,23594.0,5714.0
1719387862902915,21037.0,23404.0,5712.0
1719387862932891,21035.0,23264.0,5711.0
1719387862945768,21028.0,23208.0,5713.0
1719387862962974,21022.0,23070.0,5712.0
1719387862978702,21027.0,23030.0,5713.0
1719387863006231,21014.0,22947.0,5713.0
1719387863022867,21020.0,23129.0,5711.0
1719387863043170,21007.0,23205.0,5710.0
1719387863062865,21002.0,23224.0,5711.0
1719387863082164,21003.0,23289.0,5710.0
1719387863106297,20999.0,23254.0,5710.0
1719387863119890,20994.0,23179.0,5712.0
1719387863146444,20993.0,23228.0,5715.0
1719387863166115,20988.0,23144.0,5711.0
1719387863186383,20988.0,23210.0,5713.0
1719387863199663,20986.0,23189.0,5713.0
1719387863222791,20982.0,23117.0,5710.0
1719387863246084,20978.0,23149.0,5710.0
1719387863266545,20978.0,22971.0,5712.0
1719387863289618,20978.0,23007.0,5715.0
1719387863309907,20973.0,22924.0,5712.0
1719387863323045,20971.0,23020.0,5708.0
1719387863343070,20970.0,22968.0,5711.0
1719387863372876,20969.0,23037.0,5714.0
1719387863396227,20969.0,23144.0,5713.0
1719387863416338,20966.0,23346.0,5715.0
1719387863434582,20965.0,23514.0,5714.0
1719387863456235,20962.0,23577.0,5709.0
1719387863476243,20960.0,23724.0,5714.0
1719387863486205,20963.0,23630.0,5714.0
1719387863513122,20959.0,23507.0,5711.0
1719387863525647,20955.0,23411.0,5710.0
1719387863542957,20957.0,23278.0,5711.0
1719387863569829,20953.0,23170.0,5710.0
