Time,EDA,Heart Rate,Temperature
BEGIN sesh2 FOR 600 SECONDS,,,
1724393968648988,20697.0,24120.0,5685.0
1724393968665848,20695.0,24251.0,5685.0
1724393968685632,20699.0,24257.0,5686.0
1724393968709687,20695.0,24197.0,5687.0
1724393968729553,20699.0,24053.0,5686.0
1724393968746266,20701.0,23865.0,5684.0
1724393968759568,20699.0,23690.0,5683.0
1724393968782663,20694.0,23641.0,5688.0
1724393968806222,20698.0,23389.0,5683.0
1724393968829941,20697.0,23454.0,5681.0
1724393968846341,20696.0,23377.0,5682.0
1724393968869510,20696.0,23388.0,5681.0
1724393968886254,20693.0,23332.0,5684.0
1724393968909950,20693.0,23443.0,5683.0
1724393968936140,20693.0,23543.0,5683.0
1724393968956142,20694.0,23568.0,5684.0
1724393968976060,20695.0,23561.0,5686.0
1724393968989326,20695.0,23640.0,5683.0
1724393969006047,20695.0,23661.0,5684.0
1724393969036208,20691.0,23643.0,5685.0
1724393969056205,20690.0,23638.0,5683.0
1724393969079497,20699.0,23539.0,5683.0
1724393969087599,20698.0,23472.0,5684.0
1724393969112804,20691.0,23389.0,5679.0
1724393969129624,20691.0,23358.0,5682.0
1724393969159376,20693.0,23339.0,5682.0
1724393969169845,20691.0,23333.0,5683.0
1724393969189592,20693.0,23377.0,5684.0
1724393969206032,20691.0,23369.0,5680.0
1724393969236026,20693.0,23374.0,5681.0
1724393969252861,20691.0,23406.0,5683.0
1724393969272891,20691.0,23387.0,5683.0
1724393969292754,20693.0,23409.0,5682.0
1724393969312671,20693.0,23422.0,5684.0
1724393969329562,20693.0,23467.0,5684.0
1724393969346233,20692.0,23460.0,5683.0
1724393969366017,20689.0,23486.0,5684.0
1724393969386271,20688.0,23493.0,5684.0
1724393969416050,20692.0,23490.0,5683.0
1724393969432737,20699.0,23539.0,5684.0
1724393969449133,20692.0,23722.0,5684.0
1724393969469571,20695.0,23939.0,5685.0
1724393969496298,20693.0,24145.0,5679.0
1724393969512883,20695.0,24244.0,5684.0
1724393969526121,20694.0,24307.0,5683.0
1724393969542979,20692.0,24236.0,5685.0
1724393969566178,20692.0,24057.0,5683.0
1724393969589266,20690.0,23871.0,5685.0
1724393969619436,20691.0,23695.0,5681.0
1724393969636470,20692.0,23462.0,5684.0
1724393969649482,20691.0,23443.0,5681.0
1724393969669200,20687.0,23235.0,5682.0
1724393969689262,20690.0,23315.0,5684.0
1724393969712738,20690.0,23389.0,5681.0
1724393969742804,20688.0,23469.0,5684.0
1724393969762625,20690.0,23472.0,5684.0
1724393969782769,20691.0,23489.0,5685.0
1724393969806294,20691.0,23588.0,5685.0
1724393969816373,20691.0,23621.0,5688.0
1724393969842961,20691.0,23644.0,5682.0
1724393969862664,20695.0,23627.0,5686.0
1724393969875972,20687.0,23545.0,5679.0
1724393969902709,20684.0,23476.0,5682.0
1724393969909935,20685.0,23470.0,5686.0
1724393969943011,20682.0,23368.0,5684.0
1724393969952809,20683.0,23340.0,5681.0
1724393969969699,20683.0,23412.0,5689.0
1724393969989631,20685.0,23394.0,5684.0
1724393970006383,20685.0,23445.0,5681.0
1724393970029835,20684.0,23440.0,5682.0
1724393970046177,20682.0,23438.0,5684.0
1724393970069777,20682.0,23481.0,5687.0
1724393970086416,20682.0,23364.0,5683.0
1724393970119745,20684.0,23462.0,5684.0
1724393970132791,20689.0,23327.0,5683.0
1724393970156118,20687.0,23410.0,5684.0
1724393970173093,20688.0,23330.0,5683.0
1724393970192932,20689.0,23367.0,5685.0
1724393970216147,20689.0,23465.0,5686.0
1724393970229482,20686.0,23505.0,5683.0
1724393970249749,20687.0,23447.0,5682.0
1724393970269628,20687.0,23458.0,5683.0
1724393970289644,20685.0,23598.0,5681.0
1724393970309602,20687.0,23866.0,5683.0
1724393970339654,20686.0,24091.0,5683.0
1724393970359687,20686.0,24279.0,5682.0
1724393970376292,20685.0,24338.0,5682.0
1724393970399476,20683.0,24296.0,5684.0
1724393970416035,20684.0,24178.0,5683.0
1724393970439582,20691.0,23975.0,5681.0
1724393970456368,20684.0,23796.0,5685.0
1724393970479592,20684.0,23675.0,5685.0
1724393970496166,20684.0,23577.0,5686.0
1724393970516106,20686.0,23461.0,5683.0
1724393970536309,20683.0,23390.0,5686.0
1724393970549511,20686.0,23399.0,5684.0
1724393970579580,20682.0,23391.0,5683.0
1724393970596201,20683.0,23387.0,5681.0
1724393970626229,20681.0,23419.0,5683.0
1724393970632128,20679.0,23471.0,5683.0
1724393970649283,20681.0,23501.0,5685.0
1724393970676367,20684.0,23589.0,5685.0
1724393970696231,20683.0,23593.0,5682.0
1724393970706208,20687.0,23658.0,5683.0
1724393970736329,20681.0,23638.0,5682.0
1724393970756189,20687.0,23545.0,5684.0
1724393970772800,20678.0,23385.0,5684.0
1724393970789809,20681.0,23465.0,5684.0
1724393970809571,20679.0,23480.0,5689.0
1724393970832916,20681.0,23441.0,5681.0
1724393970856027,20683.0,23383.0,5687.0
1724393970882814,20683.0,23373.0,5682.0
1724393970916114,20684.0,23307.0,5684.0
1724393970924474,20683.0,23198.0,5681.0
1724393970939266,20681.0,23354.0,5681.0
1724393970959470,20686.0,23353.0,5682.0
1724393970976236,20683.0,23304.0,5683.0
1724393970996038,20683.0,23387.0,5688.0
1724393971016029,20683.0,23407.0,5681.0
1724393971039618,20682.0,23316.0,5681.0
1724393971059338,20682.0,23309.0,5683.0
1724393971082742,20681.0,23418.0,5684.0
1724393971109677,20681.0,23381.0,5682.0
1724393971118009,20688.0,23616.0,5680.0
1724393971139588,20679.0,23849.0,5683.0
1724393971159530,20681.0,24105.0,5688.0
1724393971179207,20683.0,24316.0,5682.0
1724393971205955,20682.0,24424.0,5683.0
1724393971229449,20678.0,24374.0,5683.0
1724393971239253,20682.0,24242.0,5681.0
1724393971249296,20679.0,24071.0,5687.0
1724393971269627,20683.0,23855.0,5684.0
1724393971289398,20678.0,23664.0,5687.0
1724393971312863,20679.0,23516.0,5688.0
1724393971332834,20679.0,23436.0,5684.0
1724393971352773,20680.0,23379.0,5684.0
1724393971376284,20681.0,23355.0,5683.0
1724393971389447,20683.0,23308.0,5683.0
1724393971416106,20683.0,23454.0,5684.0
1724393971436079,20684.0,23475.0,5687.0
1724393971462851,20684.0,23551.0,5687.0
1724393971476032,20684.0,23569.0,5684.0
1724393971506350,20687.0,23679.0,5682.0
1724393971519333,20681.0,23646.0,5682.0
1724393971539398,20681.0,23409.0,5682.0
1724393971566059,20681.0,23564.0,5687.0
1724393971579473,20681.0,23500.0,5682.0
1724393971599420,20680.0,23384.0,5683.0
1724393971623004,20679.0,23397.0,5683.0
1724393971642554,20680.0,23341.0,5681.0
1724393971659496,20679.0,23250.0,5685.0
1724393971686385,20683.0,23293.0,5681.0
1724393971702874,20679.0,23313.0,5681.0
1724393971719556,20685.0,23329.0,5681.0
1724393971745956,20679.0,23364.0,5682.0
1724393971762877,20677.0,23406.0,5683.0
1724393971779638,20685.0,23417.0,5685.0
1724393971802870,20676.0,23437.0,5686.0
1724393971822611,20676.0,23462.0,5688.0
1724393971832641,20679.0,23457.0,5685.0
1724393971876255,20681.0,23446.0,5685.0
1724393971884643,20679.0,23445.0,5683.0
1724393971892302,20675.0,23502.0,5679.0
1724393971919577,20679.0,23545.0,5683.0
1724393971936398,20673.0,23695.0,5683.0
1724393971956129,20674.0,23915.0,5683.0
1724393971976082,20675.0,24208.0,5683.0
1724393971996089,20674.0,24380.0,5686.0
1724393972026315,20673.0,24415.0,5682.0
1724393972045847,20676.0,24239.0,5682.0
1724393972062897,20681.0,24127.0,5682.0
1724393972082845,20680.0,23967.0,5683.0
1724393972092906,20674.0,23817.0,5685.0
1724393972112900,20673.0,23626.0,5683.0
1724393972132845,20675.0,23498.0,5682.0
1724393972156438,20675.0,23397.0,5687.0
1724393972179549,20677.0,23355.0,5683.0
1724393972202892,20675.0,23286.0,5683.0
1724393972226264,20676.0,23359.0,5681.0
1724393972245985,20684.0,23341.0,5682.0
1724393972266063,20678.0,23344.0,5682.0
1724393972282858,20685.0,23484.0,5685.0
1724393972309745,20679.0,23609.0,5684.0
1724393972319263,20680.0,23619.0,5685.0
1724393972342953,20679.0,23552.0,5683.0
1724393972362775,20678.0,23620.0,5682.0
1724393972386033,20678.0,23547.0,5681.0
1724393972406196,20678.0,23494.0,5681.0
1724393972425974,20677.0,23437.0,5683.0
1724393972445942,20676.0,23394.0,5683.0
1724393972459585,20682.0,23388.0,5683.0
1724393972486280,20675.0,23391.0,5683.0
1724393972505970,20678.0,23382.0,5683.0
1724393972516312,20674.0,23371.0,5681.0
1724393972532701,20680.0,23383.0,5683.0
1724393972556235,20680.0,23389.0,5684.0
1724393972576149,20674.0,23443.0,5682.0
1724393972599513,20671.0,23407.0,5682.0
1724393972616097,20672.0,23350.0,5683.0
1724393972646044,20673.0,23428.0,5687.0
1724393972659433,20676.0,23425.0,5684.0
1724393972682694,20676.0,23424.0,5684.0
1724393972705920,20676.0,23452.0,5682.0
1724393972715869,20676.0,23445.0,5685.0
1724393972736131,20679.0,23420.0,5686.0
1724393972756204,20673.0,23681.0,5685.0
1724393972776261,20676.0,23845.0,5685.0
1724393972799460,20674.0,24094.0,5683.0
1724393972829636,20674.0,24314.0,5681.0
1724393972842587,20674.0,24366.0,5683.0
1724393972862755,20683.0,24402.0,5683.0
1724393972886192,20677.0,24417.0,5684.0
1724393972909589,20676.0,24245.0,5680.0
1724393972919212,20677.0,23994.0,5681.0
1724393972942924,20677.0,23739.0,5682.0
1724393972969637,20677.0,23564.0,5681.0
1724393972989442,20678.0,23465.0,5686.0
1724393973009451,20681.0,23360.0,5681.0
1724393973026114,20679.0,23182.0,5683.0
1724393973045966,20686.0,23328.0,5683.0
1724393973072808,20682.0,23353.0,5681.0
1724393973086084,20682.0,23421.0,5684.0
1724393973106060,20684.0,23424.0,5683.0
1724393973116005,20684.0,23507.0,5683.0
1724393973156128,20687.0,23540.0,5684.0
1724393973161221,20690.0,23520.0,5682.0
1724393973179438,20688.0,23553.0,5688.0
1724393973202928,20693.0,23522.0,5686.0
1724393973222810,20688.0,23437.0,5683.0
1724393973239693,20689.0,23453.0,5683.0
1724393973266121,20693.0,23386.0,5682.0
1724393973279306,20685.0,23335.0,5684.0
1724393973309651,20685.0,23339.0,5683.0
1724393973329435,20687.0,23340.0,5683.0
1724393973339259,20685.0,23270.0,5683.0
1724393973362925,20687.0,23310.0,5684.0
1724393973379644,20691.0,23297.0,5685.0
1724393973399469,20688.0,23339.0,5684.0
1724393973422905,20688.0,23320.0,5682.0
1724393973439642,20687.0,23289.0,5684.0
1724393973475991,20687.0,23326.0,5681.0
1724393973489488,20686.0,23209.0,5685.0
1724393973516362,20689.0,23310.0,5685.0
1724393973525804,20688.0,23389.0,5687.0
1724393973546097,20686.0,23502.0,5681.0
1724393973562795,20687.0,23438.0,5680.0
1724393973582896,20687.0,23406.0,5681.0
1724393973606443,20686.0,23396.0,5680.0
1724393973629380,20684.0,23452.0,5681.0
1724393973646173,20684.0,23578.0,5686.0
1724393973669573,20683.0,23778.0,5682.0
1724393973689371,20682.0,24042.0,5681.0
1724393973709368,20681.0,24220.0,5683.0
1724393973726324,20682.0,24299.0,5683.0
1724393973749592,20681.0,24292.0,5683.0
1724393973766285,20683.0,24207.0,5683.0
