Time,EDA,PPG,Temp
300,,,
1724393643752579,25247.0,25501.0,5569.0
1724393643765832,25245.0,24862.0,5570.0
1724393643782741,25236.0,24523.0,5573.0
1724393643799321,25242.0,24332.0,5569.0
1724393643819464,25240.0,24520.0,5567.0
1724393643849284,25228.0,25157.0,5570.0
1724393643858532,25233.0,24843.0,5571.0
1724393643879340,25233.0,24742.0,5568.0
1724393643899433,25225.0,25348.0,5571.0
1724393643916347,25222.0,24997.0,5572.0
1724393643939502,25233.0,24651.0,5570.0
1724393643956121,25218.0,23704.0,5571.0
1724393643989251,25221.0,23664.0,5572.0
1724393643997763,25217.0,22857.0,5566.0
1724393644016490,25217.0,23694.0,5569.0
1724393644039272,25213.0,24765.0,5569.0
1724393644059272,25209.0,25899.0,5568.0
1724393644079569,25208.0,26311.0,5568.0
1724393644099383,25207.0,26337.0,5571.0
1724393644116042,25202.0,26186.0,5570.0
1724393644139334,25204.0,25449.0,5570.0
1724393644159247,25207.0,24969.0,5565.0
1724393644179412,25197.0,25069.0,5567.0
1724393644192630,25197.0,24910.0,5574.0
1724393644212570,25196.0,24829.0,5570.0
1724393644235954,25194.0,24597.0,5574.0
1724393644252661,25190.0,24635.0,5571.0
1724393644275754,25196.0,24776.0,5568.0
1724393644295959,25187.0,24825.0,5566.0
1724393644316107,25190.0,24863.0,5572.0
1724393644332626,25187.0,24895.0,5575.0
1724393644355855,25185.0,24838.0,5569.0
1724393644375735,25186.0,24700.0,5567.0
1724393644399267,25185.0,24621.0,5570.0
1724393644412609,25190.0,24573.0,5568.0
1724393644425847,25191.0,24207.0,5572.0
1724393644446104,25183.0,23437.0,5568.0
1724393644466166,25181.0,24129.0,5572.0
1724393644486108,25181.0,23674.0,5571.0
1724393644516165,25176.0,23807.0,5569.0
1724393644525944,25178.0,25139.0,5569.0
1724393644546092,25172.0,26419.0,5569.0
1724393644566073,25175.0,26568.0,5576.0
1724393644585948,25171.0,26201.0,5577.0
1724393644602480,25172.0,25644.0,5569.0
1724393644619156,25181.0,24979.0,5569.0
1724393644642515,25170.0,24363.0,5571.0
1724393644659194,25168.0,24309.0,5571.0
1724393644679528,25169.0,24283.0,5569.0
1724393644702949,25174.0,24108.0,5572.0
