Time,EDA,Heart Rate,Temperature
BEGIN sesh2 FOR 600 SECONDS,,,
1724394003890439,25866.0,23978.0,5583.0
1724394003909246,25864.0,24412.0,5588.0
1724394003929201,25864.0,25411.0,5586.0
1724394003949125,25863.0,26284.0,5584.0
1724394003972405,25865.0,26425.0,5586.0
1724394004002544,25859.0,26148.0,5585.0
1724394004010824,25856.0,26070.0,5581.0
1724394004029339,25857.0,25323.0,5582.0
1724394004046172,25859.0,24933.0,5583.0
1724394004069201,25862.0,24927.0,5581.0
1724394004089098,25865.0,24629.0,5581.0
1724394004112733,25857.0,24916.0,5581.0
1724394004129603,25856.0,24823.0,5585.0
1724394004149154,25858.0,24690.0,5585.0
1724394004169223,25857.0,24730.0,5582.0
1724394004196249,25857.0,24845.0,5580.0
1724394004212472,25857.0,24640.0,5584.0
1724394004235919,25858.0,24914.0,5583.0
1724394004249151,25853.0,24345.0,5585.0
1724394004269250,25854.0,24566.0,5583.0
1724394004289468,25852.0,24531.0,5586.0
1724394004309269,25864.0,23148.0,5585.0
1724394004329133,25864.0,23496.0,5586.0
1724394004352767,25859.0,23698.0,5586.0
1724394004361845,25856.0,23696.0,5585.0
1724394004379693,25864.0,25314.0,5582.0
1724394004405930,25854.0,25970.0,5582.0
1724394004426161,25861.0,26532.0,5588.0
1724394004439252,25851.0,26452.0,5583.0
1724394004459529,25861.0,26283.0,5585.0
1724394004485890,25859.0,25928.0,5583.0
1724394004495976,25854.0,25182.0,5584.0
1724394004519248,25858.0,24803.0,5584.0
1724394004535837,25849.0,24335.0,5582.0
1724394004555717,25851.0,24903.0,5587.0
1724394004572528,25847.0,24736.0,5588.0
1724394004592688,25844.0,25179.0,5583.0
1724394004612657,25845.0,24802.0,5584.0
1724394004635972,25842.0,25085.0,5586.0
1724394004652507,25851.0,25159.0,5584.0
1724394004687156,25847.0,24339.0,5588.0
1724394004695899,25843.0,23718.0,5585.0
1724394004715841,25845.0,23290.0,5579.0
1724394004735957,25838.0,23853.0,5583.0
1724394004755909,25837.0,24953.0,5587.0
1724394004776151,25832.0,26170.0,5581.0
1724394004789092,25824.0,27001.0,5584.0
1724394004819275,25820.0,26690.0,5582.0
1724394004836039,25819.0,25956.0,5585.0
1724394004855830,25817.0,25692.0,5582.0
1724394004879157,25811.0,25428.0,5586.0
1724394004895994,25805.0,24884.0,5585.0
1724394004915857,25813.0,24297.0,5582.0
1724394004939159,25798.0,24490.0,5585.0
1724394004947255,25797.0,24977.0,5584.0
1724394004969251,25800.0,25027.0,5582.0
1724394004989223,25788.0,24922.0,5584.0
1724394005002761,25792.0,24852.0,5582.0
1724394005029567,25788.0,25161.0,5580.0
1724394005052490,25789.0,24770.0,5587.0
1724394005062524,25784.0,24607.0,5586.0
1724394005082585,25777.0,25048.0,5584.0
1724394005102748,25771.0,25140.0,5584.0
1724394005122608,25769.0,24776.0,5580.0
1724394005142704,25778.0,24973.0,5581.0
1724394005159339,25775.0,24631.0,5583.0
1724394005186152,25762.0,24563.0,5585.0
1724394005205974,25762.0,24741.0,5584.0
1724394005222678,25764.0,25206.0,5580.0
1724394005246006,25763.0,25184.0,5580.0
1724394005259274,25760.0,25226.0,5582.0
1724394005286039,25761.0,24584.0,5581.0
1724394005302660,25760.0,24539.0,5581.0
1724394005319433,25759.0,24320.0,5583.0
1724394005345884,25755.0,24419.0,5590.0
1724394005362555,25757.0,24583.0,5580.0
1724394005376188,25754.0,25170.0,5581.0
1724394005399314,25753.0,25239.0,5581.0
1724394005419304,25760.0,25082.0,5578.0
1724394005442870,25751.0,24633.0,5582.0
1724394005459562,25746.0,24768.0,5582.0
1724394005476295,25751.0,24938.0,5582.0
1724394005499308,25747.0,25084.0,5583.0
1724394005519254,25743.0,24857.0,5586.0
1724394005539219,25756.0,24805.0,5581.0
1724394005559529,25742.0,24753.0,5582.0
1724394005582803,25742.0,24959.0,5591.0
1724394005602609,25737.0,24978.0,5583.0
1724394005619158,25749.0,24827.0,5584.0
1724394005632683,25737.0,23635.0,5584.0
1724394005659556,25733.0,23171.0,5583.0
1724394005672115,25737.0,23737.0,5586.0
1724394005692757,25733.0,23980.0,5589.0
1724394005709536,25736.0,24362.0,5584.0
1724394005729625,25736.0,25474.0,5583.0
1724394005746291,25726.0,26505.0,5582.0
1724394005772574,25724.0,26279.0,5584.0
1724394005789336,25732.0,26006.0,5583.0
1724394005806058,25735.0,25663.0,5583.0
1724394005829254,25713.0,25667.0,5586.0
1724394005855933,25717.0,24874.0,5584.0
1724394005869437,25724.0,24756.0,5583.0
1724394005889163,25714.0,24513.0,5583.0
1724394005906001,25717.0,24340.0,5584.0
1724394005925917,25717.0,24602.0,5581.0
1724394005949547,25717.0,24672.0,5587.0
1724394005969054,25713.0,24742.0,5584.0
1724394005989272,25713.0,23823.0,5578.0
1724394006009332,25713.0,23441.0,5581.0
1724394006029398,25714.0,23156.0,5584.0
