Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 180 SECONDS,,,
1724392441729242,22317,24616,5616
1724392441739816,22306,22522,5616
1724392441756992,22306,24290,5611
1724392441769227,22316,25709,5611
1724392441789232,22303,27103,5613
1724392441812567,22303,27978,5612
1724392441832499,22296,27988,5610
1724392441845878,22299,27130,5611
1724392441872704,22297,25962,5609
1724392441884133,22297,25572,5610
1724392441902728,22296,24990,5618
1724392441925965,22307,24886,5608
1724392441949201,22299,24395,5606
1724392441965828,22296,24825,5607
1724392441989322,22307,24778,5615
1724392442005894,22301,24643,5610
1724392442029173,22296,24971,5609
1724392442055839,22294,25120,5610
1724392442065867,22298,25334,5611
1724392442089254,22307,24701,5611
1724392442112690,22300,24755,5614
1724392442129113,22298,24990,5610
1724392442149262,22301,24568,5611
1724392442165859,22301,23783,5612
1724392442185872,22308,23649,5614
1724392442205998,22301,23536,5611
1724392442219191,22302,23792,5609
1724392442239183,22303,24353,5611
1724392442269243,22304,24901,5611
1724392442278337,22305,25883,5612
1724392442292686,22298,26482,5612
1724392442322579,22303,26332,5611
1724392442336156,22308,25978,5607
1724392442352873,22292,25882,5611
1724392442376248,22294,25486,5612
1724392442392818,22301,25227,5610
1724392442412629,22295,25081,5610
1724392442429332,22289,24772,5613
1724392442456191,22294,25095,5612
1724392442472563,22292,25028,5609
1724392442489005,22290,24634,5611
1724392442519462,22293,24847,5613
1724392442529286,22297,25029,5611
1724392442552839,22290,25054,5611
1724392442572777,22301,24751,5609
1724392442605867,22293,24694,5610
1724392442617916,22292,23702,5611
1724392442635940,22297,22972,5617
1724392442656173,22296,23094,5609
1724392442675835,22289,24620,5613
1724392442695976,22289,25764,5609
1724392442712600,22290,25837,5615
1724392442739276,22286,26283,5607
1724392442749153,22286,25627,5619
1724392442772633,22292,24958,5615
1724392442792506,22290,24697,5612
1724392442802540,22281,24524,5615
1724392442832855,22285,24693,5611
1724392442851161,22282,24529,5611
1724392442864191,22277,24938,5610
1724392442885951,22280,24907,5608
1724392442915935,22294,24729,5611
1724392442929201,22275,25048,5609
1724392442942988,22270,25316,5612
1724392442960762,22284,25211,5610
1724392442982752,22277,24985,5614
1724392443005989,22279,25201,5616
1724392443019277,22272,25421,5614
1724392443042901,22275,24276,5612
1724392443072989,22274,23350,5614
1724392443082655,22274,23396,5611
1724392443099285,22282,23299,5612
1724392443125989,22272,23932,5608
1724392443142640,22270,25715,5608
1724392443159173,22267,26597,5609
1724392443175990,22267,26628,5615
1724392443199476,22271,26040,5610
1724392443219364,22271,25791,5609
1724392443232684,22266,25579,5609
1724392443262776,22265,25189,5615
1724392443279554,22267,24644,5610
1724392443292787,22266,24895,5611
1724392443319544,22262,24913,5610
1724392443339250,22263,24869,5609
1724392443359323,22262,24988,5612
1724392443379255,22261,25124,5615
1724392443395881,22259,24682,5611
1724392443419500,22261,25046,5608
1724392443442682,22260,24997,5612
1724392443460395,22259,24749,5611
1724392443479577,22266,23868,5612
1724392443489189,22264,23272,5611
1724392443519502,22266,23150,5613
1724392443539239,22261,23571,5611
1724392443549135,22258,24015,5610
1724392443565996,22265,25194,5614
1724392443585955,22261,26609,5609
1724392443609268,22254,26523,5611
1724392443629189,22261,26580,5608
1724392443649262,22256,26380,5610
1724392443665865,22256,25845,5616
1724392443689507,22254,25649,5612
1724392443709249,22256,24818,5609
1724392443722678,22248,24329,5612
1724392443742604,22249,24180,5614
1724392443769474,22254,24484,5614
1724392443785996,22251,24662,5610
1724392443802709,22248,25018,5612
1724392443830318,22245,24483,5613
1724392443852889,22247,24989,5611
1724392443879182,22261,25009,5607
1724392443889534,22249,25110,5611
1724392443899523,22252,25948,5611
1724392443922469,22246,25003,5610
1724392443942494,22253,25007,5612
1724392443976275,22244,24619,5611
1724392443989129,22246,24923,5613
1724392444005919,22245,24221,5608
1724392444025906,22248,23575,5612
1724392444049510,22246,23137,5611
1724392444059909,22254,23625,5612
1724392444082757,22249,24548,5614
1724392444109344,22247,24766,5615
1724392444120107,22245,25822,5610
1724392444152558,22244,26497,5612
1724392444162440,22244,26776,5615
1724392444172557,22236,26613,5613
1724392444195943,22255,25880,5612
1724392444216040,22251,25265,5610
1724392444229159,22239,24828,5611
1724392444249200,22247,24808,5611
1724392444272896,22248,24855,5611
1724392444289364,22238,24859,5608
1724392444312532,22245,24593,5612
1724392444332848,22254,24841,5615
1724392444356116,22249,24193,5611
1724392444369272,22254,23238,5616
1724392444396143,22240,23604,5610
1724392444412478,22247,23302,5611
1724392444425940,22246,23766,5615
1724392444452929,22244,25126,5615
1724392444475925,22249,26054,5611
1724392444489313,22251,26441,5613
1724392444512424,22248,26278,5610
1724392444532634,22246,26203,5608
1724392444545972,22247,25598,5604
1724392444569223,22247,25175,5611
1724392444589501,22247,24772,5610
1724392444612479,22247,24933,5610
1724392444629073,22251,24831,5609
1724392444652770,22249,24611,5613
1724392444669114,22250,23451,5610
1724392444692523,22254,23510,5613
1724392444712447,22256,23689,5610
1724392444721788,22257,23966,5614
1724392444742787,22256,24674,5611
1724392444769327,22255,26160,5609
1724392444782703,22257,26478,5609
1724392444799311,22261,26638,5612
1724392444822922,22265,26645,5611
1724392444842412,22258,25654,5610
1724392444861507,22252,25352,5609
1724392444879055,22264,25314,5610
1724392444892666,22264,24824,5611
1724392444919583,22260,24945,5615
1724392444939165,22262,24595,5610
1724392444959367,22269,25077,5613
