Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 180 SECONDS,,,
1724823994687201,19135.0,23185.0,4965.0
1724823994740690,19134.0,23094.0,4964.0
1724823994767353,19131.0,23116.0,4963.0
1724823994790636,19133.0,23192.0,4968.0
1724823994803044,19132.0,23314.0,4963.0
1724823994812569,19133.0,23491.0,4965.0
1724823994821933,19135.0,23682.0,4964.0
1724823994832354,19136.0,23646.0,4964.0
1724823994838509,19134.0,23856.0,4969.0
1724823994860910,19138.0,23905.0,4965.0
1724823994883933,19141.0,23833.0,4967.0
1724823994910724,19140.0,23821.0,4964.0
1724823994937629,19137.0,23770.0,4965.0
1724823994960809,19140.0,23524.0,4964.0
1724823994977380,19139.0,23496.0,4963.0
1724823994986593,19141.0,23450.0,4964.0
1724823994995999,19143.0,23426.0,4964.0
1724823995011100,19142.0,23436.0,4964.0
1724823995061118,19156.0,23499.0,4965.0
1724823995141131,19143.0,23590.0,4968.0
1724823995167549,19143.0,23651.0,4965.0
1724823995184385,19144.0,23899.0,4965.0
1724823995195373,19149.0,24390.0,4965.0
1724823995207792,19151.0,24670.0,4964.0
1724823995218002,19150.0,25079.0,4964.0
1724823995228888,19151.0,25081.0,4965.0
1724823995236654,19155.0,24851.0,4962.0
1724823995263915,19153.0,24310.0,4968.0
1724823995290506,19157.0,24153.0,4964.0
1724823995317629,19154.0,23835.0,4964.0
1724823995344081,19154.0,23491.0,4963.0
1724823995370758,19155.0,23149.0,4965.0
1724823995379205,19164.0,23053.0,4967.0
1724823995388622,19158.0,23167.0,4969.0
1724823995427457,19157.0,23271.0,4963.0
1724823995454247,19159.0,23352.0,4962.0
1724823995507447,19157.0,23497.0,4963.0
1724823995531030,19157.0,23723.0,4967.0
1724823995560782,19153.0,23867.0,4964.0
1724823995568465,19155.0,23851.0,4966.0
1724823995576310,19154.0,23696.0,4966.0
1724823995584255,19159.0,23849.0,4963.0
1724823995592159,19158.0,23766.0,4962.0
1724823995600170,19156.0,23681.0,4962.0
1724823995608134,19161.0,23538.0,4963.0
1724823995623901,19154.0,23464.0,4964.0
1724823995650947,19157.0,23450.0,4966.0
1724823995704205,19158.0,23483.0,4967.0
1724823995727657,19157.0,23539.0,4965.0
1724823995744088,19156.0,23515.0,4963.0
1724823995755899,19161.0,23472.0,4964.0
1724823995763392,19158.0,23506.0,4967.0
1724823995769536,19157.0,23724.0,4964.0
1724823995777518,19155.0,24158.0,4964.0
1724823995785306,19156.0,24621.0,4966.0
1724823995807242,19158.0,24924.0,4967.0
1724823995834111,19163.0,25018.0,4968.0
1724823995860564,19157.0,25017.0,4967.0
1724823995887804,19155.0,24753.0,4963.0
1724823995910925,19163.0,24252.0,4966.0
1724823995937557,19155.0,23785.0,4969.0
1724823995951946,19154.0,23389.0,4963.0
1724823995960980,19154.0,23170.0,4963.0
1724823995970194,19157.0,23003.0,4963.0
1724823995978383,19153.0,23060.0,4967.0
1724823995986250,19150.0,23129.0,4963.0
1724823996004013,19155.0,23184.0,4968.0
1724823996030931,19150.0,23533.0,4962.0
1724823996057558,19148.0,23647.0,4963.0
1724823996084296,19147.0,23769.0,4962.0
1724823996111006,19148.0,23723.0,4963.0
1724823996129061,19146.0,23865.0,4965.0
1724823996144085,19146.0,23822.0,4963.0
1724823996153133,19145.0,23733.0,4964.0
1724823996162586,19145.0,23470.0,4965.0
1724823996170595,19153.0,23417.0,4966.0
1724823996194294,19143.0,23556.0,4964.0
1724823996220768,19152.0,23464.0,4965.0
1724823996247733,19148.0,23382.0,4968.0
1724823996297867,19149.0,23407.0,4965.0
1724823996311749,19146.0,23491.0,4964.0
1724823996320591,19146.0,23478.0,4964.0
1724823996329074,19143.0,23414.0,4965.0
