Time,EDA,Heart Rate,Temperature
BEGIN sesh1 FOR 600 SECONDS,,,
1724824191387840,20462.0,24176.0,4949.0
1724824191404017,20459.0,24755.0,4951.0
1724824191414198,20460.0,24995.0,4954.0
1724824191434527,20458.0,25070.0,4949.0
1724824191454110,20458.0,24794.0,4949.0
1724824191474516,20459.0,24411.0,4950.0
1724824191494179,20459.0,23856.0,4949.0
1724824191521060,20460.0,23574.0,4950.0
1724824191537826,20464.0,23293.0,4950.0
1724824191554155,20471.0,23001.0,4951.0
1724824191577821,20482.0,23113.0,4950.0
1724824191604303,20473.0,23129.0,4949.0
1724824191627585,20485.0,23239.0,4948.0
1724824191650912,20491.0,23395.0,4949.0
1724824191664080,20500.0,23499.0,4951.0
1724824191677291,20498.0,23701.0,4948.0
1724824191720845,20504.0,23847.0,4950.0
1724824191751242,20511.0,23971.0,4950.0
1724824191771257,20512.0,23948.0,4949.0
1724824191779365,20521.0,23816.0,4950.0
1724824191817597,20527.0,23575.0,4947.0
1724824191831151,20534.0,23570.0,4947.0
1724824191840854,20540.0,23492.0,4950.0
1724824191850850,20545.0,23444.0,4948.0
1724824191867485,20553.0,23403.0,4948.0
1724824191884140,20561.0,23421.0,4947.0
1724824191904416,20576.0,23404.0,4948.0
1724824191924157,20578.0,23361.0,4946.0
1724824191944173,20587.0,23439.0,4947.0
1724824191971038,20596.0,23639.0,4946.0
1724824191979099,20603.0,24098.0,4948.0
1724824192004043,20612.0,24429.0,4952.0
1724824192020867,20620.0,24816.0,4949.0
1724824192044071,20626.0,24938.0,4948.0
1724824192054150,20634.0,24748.0,4949.0
1724824192077740,20648.0,24415.0,4950.0
1724824192097631,20655.0,24000.0,4950.0
1724824192124365,20664.0,23585.0,4950.0
1724824192132323,20672.0,23299.0,4949.0
1724824192160903,20674.0,23105.0,4948.0
1724824192177643,20678.0,22983.0,4948.0
1724824192207828,20685.0,22903.0,4949.0
1724824192216318,20690.0,23081.0,4949.0
1724824192244279,20707.0,23210.0,4949.0
1724824192257856,20704.0,23426.0,4949.0
1724824192277574,20711.0,23699.0,4949.0
1724824192297945,20717.0,23759.0,4948.0
1724824192344210,20722.0,23936.0,4948.0
1724824192367493,20729.0,23859.0,4947.0
1724824192394221,20735.0,23825.0,4947.0
1724824192407338,20741.0,23721.0,4949.0
1724824192427534,20747.0,23467.0,4948.0
1724824192437448,20750.0,23445.0,4953.0
1724824192444653,20758.0,23365.0,4948.0
1724824192464150,20762.0,23368.0,4949.0
1724824192492208,20766.0,23443.0,4948.0
1724824192510429,20767.0,23515.0,4946.0
1724824192527237,20770.0,23442.0,4947.0
1724824192560995,20772.0,23397.0,4946.0
1724824192564139,20777.0,23494.0,4951.0
1724824192597832,20777.0,23817.0,4947.0
1724824192608204,20782.0,24295.0,4952.0
1724824192627417,20785.0,24711.0,4952.0
1724824192647596,20785.0,24938.0,4953.0
1724824192671168,20790.0,24897.0,4947.0
1724824192687572,20790.0,24612.0,4952.0
1724824192697432,20794.0,24045.0,4953.0
1724824192717502,20798.0,23817.0,4949.0
1724824192747914,20798.0,23430.0,4950.0
1724824192767629,20799.0,23244.0,4950.0
1724824192776514,20796.0,23131.0,4950.0
1724824192824876,20805.0,22982.0,4949.0
1724824192851194,20800.0,22957.0,4949.0
1724824192874280,20800.0,23196.0,4948.0
1724824192882272,20800.0,23393.0,4949.0
1724824192904358,20807.0,23557.0,4948.0
1724824192921260,20797.0,23748.0,4951.0
1724824192934122,20797.0,23882.0,4948.0
1724824192944168,20800.0,23913.0,4949.0
1724824192974132,20797.0,23716.0,4948.0
1724824192984042,20802.0,23843.0,4947.0
1724824193004738,20801.0,23704.0,4952.0
1724824193034165,20798.0,23623.0,4948.0
1724824193047513,20799.0,23543.0,4946.0
1724824193060883,20796.0,23444.0,4946.0
1724824193090745,20797.0,23403.0,4947.0
1724824193117290,20793.0,23305.0,4947.0
1724824193127361,20795.0,23414.0,4954.0
1724824193147732,20794.0,23425.0,4947.0
1724824193167823,20796.0,23502.0,4947.0
1724824193190919,20790.0,23665.0,4947.0
1724824193207808,20788.0,24066.0,4946.0
1724824193231148,20784.0,24461.0,4946.0
1724824193264289,20782.0,24760.0,4948.0
1724824193274238,20786.0,24804.0,4951.0
1724824193287396,20777.0,24668.0,4948.0
1724824193307430,20777.0,24204.0,4949.0
1724824193327406,20772.0,23992.0,4951.0
1724824193351048,20770.0,23605.0,4950.0
1724824193370801,20764.0,23328.0,4951.0
1724824193387419,20763.0,23137.0,4946.0
1724824193400890,20757.0,23064.0,4948.0
1724824193433998,20755.0,23039.0,4948.0
1724824193440562,20752.0,23171.0,4950.0
1724824193460726,20750.0,23302.0,4952.0
1724824193487810,20748.0,23521.0,4949.0
1724824193514198,20743.0,23675.0,4948.0
1724824193527547,20748.0,23807.0,4949.0
1724824193557485,20746.0,23832.0,4948.0
1724824193564849,20738.0,23808.0,4947.0
1724824193590826,20732.0,23776.0,4948.0
1724824193600721,20727.0,23745.0,4947.0
1724824193637550,20726.0,23632.0,4948.0
1724824193645866,20724.0,23405.0,4947.0
1724824193670595,20725.0,23403.0,4952.0
