Time,EDA,Heart Rate,Temperature
BEGIN sesh1 FOR 600 SECONDS,,,
1724825611243880,20931.0,23504.0,4723.0
1724825611267430,20939.0,23376.0,4719.0
1724825611290885,20933.0,23330.0,4719.0
1724825611304290,20932.0,23263.0,4721.0
1724825611324277,20932.0,23288.0,4722.0
1724825611357433,20934.0,23292.0,4719.0
1724825611370907,20935.0,23261.0,4716.0
1724825611394253,20935.0,23354.0,4718.0
1724825611407225,20943.0,23537.0,4716.0
1724825611437285,20932.0,23802.0,4726.0
1724825611451066,20934.0,24000.0,4719.0
1724825611497375,20937.0,24086.0,4718.0
1724825611527484,20941.0,24080.0,4719.0
1724825611550626,20940.0,23871.0,4720.0
1724825611558417,20942.0,23715.0,4720.0
1724825611570667,20942.0,23563.0,4720.0
1724825611578440,20937.0,23438.0,4720.0
1724825611602194,20944.0,23234.0,4721.0
1724825611607466,20937.0,22978.0,4720.0
1724825611627367,20938.0,23077.0,4720.0
1724825611644020,20936.0,23237.0,4719.0
1724825611660938,20938.0,23316.0,4722.0
1724825611690855,20936.0,23434.0,4721.0
1724825611704276,20944.0,23545.0,4721.0
1724825611727425,20937.0,23597.0,4724.0
1724825611750753,20940.0,23616.0,4720.0
1724825611770914,20946.0,23615.0,4720.0
1724825611794119,20939.0,23503.0,4724.0
1724825611802056,20941.0,23435.0,4719.0
1724825611847506,20937.0,23303.0,4719.0
1724825611860710,20940.0,23426.0,4721.0
1724825611874028,20939.0,23384.0,4719.0
1724825611887337,20943.0,23254.0,4721.0
1724825611911372,20942.0,23233.0,4722.0
1724825611940737,20941.0,23309.0,4722.0
1724825611948544,20940.0,23445.0,4719.0
1724825611974173,20937.0,23646.0,4718.0
1724825611984001,20936.0,23783.0,4720.0
1724825612021077,20933.0,23940.0,4722.0
1724825612028844,20932.0,24042.0,4720.0
1724825612060837,20932.0,23981.0,4719.0
1724825612070495,20931.0,23845.0,4720.0
1724825612097325,20927.0,23672.0,4720.0
1724825612110636,20930.0,23514.0,4721.0
1724825612123986,20927.0,23356.0,4718.0
1724825612154021,20926.0,23240.0,4717.0
1724825612161740,20924.0,23164.0,4720.0
1724825612180774,20921.0,23115.0,4720.0
1724825612197560,20928.0,23185.0,4721.0
1724825612217376,20919.0,23280.0,4720.0
