Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 300 SECONDS,,,
1724825275963813,20323,22987,4770
1724825275972830,20323,23158,4771
1724825275982708,20323,23328,4770
1724825275993803,20323,23389,4774
1724825276017564,20326,23630,4773
1724825276039331,20324,23744,4773
1724825276067214,20329,23753,4773
1724825276077003,20322,23754,4773
1724825276093746,20322,23612,4775
1724825276120873,20324,23476,4770
1724825276140815,20323,23373,4773
1724825276149677,20321,23324,4767
1724825276177099,20321,23295,4770
1724825276200639,20329,23272,4768
1724825276224258,20328,23277,4768
1724825276240491,20327,23269,4771
1724825276253895,20320,23243,4771
1724825276270461,20323,23344,4771
1724825276287408,20321,23378,4771
1724825276310622,20321,23520,4769
1724825276327539,20324,23792,4769
1724825276357510,20330,24164,4769
1724825276370660,20324,24504,4770
1724825276393920,20322,24586,4772
1724825276417314,20325,24489,4772
1724825276434143,20326,24273,4771
1724825276454007,20325,24038,4772
1724825276480585,20329,23638,4774
1724825276500552,20326,23293,4770
1724825276513830,20324,22970,4770
1724825276547576,20327,23048,4769
1724825276557230,20327,22961,4770
1724825276580654,20324,23045,4774
1724825276607224,20323,23206,4769
1724825276637504,20329,23301,4770
1724825276647286,20323,23492,4769
1724825276667197,20324,23702,4768
1724825276680492,20323,23717,4768
1724825276697141,20322,23639,4770
1724825276720895,20324,23719,4769
1724825276737275,20321,23629,4768
1724825276757131,20321,23517,4768
1724825276783814,20322,23403,4771
1724825276807270,20324,23349,4774
1724825276824090,20324,23297,4769
1724825276853999,20326,23126,4769
1724825276874622,20330,23289,4768
1724825276889396,20326,23264,4770
1724825276900581,20324,23294,4772
1724825276917421,20324,23414,4771
1724825276937060,20321,23429,4770
1724825276947115,20326,23484,4776
1724825276970877,20327,23619,4770
1724825276990654,20324,23964,4771
1724825277010638,20324,24344,4771
1724825277034260,20325,24625,4769
1724825277060751,20323,24727,4770
1724825277083851,20322,24451,4770
1724825277097086,20323,24114,4770
1724825277116919,20329,23819,4771
1724825277144171,20320,23580,4771
1724825277160437,20324,23313,4770
1724825277183949,20331,23073,4768
1724825277197255,20324,23122,4769
1724825277223941,20325,23089,4771
1724825277240493,20326,23174,4769
1724825277257253,20327,23294,4771
1724825277280593,20327,23488,4768
1724825277303971,20324,23578,4772
1724825277317125,20324,23608,4773
1724825277334028,20327,23554,4769
1724825277364019,20325,23647,4769
1724825277380794,20325,23571,4769
1724825277403827,20322,23456,4770
1724825277440891,20323,23415,4769
1724825277459834,20328,23375,4770
1724825277475996,20321,23341,4767
1724825277487014,20322,23335,4771
1724825277494578,20321,23332,4770
1724825277520814,20328,23342,4769
1724825277543951,20321,23309,4770
1724825277563890,20323,23355,4769
1724825277580746,20331,23362,4769
1724825277597493,20323,23376,4769
1724825277617219,20329,23387,4770
1724825277637374,20326,23412,4769
1724825277657632,20327,23733,4770
1724825277687618,20326,24185,4774
1724825277707503,20328,24558,4770
1724825277717166,20325,24667,4770
1724825277737373,20329,24592,4770
1724825277757198,20324,24312,4770
1724825277800813,20323,23896,4770
1724825277827402,20321,23610,4769
1724825277854102,20322,23320,4769
1724825277877152,20319,23116,4769
1724825277890438,20321,22807,4770
1724825277910943,20320,23036,4769
1724825277917725,20321,23118,4769
1724825277925458,20320,23242,4774
1724825277936946,20322,23316,4766
1724825277967245,20322,23556,4769
1724825277983863,20321,23674,4769
1724825278003796,20322,23669,4769
1724825278023984,20320,23675,4767
1724825278054051,20319,23625,4771
1724825278067237,20322,23576,4769
1724825278087042,20323,23464,4774
1724825278107546,20322,23387,4770
1724825278130747,20323,23314,4772
1724825278147225,20323,23288,4771
1724825278163804,20322,23116,4770
1724825278187473,20318,23227,4771
1724825278200433,20319,23283,4771
1724825278217202,20322,23290,4770
1724825278237422,20324,23329,4770
1724825278257202,20321,23317,4769
1724825278277238,20321,23344,4769
1724825278300613,20323,23365,4771
