Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 180 SECONDS,,,
1724823994687201,19135,23185,4965
1724823994740690,19134,23094,4964
1724823994767353,19131,23116,4963
1724823994790636,19133,23192,4968
1724823994803044,19132,23314,4963
1724823994812569,19133,23491,4965
1724823994821933,19135,23682,4964
1724823994832354,19136,23646,4964
1724823994838509,19134,23856,4969
1724823994860910,19138,23905,4965
1724823994883933,19141,23833,4967
1724823994910724,19140,23821,4964
1724823994937629,19137,23770,4965
1724823994960809,19140,23524,4964
1724823994977380,19139,23496,4963
1724823994986593,19141,23450,4964
1724823994995999,19143,23426,4964
1724823995011100,19142,23436,4964
1724823995061118,19156,23499,4965
1724823995141131,19143,23590,4968
1724823995167549,19143,23651,4965
1724823995184385,19144,23899,4965
1724823995195373,19149,24390,4965
1724823995207792,19151,24670,4964
1724823995218002,19150,25079,4964
1724823995228888,19151,25081,4965
1724823995236654,19155,24851,4962
1724823995263915,19153,24310,4968
1724823995290506,19157,24153,4964
1724823995317629,19154,23835,4964
1724823995344081,19154,23491,4963
1724823995370758,19155,23149,4965
1724823995379205,19164,23053,4967
1724823995388622,19158,23167,4969
1724823995427457,19157,23271,4963
1724823995454247,19159,23352,4962
1724823995507447,19157,23497,4963
1724823995531030,19157,23723,4967
1724823995560782,19153,23867,4964
1724823995568465,19155,23851,4966
1724823995576310,19154,23696,4966
1724823995584255,19159,23849,4963
1724823995592159,19158,23766,4962
1724823995600170,19156,23681,4962
1724823995608134,19161,23538,4963
1724823995623901,19154,23464,4964
1724823995650947,19157,23450,4966
1724823995704205,19158,23483,4967
1724823995727657,19157,23539,4965
1724823995744088,19156,23515,4963
1724823995755899,19161,23472,4964
1724823995763392,19158,23506,4967
1724823995769536,19157,23724,4964
1724823995777518,19155,24158,4964
1724823995785306,19156,24621,4966
1724823995807242,19158,24924,4967
1724823995834111,19163,25018,4968
1724823995860564,19157,25017,4967
1724823995887804,19155,24753,4963
1724823995910925,19163,24252,4966
1724823995937557,19155,23785,4969
1724823995951946,19154,23389,4963
1724823995960980,19154,23170,4963
1724823995970194,19157,23003,4963
1724823995978383,19153,23060,4967
1724823995986250,19150,23129,4963
1724823996004013,19155,23184,4968
1724823996030931,19150,23533,4962
1724823996057558,19148,23647,4963
1724823996084296,19147,23769,4962
1724823996111006,19148,23723,4963
1724823996129061,19146,23865,4965
1724823996144085,19146,23822,4963
1724823996153133,19145,23733,4964
1724823996162586,19145,23470,4965
1724823996170595,19153,23417,4966
1724823996194294,19143,23556,4964
1724823996220768,19152,23464,4965
1724823996247733,19148,23382,4968
1724823996297867,19149,23407,4965
1724823996311749,19146,23491,4964
1724823996320591,19146,23478,4964
1724823996329074,19143,23414,4965
1724823996337190,19144,23703,4964
1724823996367629,19151,24091,4966
1724823996394385,19144,24667,4965
1724823996421067,19145,24967,4965
1724823996447674,19151,25022,4965
1724823996474441,19143,24832,4968
1724823996494013,19140,24522,4965
1724823996508766,19143,24105,4964
1724823996520245,19141,23758,4966
1724823996527826,19141,23425,4963
1724823996564380,19142,22994,4964
1724823996590938,19148,23054,4964
1724823996617348,19143,23130,4962
1724823996647788,19142,23188,4964
1724823996670858,19142,23283,4961
1724823996687146,19148,23375,4964
1724823996694871,19140,23619,4963
1724823996702103,19140,23763,4963
1724823996709241,19139,23834,4965
1724823996715917,19149,23842,4964
1724823996757785,19147,23791,4969
1724823996784402,19141,23794,4961
1724823996810956,19143,23547,4961
1724823996837415,19142,23547,4964
1724823996861112,19139,23485,4965
1724823996880855,19137,23434,4965
1724823996892135,19148,23363,4966
1724823996901856,19145,23431,4964
1724823996908568,19139,23492,4965
1724823996920538,19137,23466,4969
1724823996947593,19140,23421,4964
1724823996953160,19140,23607,4964
1724823997001043,19136,23776,4965
1724823997027903,19138,24241,4967
1724823997050738,19136,24591,4965
1724823997070658,19138,24920,4965
1724823997080631,19136,24927,4964
1724823997087131,19139,24724,4965
1724823997094057,19145,24369,4965
1724823997110635,19144,24022,4963
1724823997137547,19144,23527,4965
1724823997147343,19143,23419,4965
1724823997170916,19141,23083,4962
1724823997190681,19133,23112,4964
1724823997207561,19134,23063,4966
1724823997227335,19134,23141,4964
1724823997247599,19134,23313,4968
1724823997260793,19134,23496,4962
1724823997304268,19133,23672,4960
1724823997327313,19132,23788,4962
1724823997357352,19133,23794,4967
1724823997394450,19130,23858,4966
1724823997413987,19131,23826,4963
1724823997444836,19126,23737,4970
1724823997477649,19129,23632,4963
1724823997507613,19132,23499,4962
1724823997524614,19124,23411,4970
1724823997538064,19123,23402,4962
1724823997546349,19121,23387,4965
1724823997553250,19119,23283,4966
1724823997559706,19118,23442,4965
1724823997567231,19119,23458,4965
1724823997600562,19129,23448,4962
1724823997654047,19120,24012,4964
1724823997661831,19121,24419,4961
1724823997720871,19118,24720,4964
1724823997747858,19120,24893,4964
1724823997777850,19119,24813,4965
1724823997804416,19119,24358,4964
1724823997830685,19121,24188,4964
1724823997842646,19124,23743,4966
1724823997852997,19125,23485,4970
1724823997860513,19120,23384,4964
1724823997914083,19121,23220,4964
1724823997947671,19120,22936,4964
1724823997970793,19116,23125,4964
1724823997997386,19116,23265,4963
1724823998030684,19126,23230,4965
1724823998057826,19113,23606,4966
1724823998083916,19113,23806,4964
1724823998092233,19114,23866,4965
1724823998101178,19116,23812,4964
1724823998111010,19116,23830,4964
1724823998121053,19116,23882,4962
1724823998130200,19120,23694,4962
1724823998137568,19112,23571,4965
1724823998153947,19115,23572,4964
1724823998180883,19114,23460,4966
1724823998207463,19117,23357,4966
