Time,EDA,PPG,Temp
180,,,
1724823997997397,19289.0,25186.0,5102.0
1724823998057633,19289.0,24053.0,5101.0
1724823998077356,19290.0,24137.0,5102.0
1724823998093907,19292.0,24449.0,5099.0
1724823998106017,19297.0,24420.0,5101.0
1724823998130546,19292.0,24463.0,5103.0
1724823998153989,19297.0,25324.0,5102.0
1724823998180929,19296.0,25590.0,5097.0
1724823998207508,19301.0,25109.0,5103.0
1724823998230582,19307.0,24895.0,5102.0
1724823998260577,19302.0,23170.0,5098.0
1724823998287459,19301.0,24614.0,5099.0
1724823998310675,19299.0,25401.0,5099.0
1724823998340776,19303.0,25316.0,5100.0
1724823998362790,19304.0,25723.0,5102.0
1724823998379634,19298.0,25609.0,5101.0
1724823998390502,19305.0,24842.0,5099.0
1724823998396831,19306.0,22400.0,5104.0
1724823998410645,19306.0,21280.0,5104.0
1724823998467237,19302.0,23436.0,5103.0
1724823998478219,19307.0,24842.0,5100.0
1724823998488298,19309.0,25373.0,5101.0
1724823998499333,19304.0,26921.0,5102.0
1724823998514118,19309.0,24561.0,5105.0
1724823998564086,19303.0,25623.0,5103.0
1724823998590928,19304.0,26078.0,5102.0
1724823998610456,19313.0,25888.0,5101.0
1724823998621325,19305.0,26372.0,5106.0
1724823998631916,19298.0,26407.0,5102.0
1724823998647928,19302.0,25203.0,5101.0
1724823998670653,19306.0,25166.0,5103.0
1724823998720879,19303.0,24472.0,5105.0
1724823998728423,19302.0,23769.0,5102.0
1724823998750696,19303.0,23899.0,5102.0
1724823998760351,19309.0,23719.0,5099.0
1724823998800636,19296.0,24537.0,5099.0
1724823998827270,19307.0,23913.0,5104.0
1724823998854087,19298.0,24012.0,5098.0
1724823998890713,19303.0,25279.0,5099.0
1724823998903552,19299.0,26968.0,5104.0
1724823998920562,19299.0,25092.0,5104.0
1724823998928644,19304.0,23349.0,5105.0
1724823998937400,19296.0,23471.0,5102.0
1724823998945890,19294.0,25265.0,5101.0
1724823998953992,19291.0,26044.0,5101.0
1724823998963856,19290.0,26265.0,5104.0
1724823998983831,19295.0,25883.0,5101.0
1724823999010694,19287.0,26332.0,5100.0
1724823999064358,19281.0,26216.0,5100.0
1724823999087312,19285.0,24545.0,5099.0
1724823999098421,19282.0,23798.0,5103.0
1724823999110696,19284.0,22323.0,5103.0
1724823999122009,19279.0,22990.0,5104.0
1724823999131852,19284.0,23924.0,5101.0
1724823999147554,19289.0,24337.0,5101.0
1724823999164162,19279.0,25475.0,5102.0
1724823999177339,19279.0,25766.0,5103.0
1724823999200697,19281.0,25331.0,5102.0
1724823999206125,19287.0,25307.0,5102.0
1724823999250712,19276.0,25460.0,5103.0
1724823999258559,19277.0,24970.0,5100.0
1724823999277694,19273.0,24604.0,5102.0
1724823999307704,19275.0,23221.0,5105.0
1724823999327455,19271.0,24652.0,5103.0
1724823999341922,19271.0,25663.0,5107.0
1724823999351780,19268.0,25978.0,5102.0
1724823999361079,19269.0,23773.0,5101.0
1724823999400629,19268.0,23222.0,5103.0
1724823999450851,19265.0,24917.0,5103.0
1724823999477382,19265.0,24982.0,5101.0
1724823999494835,19265.0,25535.0,5102.0
1724823999505326,19265.0,25577.0,5101.0
1724823999537462,19264.0,25539.0,5101.0
1724823999555721,19263.0,24658.0,5105.0
1724823999567132,19262.0,23608.0,5101.0
1724823999594046,19257.0,25426.0,5100.0
1724823999620658,19257.0,26328.0,5100.0
1724823999647455,19259.0,25429.0,5099.0
1724823999653308,19261.0,25148.0,5105.0
1724823999661216,19266.0,24588.0,5103.0
1724823999669304,19258.0,25380.0,5099.0
1724823999680052,19253.0,25655.0,5101.0
1724823999688236,19260.0,25887.0,5102.0
1724823999696697,19265.0,23665.0,5105.0
1724823999720626,19265.0,21810.0,5105.0
1724823999747445,19264.0,22242.0,5104.0
1724823999754883,19259.0,25432.0,5105.0
1724823999762639,19261.0,26228.0,5100.0
1724823999770068,19260.0,26925.0,5102.0
1724823999817797,19270.0,26087.0,5104.0
1724823999844088,19262.0,26719.0,5103.0
1724823999870650,19259.0,26013.0,5102.0
1724823999901086,19258.0,24401.0,5102.0
1724823999920766,19261.0,23877.0,5101.0
1724823999944046,19256.0,23741.0,5102.0
1724823999959864,19257.0,22455.0,5102.0
1724823999984105,19254.0,24116.0,5104.0
1724824000010670,19252.0,25925.0,5104.0
1724824000017676,19254.0,25537.0,5101.0
1724824000028204,19255.0,25010.0,5102.0
1724824000036593,19250.0,25767.0,5102.0
1724824000045460,19247.0,25604.0,5099.0
1724824000063901,19251.0,25655.0,5100.0
1724824000114342,19251.0,25357.0,5102.0
1724824000140647,19247.0,25520.0,5099.0
1724824000164196,19252.0,23639.0,5099.0
1724824000180204,19245.0,24889.0,5106.0
