Time,EDA,Heart Rate,Temperature
BEGIN break FOR 300 SECONDS,,,
1724825279733767,25503.0,24574.0,4935.0
1724825279763891,25506.0,25069.0,4936.0
1724825279777129,25504.0,24577.0,4934.0
1724825279783830,25500.0,24833.0,4943.0
1724825279823812,25503.0,25018.0,4934.0
1724825279847123,25502.0,24693.0,4933.0
1724825279870537,25496.0,25587.0,4937.0
1724825279875616,25497.0,25161.0,4938.0
1724825279897122,25498.0,25623.0,4934.0
1724825279917436,25504.0,24288.0,4935.0
1724825279923935,25495.0,25176.0,4940.0
1724825279943770,25504.0,23467.0,4935.0
1724825279970527,25496.0,24056.0,4934.0
1724825279990584,25494.0,23870.0,4935.0
1724825280013882,25496.0,22947.0,4940.0
1724825280027180,25499.0,23404.0,4935.0
1724825280047289,25502.0,23337.0,4935.0
1724825280083975,25495.0,23876.0,4931.0
1724825280093399,25495.0,25556.0,4933.0
1724825280114152,25491.0,27053.0,4935.0
1724825280130656,25495.0,26283.0,4938.0
1724825280143885,25491.0,26174.0,4934.0
1724825280170644,25496.0,25132.0,4934.0
1724825280187073,25488.0,24743.0,4935.0
1724825280207156,25491.0,24430.0,4938.0
1724825280230531,25488.0,24469.0,4933.0
1724825280247174,25491.0,24439.0,4934.0
1724825280270442,25494.0,24515.0,4932.0
1724825280287110,25487.0,24675.0,4933.0
1724825280317557,25488.0,23975.0,4937.0
1724825280323867,25494.0,22592.0,4934.0
1724825280360548,25491.0,22146.0,4934.0
1724825280366696,25486.0,22263.0,4934.0
1724825280390612,25483.0,25120.0,4936.0
1724825280400628,25489.0,25771.0,4933.0
1724825280424270,25479.0,26946.0,4936.0
1724825280443979,25483.0,26183.0,4935.0
1724825280477229,25484.0,25897.0,4934.0
1724825280485984,25484.0,25386.0,4934.0
1724825280507423,25481.0,25957.0,4935.0
1724825280516143,25480.0,24835.0,4940.0
1724825280534136,25484.0,24927.0,4935.0
1724825280557230,25488.0,22969.0,4934.0
1724825280583968,25484.0,22560.0,4936.0
1724825280590553,25487.0,22727.0,4936.0
1724825280624015,25486.0,22740.0,4934.0
1724825280630733,25484.0,24365.0,4938.0
1724825280657346,25485.0,26834.0,4935.0
1724825280670544,25486.0,26796.0,4943.0
1724825280687231,25480.0,26127.0,4935.0
1724825280710676,25484.0,26121.0,4932.0
1724825280737265,25485.0,25488.0,4934.0
1724825280750555,25482.0,25133.0,4934.0
1724825280773946,25481.0,24638.0,4932.0
1724825280794085,25480.0,25031.0,4933.0
1724825280810677,25479.0,24537.0,4935.0
1724825280834373,25481.0,24458.0,4933.0
1724825280853812,25478.0,24473.0,4936.0
1724825280877391,25477.0,24642.0,4932.0
1724825280893887,25479.0,24032.0,4935.0
1724825280917246,25476.0,22868.0,4937.0
1724825280930633,25479.0,21890.0,4934.0
1724825280943721,25476.0,22846.0,4934.0
1724825280980696,25484.0,24531.0,4939.0
1724825280989804,25479.0,25768.0,4934.0
1724825281017203,25473.0,26919.0,4935.0
1724825281030457,25471.0,26427.0,4934.0
1724825281050645,25471.0,26525.0,4934.0
1724825281067158,25475.0,25528.0,4933.0
1724825281087263,25470.0,24869.0,4933.0
1724825281097365,25468.0,24341.0,4934.0
1724825281120617,25473.0,23966.0,4933.0
1724825281137357,25469.0,24811.0,4940.0
1724825281157189,25474.0,24209.0,4940.0
1724825281177547,25468.0,24329.0,4933.0
1724825281200573,25476.0,24269.0,4934.0
1724825281230610,25471.0,25025.0,4936.0
1724825281238678,25471.0,24972.0,4934.0
1724825281264260,25468.0,25474.0,4935.0
1724825281284042,25471.0,24736.0,4934.0
1724825281297426,25475.0,23518.0,4939.0
1724825281317285,25472.0,22677.0,4938.0
1724825281337309,25474.0,22738.0,4933.0
1724825281357315,25471.0,24044.0,4939.0
1724825281377463,25471.0,25211.0,4931.0
1724825281397379,25466.0,26081.0,4933.0
1724825281417155,25468.0,26717.0,4932.0
1724825281450772,25464.0,26277.0,4936.0
1724825281460016,25462.0,25874.0,4933.0
1724825281480683,25460.0,25689.0,4938.0
1724825281493938,25460.0,24944.0,4934.0
1724825281514013,25468.0,24169.0,4938.0
1724825281537211,25456.0,23917.0,4931.0
1724825281560615,25456.0,24109.0,4932.0
1724825281577326,25458.0,24055.0,4938.0
1724825281607277,25456.0,24601.0,4934.0
1724825281617350,25457.0,24624.0,4933.0
1724825281653919,25468.0,24766.0,4934.0
1724825281659548,25458.0,24724.0,4934.0
1724825281690542,25459.0,24702.0,4935.0
1724825281697192,25465.0,22610.0,4936.0
1724825281707438,25467.0,22113.0,4936.0
1724825281727422,25470.0,22030.0,4937.0
1724825281757343,25463.0,24256.0,4934.0
1724825281770750,25465.0,26319.0,4935.0
1724825281797691,25464.0,27272.0,4937.0
1724825281809781,25462.0,26492.0,4939.0
