Time,EDA,PPG,Temp
600,,,
1724825615604020,25556.0,25604.0,4868.0
1724825615627573,25557.0,25379.0,4870.0
1724825615637345,25552.0,24927.0,4868.0
1724825615667309,25556.0,25320.0,4870.0
1724825615687187,25556.0,24299.0,4867.0
1724825615717117,25557.0,24902.0,4869.0
1724825615724046,25563.0,24392.0,4870.0
1724825615750421,25554.0,24659.0,4865.0
1724825615767183,25559.0,23354.0,4868.0
1724825615787345,25558.0,23335.0,4869.0
1724825615797242,25558.0,22330.0,4872.0
1724825615827614,25556.0,22376.0,4870.0
1724825615847226,25552.0,24203.0,4866.0
1724825615853969,25550.0,26051.0,4871.0
1724825615877218,25552.0,26929.0,4868.0
1724825615904007,25554.0,26391.0,4867.0
1724825615917081,25553.0,26016.0,4876.0
1724825615947218,25550.0,26017.0,4868.0
1724825615957133,25550.0,24680.0,4869.0
1724825615970610,25550.0,24990.0,4874.0
1724825615997183,25549.0,24488.0,4869.0
1724825616007232,25549.0,24901.0,4871.0
1724825616027200,25554.0,24480.0,4870.0
1724825616051979,25548.0,24525.0,4870.0
1724825616074010,25550.0,25081.0,4867.0
1724825616103971,25549.0,24952.0,4869.0
1724825616154022,25551.0,23643.0,4867.0
1724825616160705,25550.0,24923.0,4871.0
1724825616169398,25549.0,25585.0,4869.0
1724825616189213,25551.0,25789.0,4871.0
1724825616210735,25558.0,23970.0,4869.0
1724825616219570,25553.0,24240.0,4869.0
1724825616227440,25548.0,24818.0,4870.0
1724825616247294,25555.0,24012.0,4864.0
1724825616287260,25553.0,24087.0,4871.0
1724825616295197,25554.0,23032.0,4870.0
1724825616307227,25555.0,22644.0,4870.0
1724825616330700,25556.0,22392.0,4867.0
1724825616350548,25556.0,24585.0,4867.0
1724825616364015,25557.0,26051.0,4869.0
1724825616394440,25558.0,26375.0,4868.0
1724825616410859,25552.0,26231.0,4870.0
1724825616423983,25549.0,25786.0,4866.0
1724825616450635,25559.0,25779.0,4865.0
1724825616467096,25551.0,25254.0,4873.0
1724825616490388,25543.0,24822.0,4868.0
1724825616510579,25550.0,24322.0,4871.0
1724825616527309,25546.0,24362.0,4869.0
1724825616540531,25547.0,24806.0,4869.0
1724825616577189,25543.0,24534.0,4870.0
1724825616584764,25550.0,24556.0,4868.0
1724825616592088,25541.0,25103.0,4868.0
1724825616620609,25545.0,24695.0,4869.0
1724825616640648,25543.0,25003.0,4868.0
1724825616660752,25545.0,24856.0,4869.0
1724825616684004,25539.0,24929.0,4868.0
1724825616698241,25540.0,24841.0,4868.0
1724825616710857,25543.0,24845.0,4868.0
1724825616734118,25538.0,24583.0,4869.0
1724825616757226,25543.0,23508.0,4869.0
1724825616777400,25543.0,22913.0,4871.0
1724825616797182,25547.0,22231.0,4867.0
1724825616827195,25546.0,22715.0,4868.0
1724825616847394,25542.0,24365.0,4869.0
1724825616877171,25539.0,26853.0,4875.0
1724825616884378,25537.0,27243.0,4873.0
1724825616893827,25540.0,27045.0,4867.0
1724825616910456,25539.0,26252.0,4866.0
1724825616937204,25536.0,24912.0,4866.0
1724825616953941,25537.0,24557.0,4865.0
1724825616974205,25543.0,24588.0,4872.0
1724825617027343,25533.0,23863.0,4867.0
1724825617035669,25536.0,23855.0,4867.0
1724825617043784,25536.0,25136.0,4866.0
1724825617080582,25534.0,25542.0,4867.0
1724825617100460,25536.0,23543.0,4867.0
1724825617107234,25533.0,24547.0,4865.0
1724825617120456,25533.0,25497.0,4870.0
1724825617140478,25535.0,25179.0,4874.0
1724825617153866,25536.0,24130.0,4869.0
1724825617164051,25535.0,25010.0,4870.0
1724825617190494,25545.0,24527.0,4867.0
1724825617217153,25536.0,25212.0,4873.0
1724825617230722,25538.0,24852.0,4870.0
1724825617247340,25536.0,25072.0,4873.0
1724825617270575,25536.0,24803.0,4869.0
1724825617290668,25539.0,24632.0,4873.0
1724825617298077,25538.0,24568.0,4868.0
1724825617317241,25536.0,25065.0,4867.0
1724825617340734,25541.0,24526.0,4871.0
1724825617360529,25539.0,24835.0,4867.0
1724825617377595,25542.0,24661.0,4869.0
1724825617400457,25544.0,23457.0,4868.0
1724825617420535,25542.0,22841.0,4866.0
1724825617443825,25542.0,22520.0,4869.0
1724825617463950,25542.0,23560.0,4867.0
1724825617473640,25543.0,25044.0,4869.0
1724825617507044,25549.0,26040.0,4870.0
1724825617520444,25543.0,26355.0,4870.0
1724825617537150,25542.0,25931.0,4866.0
1724825617564207,25539.0,25841.0,4864.0
1724825617573946,25541.0,25196.0,4867.0
1724825617607225,25540.0,25383.0,4871.0
1724825617620670,25544.0,24142.0,4867.0
1724825617653739,25539.0,24649.0,4866.0
1724825617661091,25540.0,24544.0,4869.0
1724825617687160,25537.0,25435.0,4865.0
1724825617704131,25542.0,23998.0,4866.0
1724825617717062,25539.0,24953.0,4867.0
1724825617733909,25541.0,25012.0,4868.0
1724825617760436,25542.0,24278.0,4865.0
