Time,EDA,Heart Rate,Temperature
BEGIN exam FOR 120 SECONDS,,,
1724826292851548,23355.0,23221.0,4868.0
1724826292870460,23352.0,22006.0,4868.0
1724826292883730,23352.0,22016.0,4867.0
1724826292903740,23353.0,22604.0,4868.0
1724826292923778,23350.0,25434.0,4863.0
1724826292933959,23350.0,26942.0,4866.0
1724826292947424,23351.0,27306.0,4868.0
1724826292993920,23360.0,25348.0,4865.0
1724826293001435,23350.0,25382.0,4865.0
1724826293033910,23353.0,25733.0,4863.0
1724826293047075,23361.0,24690.0,4865.0
1724826293056605,23354.0,24792.0,4864.0
1724826293090834,23359.0,24831.0,4866.0
1724826293113844,23358.0,23065.0,4865.0
1724826293122422,23359.0,24356.0,4864.0
1724826293133809,23361.0,25322.0,4863.0
1724826293147180,23360.0,24758.0,4864.0
1724826293187458,23371.0,24471.0,4866.0
1724826293217194,23373.0,23837.0,4864.0
1724826293224789,23370.0,24434.0,4865.0
1724826293231676,23370.0,24602.0,4869.0
1724826293250370,23377.0,25031.0,4861.0
1724826293263914,23376.0,23069.0,4865.0
1724826293283849,23377.0,23922.0,4865.0
1724826293327445,23385.0,23983.0,4864.0
1724826293350658,23389.0,22758.0,4868.0
1724826293364121,23389.0,22704.0,4868.0
1724826293372070,23389.0,23374.0,4865.0
1724826293380527,23389.0,25868.0,4865.0
1724826293423773,23388.0,25480.0,4868.0
1724826293428825,23390.0,25910.0,4865.0
1724826293460560,23395.0,27035.0,4865.0
1724826293487177,23397.0,25332.0,4867.0
1724826293497080,23385.0,25871.0,4867.0
1724826293510466,23389.0,25921.0,4865.0
1724826293523704,23387.0,25717.0,4866.0
1724826293533901,23384.0,25180.0,4871.0
1724826293573930,23392.0,23927.0,4867.0
1724826293597307,23383.0,23170.0,4861.0
1724826293603948,23377.0,24682.0,4867.0
1724826293613837,23380.0,25568.0,4868.0
1724826293657491,23377.0,24367.0,4865.0
1724826293664528,23372.0,23455.0,4866.0
1724826293677130,23373.0,24862.0,4865.0
1724826293706940,23374.0,24753.0,4871.0
1724826293726597,23369.0,24210.0,4866.0
