Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 180 SECONDS,,,
1724823997997397,19289,25186,5102
1724823998057633,19289,24053,5101
1724823998077356,19290,24137,5102
1724823998093907,19292,24449,5099
1724823998106017,19297,24420,5101
1724823998130546,19292,24463,5103
1724823998153989,19297,25324,5102
1724823998180929,19296,25590,5097
1724823998207508,19301,25109,5103
1724823998230582,19307,24895,5102
1724823998260577,19302,23170,5098
1724823998287459,19301,24614,5099
1724823998310675,19299,25401,5099
1724823998340776,19303,25316,5100
1724823998362790,19304,25723,5102
1724823998379634,19298,25609,5101
1724823998390502,19305,24842,5099
1724823998396831,19306,22400,5104
1724823998410645,19306,21280,5104
1724823998467237,19302,23436,5103
1724823998478219,19307,24842,5100
1724823998488298,19309,25373,5101
1724823998499333,19304,26921,5102
1724823998514118,19309,24561,5105
1724823998564086,19303,25623,5103
1724823998590928,19304,26078,5102
1724823998610456,19313,25888,5101
1724823998621325,19305,26372,5106
1724823998631916,19298,26407,5102
1724823998647928,19302,25203,5101
1724823998670653,19306,25166,5103
1724823998720879,19303,24472,5105
1724823998728423,19302,23769,5102
1724823998750696,19303,23899,5102
1724823998760351,19309,23719,5099
1724823998800636,19296,24537,5099
1724823998827270,19307,23913,5104
1724823998854087,19298,24012,5098
1724823998890713,19303,25279,5099
1724823998903552,19299,26968,5104
1724823998920562,19299,25092,5104
1724823998928644,19304,23349,5105
1724823998937400,19296,23471,5102
1724823998945890,19294,25265,5101
1724823998953992,19291,26044,5101
1724823998963856,19290,26265,5104
1724823998983831,19295,25883,5101
1724823999010694,19287,26332,5100
1724823999064358,19281,26216,5100
1724823999087312,19285,24545,5099
1724823999098421,19282,23798,5103
1724823999110696,19284,22323,5103
1724823999122009,19279,22990,5104
1724823999131852,19284,23924,5101
1724823999147554,19289,24337,5101
1724823999164162,19279,25475,5102
1724823999177339,19279,25766,5103
1724823999200697,19281,25331,5102
1724823999206125,19287,25307,5102
1724823999250712,19276,25460,5103
1724823999258559,19277,24970,5100
1724823999277694,19273,24604,5102
1724823999307704,19275,23221,5105
1724823999327455,19271,24652,5103
1724823999341922,19271,25663,5107
1724823999351780,19268,25978,5102
1724823999361079,19269,23773,5101
1724823999400629,19268,23222,5103
1724823999450851,19265,24917,5103
1724823999477382,19265,24982,5101
1724823999494835,19265,25535,5102
1724823999505326,19265,25577,5101
1724823999537462,19264,25539,5101
1724823999555721,19263,24658,5105
1724823999567132,19262,23608,5101
1724823999594046,19257,25426,5100
