Time,EDA,Heart Rate,Temperature
BEGIN baseline FOR 180 SECONDS,,,
1724824001586666,14360.0,24064.0,5102.0
1724824001601953,14356.0,23845.0,5100.0
1724824001623973,14353.0,23753.0,5099.0
1724824001653915,14351.0,23409.0,5101.0
1724824001660405,14349.0,23834.0,5101.0
1724824001670464,14344.0,23840.0,5100.0
1724824001704009,14342.0,23947.0,5098.0
1724824001740685,14341.0,23946.0,5101.0
1724824001750763,14340.0,23921.0,5100.0
1724824001758520,14337.0,23787.0,5100.0
1724824001803897,14337.0,23967.0,5099.0
1724824001813935,14335.0,23994.0,5099.0
1724824001834052,14336.0,23773.0,5100.0
1724824001847446,14337.0,23853.0,5102.0
1724824001900672,14334.0,23847.0,5101.0
1724824001943899,14338.0,23693.0,5099.0
1724824001951007,14340.0,23913.0,5100.0
1724824001967253,14336.0,23601.0,5098.0
1724824001977059,14335.0,23825.0,5099.0
1724824001987238,14338.0,23820.0,5097.0
1724824002017202,14345.0,23939.0,5099.0
1724824002030770,14339.0,24012.0,5100.0
1724824002057226,14342.0,24246.0,5100.0
1724824002070574,14339.0,24259.0,5101.0
1724824002117162,14339.0,24700.0,5101.0
1724824002127309,14343.0,24735.0,5100.0
1724824002137186,14345.0,24531.0,5100.0
1724824002157514,14343.0,24507.0,5098.0
1724824002197195,14349.0,24313.0,5101.0
1724824002203842,14345.0,24109.0,5099.0
1724824002223905,14347.0,24030.0,5099.0
1724824002240637,14342.0,23892.0,5099.0
1724824002280950,14343.0,23682.0,5100.0
1724824002300698,14341.0,23695.0,5098.0
1724824002330647,14338.0,23852.0,5097.0
1724824002337122,14334.0,23884.0,5100.0
1724824002350498,14329.0,24091.0,5097.0
1724824002390696,14328.0,23803.0,5101.0
1724824002398050,14327.0,23967.0,5098.0
1724824002433985,14322.0,24100.0,5102.0
1724824002453948,14319.0,23923.0,5101.0
1724824002480702,14314.0,23996.0,5099.0
1724824002489094,14311.0,23856.0,5100.0
1724824002520673,14308.0,23821.0,5097.0
1724824002530543,14304.0,23897.0,5099.0
1724824002557596,14300.0,23788.0,5102.0
1724824002567219,14299.0,23635.0,5101.0
1724824002607667,14297.0,23922.0,5099.0
1724824002618249,14296.0,23820.0,5098.0
1724824002637157,14298.0,23893.0,5099.0
1724824002660566,14298.0,24049.0,5099.0
1724824002700727,14298.0,24337.0,5101.0
1724824002706801,14297.0,24607.0,5100.0
1724824002717355,14299.0,24718.0,5101.0
1724824002760596,14298.0,24735.0,5102.0
1724824002773894,14300.0,24575.0,5097.0
1724824002807441,14297.0,24343.0,5101.0
1724824002843063,14297.0,24081.0,5099.0
1724824002853000,14300.0,23983.0,5098.0
1724824002861945,14299.0,23840.0,5098.0
1724824002900663,14301.0,23734.0,5099.0
1724824002913961,14302.0,23632.0,5098.0
1724824002927241,14299.0,23782.0,5099.0
1724824002967363,14306.0,23719.0,5099.0
1724824002987172,14303.0,23986.0,5099.0
1724824002999771,14303.0,23835.0,5101.0
1724824003027459,14304.0,23782.0,5101.0
1724824003040674,14306.0,23892.0,5101.0
1724824003057157,14306.0,24018.0,5101.0
1724824003070499,14309.0,23813.0,5101.0
1724824003103924,14306.0,23973.0,5099.0
1724824003127254,14308.0,23596.0,5099.0
1724824003140643,14309.0,23892.0,5100.0
1724824003163965,14302.0,23773.0,5100.0
1724824003193976,14304.0,23946.0,5099.0
1724824003207357,14301.0,23964.0,5100.0
1724824003237138,14299.0,23832.0,5101.0
1724824003250644,14295.0,23912.0,5102.0
1724824003270676,14294.0,23940.0,5099.0
1724824003297235,14289.0,23950.0,5099.0
1724824003307278,14285.0,24274.0,5101.0
1724824003344144,14284.0,24413.0,5099.0
1724824003357368,14280.0,24650.0,5100.0
1724824003383876,14279.0,24741.0,5099.0
1724824003417257,14278.0,24696.0,5099.0
1724824003427333,14281.0,24453.0,5100.0
1724824003440772,14279.0,24246.0,5098.0
1724824003480544,14280.0,24045.0,5100.0
1724824003494217,14280.0,23874.0,5102.0
1724824003510686,14280.0,23488.0,5099.0
1724824003540662,14279.0,23708.0,5098.0
1724824003577276,14280.0,23619.0,5100.0
1724824003587249,14280.0,23740.0,5099.0
1724824003603975,14277.0,23843.0,5101.0
1724824003630504,14271.0,23992.0,5100.0
1724824003647284,14266.0,24025.0,5099.0
1724824003670293,14261.0,24020.0,5100.0
1724824003690738,14257.0,23901.0,5097.0
1724824003717276,14253.0,24029.0,5099.0
1724824003737295,14247.0,23945.0,5099.0
1724824003757210,14241.0,23619.0,5099.0
1724824003783941,14236.0,23771.0,5101.0
1724824003790532,14231.0,23727.0,5100.0
1724824003830780,14222.0,23875.0,5098.0
1724824003847297,14222.0,23943.0,5099.0
1724824003864111,14218.0,23918.0,5099.0
1724824003890975,14212.0,23547.0,5100.0
1724824003910629,14210.0,23960.0,5100.0
1724824003953932,14206.0,24107.0,5100.0
1724824003967381,14200.0,24286.0,5102.0
1724824003980575,14198.0,24483.0,5100.0
1724824003997230,14194.0,24741.0,5100.0
1724824004027563,14193.0,24566.0,5101.0
1724824004043954,14190.0,24528.0,5099.0
1724824004057368,14191.0,24379.0,5100.0
1724824004083976,14189.0,24343.0,5100.0
1724824004117325,14181.0,23964.0,5097.0
1724824004130609,14179.0,23692.0,5100.0
1724824004150643,14175.0,23757.0,5099.0
1724824004197237,14177.0,23708.0,5098.0
1724824004220586,14177.0,23688.0,5098.0
1724824004231124,14169.0,23731.0,5100.0
1724824004254037,14175.0,23804.0,5096.0
1724824004267559,14172.0,23905.0,5101.0
1724824004283950,14173.0,23916.0,5098.0
1724824004297177,14172.0,23968.0,5099.0
1724824004334099,14176.0,23846.0,5100.0
1724824004354105,14176.0,23761.0,5100.0
1724824004377466,14179.0,23982.0,5098.0
1724824004394113,14182.0,23878.0,5098.0
1724824004411031,14185.0,23855.0,5100.0
1724824004450733,14186.0,23643.0,5099.0
1724824004467271,14185.0,23761.0,5099.0
1724824004480161,14187.0,23825.0,5101.0
1724824004497232,14190.0,23985.0,5101.0
1724824004523793,14191.0,23968.0,5098.0
1724824004547646,14195.0,23981.0,5098.0
1724824004566277,14198.0,23891.0,5100.0
1724824004587482,14199.0,24432.0,5099.0
1724824004607110,14200.0,24564.0,5100.0
1724824004623798,14197.0,24735.0,5100.0
1724824004647259,14197.0,24784.0,5102.0
1724824004670692,14201.0,24625.0,5100.0
