Time,EDA,PPG,Temp
600,,,
1724824193653856,21327.0,24181.0,5090.0
1724824193670660,21329.0,23872.0,5092.0
1724824193680676,21333.0,24091.0,5092.0
1724824193703951,21334.0,24018.0,5090.0
1724824193731132,21340.0,23903.0,5091.0
1724824193747886,21340.0,23949.0,5092.0
1724824193777521,21341.0,23878.0,5093.0
1724824193797891,21345.0,23699.0,5092.0
1724824193824267,21344.0,23950.0,5090.0
1724824193837413,21347.0,24126.0,5090.0
1724824193874010,21350.0,24165.0,5089.0
1724824193887613,21352.0,24302.0,5092.0
1724824193907373,21353.0,24438.0,5089.0
1724824193934088,21356.0,24460.0,5092.0
1724824193947421,21357.0,24414.0,5091.0
1724824193974111,21359.0,24143.0,5091.0
1724824194002837,21361.0,24110.0,5094.0
1724824194017484,21362.0,24168.0,5091.0
1724824194050843,21363.0,23918.0,5091.0
1724824194057522,21365.0,23999.0,5090.0
1724824194097416,21369.0,23988.0,5090.0
1724824194117437,21368.0,23924.0,5089.0
1724824194127382,21371.0,24055.0,5091.0
1724824194144110,21368.0,24046.0,5090.0
1724824194164422,21369.0,24008.0,5090.0
1724824194207471,21370.0,23885.0,5092.0
1724824194237482,21373.0,24055.0,5090.0
1724824194260748,21370.0,24019.0,5089.0
1724824194267309,21371.0,23891.0,5089.0
1724824194287132,21366.0,23840.0,5091.0
1724824194293841,21368.0,23976.0,5092.0
1724824194330987,21370.0,24013.0,5089.0
1724824194350753,21369.0,23988.0,5092.0
1724824194373875,21368.0,23998.0,5091.0
1724824194384331,21369.0,23944.0,5093.0
1724824194417303,21366.0,24050.0,5091.0
1724824194430772,21367.0,24048.0,5091.0
1724824194463735,21365.0,23985.0,5091.0
1724824194467659,21364.0,23871.0,5090.0
1724824194487365,21364.0,24256.0,5086.0
1724824194527190,21364.0,24358.0,5091.0
1724824194540606,21364.0,24437.0,5092.0
1724824194564016,21362.0,24246.0,5092.0
1724824194587275,21363.0,24346.0,5091.0
1724824194607290,21361.0,24259.0,5089.0
1724824194627350,21361.0,24125.0,5091.0
1724824194654114,21357.0,24055.0,5090.0
1724824194683977,21351.0,23982.0,5089.0
1724824194693161,21345.0,23949.0,5089.0
1724824194720730,21342.0,23915.0,5089.0
1724824194740766,21337.0,23961.0,5089.0
1724824194767347,21332.0,23990.0,5091.0
1724824194784038,21326.0,23988.0,5090.0
1724824194820571,21319.0,24032.0,5091.0
1724824194843818,21311.0,23853.0,5092.0
1724824194857391,21293.0,24067.0,5091.0
1724824194873848,21271.0,24054.0,5091.0
1724824194897193,21236.0,24032.0,5089.0
1724824194917202,21198.0,24045.0,5089.0
1724824194937273,21154.0,23966.0,5091.0
1724824194960862,21108.0,24113.0,5090.0
1724824194977410,21060.0,23937.0,5091.0
1724824195003937,21007.0,24083.0,5090.0
1724824195024057,20958.0,24094.0,5089.0
1724824195047301,20914.0,23818.0,5091.0
1724824195060707,20870.0,23994.0,5090.0
1724824195090753,20833.0,23708.0,5090.0
1724824195113976,20800.0,23941.0,5091.0
1724824195134128,20771.0,24158.0,5090.0
1724824195157313,20746.0,24186.0,5092.0
1724824195177438,20728.0,24203.0,5090.0
1724824195204107,20711.0,24403.0,5091.0
1724824195210600,20700.0,24216.0,5090.0
1724824195244206,20690.0,24380.0,5091.0
1724824195277318,20682.0,24196.0,5090.0
1724824195287184,20678.0,24155.0,5090.0
1724824195303988,20679.0,23795.0,5091.0
1724824195330719,20674.0,23932.0,5091.0
1724824195357181,20674.0,23938.0,5091.0
1724824195373977,20674.0,23663.0,5090.0
1724824195390807,20679.0,23958.0,5091.0
1724824195430595,20679.0,24034.0,5090.0
1724824195440554,20679.0,24019.0,5090.0
1724824195464003,20681.0,24002.0,5091.0
1724824195487247,20679.0,24137.0,5091.0
1724824195503996,20678.0,24106.0,5090.0
1724824195530771,20677.0,23898.0,5091.0
1724824195554088,20674.0,24094.0,5088.0
1724824195570668,20673.0,23999.0,5092.0
1724824195600814,20674.0,24118.0,5089.0
1724824195620689,20670.0,23906.0,5091.0
1724824195627688,20668.0,24076.0,5091.0
1724824195664069,20670.0,23993.0,5089.0
1724824195687540,20667.0,24009.0,5091.0
1724824195700662,20670.0,24052.0,5090.0
1724824195737376,20671.0,24123.0,5089.0
1724824195744155,20664.0,24184.0,5090.0
1724824195780719,20668.0,24225.0,5093.0
1724824195790176,20669.0,24146.0,5090.0
1724824195820570,20667.0,24235.0,5091.0
1724824195847235,20666.0,24277.0,5090.0
1724824195853999,20668.0,24448.0,5090.0
1724824195874000,20667.0,24280.0,5091.0
1724824195907349,20667.0,24334.0,5092.0
1724824195960635,20667.0,24088.0,5090.0
1724824195993937,20664.0,23749.0,5090.0
1724824196017264,20666.0,23706.0,5089.0
1724824196030777,20661.0,23955.0,5092.0
1724824196050605,20661.0,23932.0,5090.0
1724824196057218,20655.0,23721.0,5090.0
1724824196080962,20652.0,23999.0,5090.0
1724824196093866,20652.0,23946.0,5089.0
1724824196107320,20652.0,24011.0,5089.0
1724824196127320,20647.0,24037.0,5089.0
1724824196133945,20646.0,24132.0,5090.0
1724824196153996,20644.0,24096.0,5092.0
1724824196187375,20643.0,24064.0,5090.0
1724824196210665,20640.0,24055.0,5089.0
1724824196224013,20643.0,24015.0,5091.0
1724824196250758,20637.0,23810.0,5091.0
1724824196273947,20634.0,24113.0,5092.0
1724824196300675,20631.0,24081.0,5089.0
1724824196307397,20624.0,24068.0,5091.0
1724824196337336,20629.0,24162.0,5091.0
1724824196367429,20625.0,24028.0,5090.0
1724824196377403,20626.0,24199.0,5091.0
1724824196417347,20623.0,24286.0,5090.0
1724824196434027,20621.0,24115.0,5090.0
1724824196447370,20620.0,24243.0,5091.0
1724824196464025,20622.0,24356.0,5091.0
1724824196490660,20618.0,24440.0,5089.0
1724824196510653,20614.0,24140.0,5090.0
1724824196540681,20616.0,24174.0,5090.0
1724824196547310,20614.0,24210.0,5091.0
1724824196580602,20610.0,24276.0,5091.0
1724824196597320,20608.0,24130.0,5090.0
1724824196620629,20603.0,24130.0,5089.0
1724824196644030,20599.0,24068.0,5090.0
1724824196667410,20593.0,24043.0,5090.0
1724824196687519,20594.0,24054.0,5090.0
1724824196707456,20588.0,24189.0,5090.0
1724824196723975,20588.0,24123.0,5090.0
1724824196754164,20586.0,24125.0,5091.0
1724824196777549,20582.0,24110.0,5090.0
1724824196796390,20578.0,24126.0,5091.0
1724824196829340,20577.0,24099.0,5090.0
1724824196843979,20576.0,24066.0,5090.0
1724824196874064,20575.0,24138.0,5089.0
1724824196887317,20573.0,24074.0,5091.0
1724824196907242,20575.0,23965.0,5090.0
1724824196930610,20573.0,24118.0,5089.0
1724824196947143,20572.0,24063.0,5091.0
1724824196960640,20571.0,24021.0,5089.0
1724824197003865,20574.0,24127.0,5090.0
1724824197020790,20571.0,24294.0,5091.0
1724824197030805,20569.0,24363.0,5088.0
1724824197070711,20568.0,24391.0,5088.0
1724824197077127,20566.0,24375.0,5091.0
1724824197101008,20565.0,24416.0,5091.0
1724824197120715,20563.0,24272.0,5090.0
1724824197153956,20561.0,24271.0,5090.0
1724824197170615,20559.0,24042.0,5088.0
1724824197197497,20555.0,24142.0,5089.0
1724824197207223,20550.0,24012.0,5092.0
1724824197243972,20547.0,24106.0,5091.0
1724824197257169,20546.0,23876.0,5091.0
1724824197284105,20539.0,23903.0,5089.0
1724824197297293,20535.0,23868.0,5091.0
1724824197323816,20531.0,24148.0,5089.0
1724824197344066,20529.0,24152.0,5089.0
1724824197367334,20521.0,24279.0,5091.0
1724824197397403,20515.0,24120.0,5088.0
1724824197409758,20510.0,24091.0,5088.0
1724824197424057,20506.0,24113.0,5088.0
1724824197450637,20499.0,24067.0,5090.0
1724824197480871,20491.0,23926.0,5088.0
1724824197507251,20486.0,24087.0,5088.0
1724824197523962,20477.0,24013.0,5089.0
1724824197537357,20475.0,24061.0,5087.0
1724824197567369,20469.0,24117.0,5089.0
1724824197590630,20470.0,24028.0,5089.0
1724824197617169,20463.0,24412.0,5090.0
1724824197630982,20468.0,24463.0,5091.0
1724824197653852,20463.0,24516.0,5091.0
1724824197670702,20463.0,24581.0,5088.0
1724824197707317,20461.0,24436.0,5090.0
1724824197717277,20462.0,24159.0,5090.0
1724824197740672,20457.0,24326.0,5091.0
1724824197763960,20464.0,24075.0,5090.0
1724824197787452,20465.0,23999.0,5089.0
1724824197810725,20463.0,24114.0,5089.0
1724824197827352,20463.0,24209.0,5091.0
1724824197837467,20463.0,23970.0,5092.0
1724824197867373,20458.0,23966.0,5089.0
1724824197897319,20460.0,24182.0,5091.0
1724824197910690,20456.0,24229.0,5092.0
1724824197934270,20455.0,23922.0,5091.0
1724824197977439,20452.0,24267.0,5091.0
1724824198000702,20446.0,24208.0,5090.0
1724824198023994,20447.0,24130.0,5090.0
1724824198060598,20443.0,24167.0,5087.0
1724824198090725,20436.0,24109.0,5090.0
1724824198100738,20435.0,24114.0,5092.0
1724824198117536,20427.0,24108.0,5090.0
1724824198125651,20421.0,24107.0,5090.0
1724824198144182,20415.0,24094.0,5089.0
1724824198160745,20410.0,24106.0,5090.0
1724824198177499,20406.0,24109.0,5089.0
1724824198210778,20402.0,24270.0,5091.0
1724824198217378,20395.0,24375.0,5088.0
1724824198237315,20393.0,24525.0,5090.0
1724824198265349,20384.0,24439.0,5091.0
1724824198284049,20378.0,24540.0,5089.0
1724824198317325,20373.0,24385.0,5090.0
1724824198327388,20369.0,24354.0,5090.0
1724824198357270,20365.0,24179.0,5090.0
1724824198377233,20360.0,24009.0,5090.0
1724824198407177,20356.0,23953.0,5088.0
1724824198427350,20351.0,24017.0,5089.0
1724824198440771,20353.0,24029.0,5095.0
1724824198457321,20351.0,24054.0,5090.0
1724824198497405,20347.0,24205.0,5091.0
1724824198503934,20345.0,24219.0,5090.0
1724824198523931,20347.0,23977.0,5089.0
1724824198557453,20345.0,24278.0,5090.0
1724824198577418,20346.0,24244.0,5091.0
1724824198595057,20343.0,24100.0,5091.0
1724824198617515,20342.0,24196.0,5091.0
1724824198637414,20343.0,24042.0,5089.0
1724824198657501,20344.0,23981.0,5088.0
1724824198670797,20346.0,24101.0,5088.0
1724824198697573,20348.0,24019.0,5090.0
1724824198721057,20349.0,24112.0,5088.0
1724824198747330,20347.0,24115.0,5090.0
