Time,EDA,Heart Rate,Temperature
BEGIN exam FOR 300 SECONDS,,,
1724824860717353,21980.0,24319.0,4985.0
1724824860747610,21982.0,24331.0,4982.0
1724824860784200,21984.0,24267.0,4985.0
1724824860817470,21985.0,24418.0,4982.0
1724824860844212,21987.0,24488.0,4984.0
1724824860857231,21993.0,24353.0,4986.0
1724824860870913,21994.0,24474.0,4988.0
1724824860893993,21994.0,24418.0,4985.0
1724824860910758,21994.0,24633.0,4987.0
1724824860917409,21992.0,24486.0,4985.0
1724824860937426,21991.0,24286.0,4983.0
1724824860954228,21992.0,24508.0,4985.0
1724824860977631,21985.0,24300.0,4986.0
1724824860984274,21980.0,24194.0,4984.0
1724824861024006,21976.0,24557.0,4986.0
1724824861031466,21973.0,24537.0,4984.0
1724824861047408,21975.0,24516.0,4984.0
1724824861081039,21976.0,24564.0,4984.0
1724824861090888,21978.0,24653.0,4984.0
1724824861134059,21979.0,24710.0,4985.0
1724824861147619,21981.0,24705.0,4984.0
1724824861154752,21983.0,24785.0,4985.0
1724824861197726,21981.0,24560.0,4984.0
1724824861205398,21983.0,24702.0,4985.0
1724824861240846,21984.0,24680.0,4982.0
1724824861247686,21986.0,24464.0,4985.0
1724824861270798,21988.0,24571.0,4982.0
1724824861304024,21987.0,24510.0,4986.0
1724824861310841,21983.0,24518.0,4987.0
1724824861330799,21983.0,24348.0,4986.0
1724824861360791,21985.0,24526.0,4983.0
1724824861374121,21982.0,24504.0,4983.0
1724824861420821,21980.0,24552.0,4984.0
1724824861460831,21981.0,24592.0,4984.0
1724824861474257,21976.0,24596.0,4984.0
1724824861480826,21978.0,24578.0,4986.0
1724824861494150,21982.0,24643.0,4985.0
1724824861510665,21980.0,24574.0,4986.0
1724824861541081,21978.0,24520.0,4984.0
1724824861557748,21980.0,24430.0,4986.0
1724824861577599,21980.0,24502.0,4984.0
1724824861603893,21977.0,24410.0,4985.0
1724824861630857,21976.0,24347.0,4984.0
1724824861647250,21976.0,24618.0,4985.0
1724824861670693,21971.0,24564.0,4985.0
1724824861694151,21968.0,24618.0,4986.0
1724824861720797,21966.0,24540.0,4984.0
1724824861727688,21960.0,24544.0,4986.0
1724824861764056,21962.0,24597.0,4983.0
1724824861781178,21956.0,24655.0,4985.0
1724824861801064,21950.0,24655.0,4985.0
1724824861814465,21951.0,24442.0,4985.0
