Time,EDA,Heart Rate,Temperature
BEGIN break FOR 300 SECONDS,,,
1724825278723715,22433.0,25114.0,4913.0
1724825278730398,22431.0,25167.0,4913.0
1724825278753916,22435.0,25106.0,4914.0
1724825278777111,22431.0,25004.0,4912.0
1724825278797104,22432.0,25160.0,4914.0
1724825278827005,22435.0,25252.0,4914.0
1724825278853766,22435.0,25362.0,4911.0
1724825278860542,22436.0,25425.0,4913.0
1724825278894043,22428.0,25455.0,4914.0
1724825278907167,22436.0,25190.0,4911.0
1724825278937269,22430.0,25327.0,4913.0
1724825278954334,22435.0,25235.0,4912.0
1724825278980637,22432.0,25076.0,4910.0
1724825278997135,22431.0,25200.0,4911.0
1724825279023834,22431.0,25181.0,4912.0
1724825279050478,22431.0,24918.0,4913.0
1724825279063948,22432.0,25225.0,4910.0
1724825279073814,22434.0,25090.0,4913.0
1724825279123706,22438.0,24912.0,4913.0
1724825279170611,22436.0,25301.0,4912.0
1724825279197450,22437.0,25251.0,4913.0
1724825279230695,22439.0,25180.0,4913.0
1724825279240377,22436.0,25224.0,4911.0
1724825279253816,22441.0,25320.0,4913.0
1724825279270552,22441.0,25296.0,4913.0
1724825279283841,22443.0,25316.0,4914.0
1724825279297198,22444.0,25296.0,4913.0
1724825279307013,22446.0,25241.0,4912.0
1724825279330570,22443.0,25237.0,4910.0
1724825279340423,22448.0,25195.0,4911.0
1724825279380495,22448.0,25286.0,4913.0
1724825279382878,22448.0,25150.0,4914.0
1724825279413736,22447.0,25125.0,4913.0
1724825279433759,22446.0,25250.0,4914.0
1724825279467059,22445.0,25518.0,4914.0
1724825279487183,22445.0,25430.0,4912.0
1724825279500484,22446.0,25456.0,4913.0
1724825279520635,22444.0,25442.0,4913.0
1724825279553824,22444.0,25461.0,4913.0
1724825279563824,22445.0,25403.0,4913.0
1724825279590447,22443.0,25303.0,4913.0
1724825279607166,22439.0,25249.0,4911.0
1724825279630259,22439.0,25287.0,4913.0
1724825279650415,22440.0,25387.0,4912.0
1724825279677193,22442.0,25342.0,4911.0
1724825279698035,22434.0,25405.0,4915.0
1724825279720561,22433.0,25292.0,4911.0
1724825279747324,22429.0,25318.0,4913.0
1724825279777167,22431.0,25401.0,4910.0
1724825279783829,22430.0,25289.0,4910.0
1724825279803804,22425.0,25326.0,4911.0
1724825279833918,22428.0,25180.0,4912.0
1724825279860594,22429.0,25350.0,4913.0
1724825279870542,22428.0,25340.0,4913.0
1724825279887179,22427.0,25285.0,4909.0
1724825279903913,22427.0,25259.0,4914.0
1724825279930564,22426.0,25472.0,4912.0
1724825279957150,22428.0,25403.0,4911.0
1724825279970633,22428.0,25431.0,4910.0
1724825280007343,22430.0,25380.0,4913.0
1724825280020619,22426.0,25223.0,4911.0
1724825280040664,22425.0,25497.0,4913.0
1724825280064179,22427.0,25394.0,4912.0
1724825280097356,22426.0,25511.0,4910.0
1724825280104451,22430.0,25521.0,4913.0
1724825280143930,22427.0,25598.0,4910.0
1724825280160555,22426.0,25424.0,4911.0
1724825280177219,22426.0,25386.0,4911.0
1724825280207179,22429.0,25415.0,4911.0
1724825280223868,22430.0,25345.0,4912.0
1724825280240610,22430.0,25279.0,4913.0
1724825280270484,22435.0,25355.0,4913.0
1724825280287117,22433.0,25297.0,4914.0
1724825280317559,22438.0,25417.0,4911.0
1724825280334068,22436.0,25420.0,4914.0
1724825280353919,22437.0,25440.0,4911.0
1724825280370703,22440.0,25488.0,4909.0
1724825280390767,22438.0,25369.0,4911.0
1724825280417172,22439.0,25270.0,4912.0
1724825280444012,22435.0,25354.0,4912.0
1724825280470855,22438.0,25263.0,4912.0
1724825280497406,22433.0,25050.0,4915.0
1724825280507336,22438.0,25346.0,4913.0
1724825280534141,22438.0,25328.0,4911.0
1724825280550772,22437.0,25275.0,4915.0
1724825280583935,22440.0,25400.0,4910.0
1724825280600381,22439.0,25318.0,4908.0
1724825280614801,22445.0,25529.0,4911.0
1724825280630694,22446.0,25548.0,4912.0
1724825280657363,22448.0,25615.0,4911.0
1724825280677280,22446.0,25470.0,4912.0
1724825280703999,22449.0,25475.0,4909.0
