Time,EDA,PPG,Temp
600,,,
1724825613646772,22734.0,25927.0,4802.0
1724825613663762,22732.0,26001.0,4803.0
1724825613690985,22731.0,26007.0,4802.0
1724825613703950,22726.0,26063.0,4803.0
1724825613727233,22726.0,26148.0,4803.0
1724825613760502,22722.0,26366.0,4801.0
1724825613787283,22722.0,26418.0,4803.0
1724825613800910,22719.0,26419.0,4803.0
1724825613813894,22717.0,26450.0,4803.0
1724825613847184,22714.0,26098.0,4802.0
1724825613857293,22712.0,25980.0,4804.0
1724825613887425,22715.0,25939.0,4803.0
1724825613904066,22711.0,25855.0,4804.0
1724825613920842,22711.0,25808.0,4803.0
1724825613947481,22713.0,26008.0,4804.0
1724825613983907,22709.0,26003.0,4804.0
1724825613990686,22709.0,25811.0,4802.0
1724825614007286,22712.0,26000.0,4803.0
1724825614047215,22709.0,25975.0,4802.0
1724825614053901,22707.0,26016.0,4803.0
1724825614077280,22709.0,26101.0,4803.0
1724825614100547,22706.0,26071.0,4804.0
1724825614117316,22702.0,26058.0,4802.0
1724825614140759,22702.0,25921.0,4804.0
1724825614157422,22701.0,25951.0,4803.0
1724825614187359,22697.0,25933.0,4802.0
1724825614207339,22701.0,25851.0,4804.0
1724825614234260,22697.0,25862.0,4804.0
1724825614254078,22695.0,25947.0,4805.0
1724825614277199,22695.0,25938.0,4803.0
1724825614293909,22696.0,25940.0,4804.0
1724825614327408,22695.0,25942.0,4802.0
1724825614340340,22694.0,25829.0,4799.0
1724825614363955,22695.0,25970.0,4803.0
1724825614393998,22693.0,26085.0,4804.0
1724825614407430,22694.0,26377.0,4802.0
1724825614424002,22695.0,26337.0,4800.0
1724825614450632,22695.0,26406.0,4802.0
1724825614473938,22695.0,26395.0,4802.0
1724825614507089,22696.0,26289.0,4803.0
1724825614513764,22696.0,26185.0,4803.0
1724825614547052,22696.0,26109.0,4800.0
1724825614560433,22695.0,26076.0,4802.0
1724825614590493,22697.0,25756.0,4803.0
1724825614597371,22695.0,25846.0,4802.0
1724825614627329,22697.0,25900.0,4800.0
1724825614637419,22694.0,25786.0,4803.0
1724825614660663,22695.0,26026.0,4801.0
1724825614697134,22696.0,26098.0,4803.0
1724825614730570,22699.0,26110.0,4800.0
1724825614737477,22695.0,25874.0,4801.0
1724825614747570,22698.0,25948.0,4801.0
1724825614793796,22698.0,25939.0,4803.0
1724825614799795,22697.0,25854.0,4802.0
1724825614830693,22698.0,26089.0,4803.0
1724825614854089,22696.0,25819.0,4800.0
1724825614874181,22694.0,25916.0,4801.0
1724825614884102,22693.0,25699.0,4801.0
1724825614904175,22696.0,25932.0,4802.0
1724825614940770,22693.0,25885.0,4800.0
1724825614957290,22694.0,25851.0,4802.0
1724825614967267,22691.0,25896.0,4803.0
1724825615004031,22691.0,25889.0,4801.0
1724825615017256,22692.0,25946.0,4801.0
1724825615044055,22692.0,25985.0,4802.0
1724825615074039,22687.0,25997.0,4803.0
1724825615080846,22695.0,26106.0,4802.0
1724825615107291,22697.0,26172.0,4802.0
1724825615133955,22699.0,26325.0,4802.0
1724825615150460,22695.0,26422.0,4802.0
1724825615173920,22700.0,26514.0,4802.0
1724825615200517,22701.0,26318.0,4803.0
1724825615214012,22700.0,26299.0,4801.0
1724825615240523,22703.0,26148.0,4803.0
1724825615263905,22702.0,26000.0,4803.0
1724825615290486,22700.0,26066.0,4802.0
1724825615300555,22705.0,26025.0,4802.0
1724825615324367,22705.0,25876.0,4804.0
1724825615357172,22706.0,26003.0,4801.0
1724825615370553,22709.0,25959.0,4801.0
1724825615380504,22710.0,26063.0,4803.0
1724825615417228,22711.0,26024.0,4804.0
1724825615437209,22713.0,26147.0,4802.0
1724825615460692,22718.0,26141.0,4802.0
1724825615473826,22714.0,25827.0,4803.0
1724825615493916,22715.0,26097.0,4802.0
1724825615520618,22717.0,25807.0,4802.0
1724825615537291,22718.0,25964.0,4803.0
1724825615560726,22720.0,26021.0,4802.0
1724825615584111,22718.0,26038.0,4802.0
1724825615613955,22721.0,25941.0,4803.0
1724825615627582,22725.0,25955.0,4803.0
1724825615667306,22726.0,26011.0,4802.0
1724825615680747,22727.0,25982.0,4803.0
1724825615693791,22731.0,26039.0,4803.0
1724825615717208,22733.0,25986.0,4802.0
1724825615743970,22736.0,26008.0,4803.0
1724825615780658,22739.0,25904.0,4804.0
1724825615797257,22740.0,26150.0,4803.0
1724825615803859,22744.0,26323.0,4800.0
1724825615827649,22743.0,26271.0,4802.0
1724825615853818,22747.0,26375.0,4801.0
1724825615868085,22749.0,26307.0,4803.0
1724825615890748,22749.0,26412.0,4802.0
1724825615927325,22748.0,26200.0,4801.0
1724825615940472,22751.0,26227.0,4801.0
1724825615957169,22750.0,26109.0,4802.0
1724825615990579,22748.0,26023.0,4802.0
1724825616017213,22751.0,25988.0,4800.0
1724825616033902,22752.0,26013.0,4801.0
1724825616043925,22750.0,26091.0,4803.0
1724825616074001,22750.0,25875.0,4802.0
1724825616081578,22755.0,25969.0,4803.0
1724825616117497,22752.0,26094.0,4801.0
1724825616134136,22753.0,26013.0,4802.0
1724825616160801,22754.0,26066.0,4804.0
1724825616177415,22754.0,26011.0,4800.0
1724825616197442,22754.0,25933.0,4802.0
1724825616227351,22753.0,26106.0,4801.0
1724825616247222,22753.0,26145.0,4802.0
1724825616267334,22756.0,25989.0,4803.0
1724825616294037,22754.0,25979.0,4802.0
1724825616313825,22754.0,26070.0,4800.0
1724825616330698,22754.0,26036.0,4802.0
1724825616357144,22753.0,25768.0,4801.0
1724825616373894,22756.0,26061.0,4802.0
1724825616403841,22755.0,26032.0,4803.0
1724825616417251,22754.0,25890.0,4801.0
1724825616443943,22757.0,26208.0,4804.0
1724825616473840,22754.0,26283.0,4802.0
1724825616483991,22760.0,26411.0,4801.0
1724825616510609,22760.0,26421.0,4800.0
1724825616527340,22760.0,26391.0,4803.0
1724825616553883,22762.0,26481.0,4801.0
1724825616583906,22762.0,26262.0,4802.0
1724825616598114,22763.0,26148.0,4803.0
1724825616613799,22762.0,26115.0,4802.0
1724825616647163,22764.0,25977.0,4801.0
1724825616660768,22759.0,25922.0,4802.0
1724825616683944,22761.0,26004.0,4801.0
1724825616710762,22755.0,25950.0,4802.0
1724825616734189,22757.0,26081.0,4803.0
1724825616757206,22758.0,26137.0,4803.0
1724825616770538,22758.0,25956.0,4801.0
1724825616797259,22758.0,26244.0,4802.0
1724825616810466,22758.0,26210.0,4803.0
1724825616847371,22759.0,26173.0,4803.0
1724825616870542,22757.0,26184.0,4803.0
1724825616877230,22754.0,26125.0,4802.0
1724825616893891,22760.0,25889.0,4802.0
1724825616923892,22760.0,26186.0,4804.0
1724825616937203,22764.0,26061.0,4803.0
1724825616974224,22760.0,26043.0,4804.0
1724825616993875,22760.0,26152.0,4802.0
1724825617007253,22764.0,26068.0,4801.0
1724825617034050,22764.0,26068.0,4800.0
1724825617060663,22763.0,26105.0,4803.0
1724825617073898,22767.0,26002.0,4804.0
1724825617093968,22769.0,26193.0,4801.0
1724825617127109,22767.0,26312.0,4803.0
1724825617140542,22766.0,26262.0,4802.0
1724825617184050,22768.0,26486.0,4802.0
1724825617197115,22768.0,26433.0,4801.0
1724825617217159,22769.0,26445.0,4802.0
1724825617223752,22765.0,26243.0,4801.0
1724825617253778,22770.0,25963.0,4802.0
1724825617270596,22770.0,26156.0,4803.0
1724825617297432,22768.0,26088.0,4802.0
1724825617310557,22770.0,25815.0,4801.0
1724825617340523,22774.0,25959.0,4801.0
1724825617360504,22773.0,26010.0,4802.0
1724825617387304,22776.0,26082.0,4802.0
1724825617407542,22776.0,25994.0,4802.0
1724825617437202,22779.0,26255.0,4803.0
1724825617450494,22781.0,26132.0,4801.0
1724825617463929,22780.0,26090.0,4801.0
1724825617500482,22782.0,25940.0,4802.0
1724825617513780,22780.0,26148.0,4803.0
1724825617527070,22783.0,25998.0,4803.0
1724825617550869,22782.0,25876.0,4803.0
1724825617587313,22779.0,26073.0,4803.0
1724825617600734,22782.0,26013.0,4801.0
1724825617627280,22779.0,26019.0,4801.0
1724825617647303,22781.0,25892.0,4805.0
1724825617670536,22783.0,26071.0,4801.0
1724825617687239,22784.0,26065.0,4803.0
1724825617704269,22783.0,26128.0,4803.0
1724825617733983,22784.0,26074.0,4802.0
1724825617747414,22784.0,26171.0,4801.0
1724825617773718,22786.0,26287.0,4802.0
1724825617807260,22786.0,26415.0,4800.0
1724825617823955,22786.0,26334.0,4800.0
1724825617854637,22787.0,26373.0,4801.0
1724825617877433,22786.0,26291.0,4802.0
1724825617890366,22791.0,26176.0,4801.0
1724825617913944,22790.0,26094.0,4801.0
1724825617934179,22791.0,26134.0,4802.0
1724825617963926,22791.0,26091.0,4802.0
1724825617977135,22790.0,26045.0,4802.0
1724825618000590,22790.0,26001.0,4803.0
1724825618050995,22792.0,25825.0,4802.0
1724825618080819,22790.0,26057.0,4803.0
1724825618095949,22792.0,26177.0,4803.0
1724825618120684,22795.0,26189.0,4802.0
1724825618130511,22798.0,26120.0,4801.0
1724825618137257,22798.0,26088.0,4803.0
1724825618164325,22798.0,26229.0,4803.0
1724825618174057,22799.0,26236.0,4801.0
1724825618180776,22802.0,26159.0,4800.0
1724825618200762,22801.0,26082.0,4802.0
1724825618237241,22803.0,26152.0,4800.0
1724825618267699,22804.0,26061.0,4803.0
1724825618274697,22807.0,25787.0,4801.0
1724825618300644,22805.0,26186.0,4803.0
1724825618320743,22804.0,25942.0,4800.0
1724825618350726,22807.0,26122.0,4803.0
1724825618379363,22807.0,26109.0,4802.0
1724825618394250,22806.0,26161.0,4802.0
1724825618400746,22807.0,26162.0,4802.0
1724825618440784,22806.0,26351.0,4803.0
1724825618457395,22807.0,26546.0,4804.0
1724825618470546,22806.0,26489.0,4801.0
1724825618511268,22808.0,26476.0,4803.0
1724825618523941,22806.0,26510.0,4800.0
1724825618553914,22807.0,26212.0,4800.0
1724825618561149,22805.0,26147.0,4802.0
1724825618583787,22802.0,26115.0,4803.0
1724825618613947,22801.0,25992.0,4802.0
1724825618630588,22797.0,26084.0,4802.0
1724825618660598,22794.0,26129.0,4802.0
1724825618677110,22792.0,26205.0,4802.0
1724825618700500,22790.0,26207.0,4801.0
1724825618723842,22787.0,26142.0,4802.0
1724825618740626,22782.0,26288.0,4800.0
1724825618783827,22783.0,26226.0,4803.0
1724825618789038,22779.0,26217.0,4801.0
1724825618797329,22776.0,26278.0,4800.0
1724825618827100,22773.0,26013.0,4802.0
1724825618878411,22774.0,26100.0,4801.0
1724825618883785,22772.0,26180.0,4803.0
1724825618890662,22769.0,26065.0,4800.0
1724825618907317,22770.0,26128.0,4802.0
1724825618933940,22768.0,26198.0,4802.0
1724825618957251,22767.0,26220.0,4803.0
1724825618980508,22765.0,26212.0,4801.0
1724825619010673,22765.0,25956.0,4803.0
1724825619023834,22766.0,26208.0,4802.0
1724825619040637,22763.0,26105.0,4808.0
1724825619060713,22762.0,26161.0,4803.0
1724825619084289,22760.0,26377.0,4800.0
1724825619110598,22760.0,26430.0,4801.0
1724825619127465,22753.0,26491.0,4799.0
1724825619160564,22750.0,26445.0,4801.0
1724825619173890,22749.0,26417.0,4803.0
1724825619197278,22745.0,26399.0,4803.0
1724825619217348,22744.0,26315.0,4802.0
1724825619247496,22743.0,26244.0,4805.0
1724825619277329,22738.0,26198.0,4803.0
1724825619290467,22742.0,26134.0,4801.0
1724825619307168,22739.0,26106.0,4803.0
1724825619330408,22740.0,26061.0,4801.0
1724825619357066,22737.0,26174.0,4802.0
1724825619370588,22736.0,26279.0,4800.0
1724825619397449,22735.0,26256.0,4802.0
1724825619417480,22733.0,26355.0,4801.0
1724825619440741,22729.0,26285.0,4802.0
1724825619490662,22730.0,26199.0,4800.0
1724825619507250,22727.0,25967.0,4802.0
1724825619527517,22724.0,26170.0,4804.0
1724825619532325,22723.0,26136.0,4800.0
1724825619560705,22723.0,26218.0,4802.0
1724825619580641,22724.0,26247.0,4800.0
1724825619594137,22723.0,26169.0,4803.0
1724825619620776,22721.0,26225.0,4802.0
1724825619654095,22721.0,26238.0,4803.0
1724825619661941,22725.0,26256.0,4802.0
1724825619673926,22724.0,26083.0,4804.0
1724825619701019,22724.0,26162.0,4803.0
1724825619727255,22726.0,26301.0,4803.0
1724825619737263,22725.0,26285.0,4801.0
1724825619773933,22726.0,26471.0,4802.0
1724825619783976,22727.0,26558.0,4801.0
1724825619814179,22725.0,26321.0,4802.0
1724825619830713,22729.0,26450.0,4802.0
1724825619864145,22729.0,26244.0,4802.0
1724825619883917,22728.0,26262.0,4802.0
