
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 26454 150 3809
19 26410 157 3812
20 26408 164 3809
20 26345 168 3808
20 26195 174 3810
19 26069 178 3810
21 25848 182 3808
19 25653 182 3810
20 25627 181 3812
20 25710 186 3808
20 25832 186 3810
19 26036 187 3811
20 26202 188 3809
20 26305 187 3809
19 26373 191 3810
20 26397 190 3808
20 26380 191 3809
20 26307 194 3811
19 26252 191 3810
21 26212 193 3810
19 26215 192 3809
20 26248 192 3808
19 26256 193 3808
21 26264 194 3809
19 26300 193 3807
20 26321 193 3809
20 26306 193 3810
20 26281 193 3807
19 26256 193 3809
19 26256 193 3809
21 26262 191 3810
19 26273 193 3810
20 26275 194 3809
20 26294 192 3809
20 26325 190 3812
19 26290 193 3811
21 26278 191 3808
19 26254 193 3810
20 26293 192 3810
19 26327 195 3809
21 26356 191 3808
19 26361 193 3810
19 26341 192 3811
21 26346 192 3810
19 26327 191 3808
20 26284 192 3809
20 26273 193 3808
20 26289 192 3809
19 26317 192 3809
20 26304 194 3810
20 26293 190 3812
20 26302 192 3809
19 26309 193 3808
21 26282 191 3810
19 26269 190 3806
19 26271 192 3810
20 26285 192 3809
20 26311 190 3810
20 26338 190 3808
19 26299 193 3809
21 26325 191 3809
19 26351 192 3809
20 26362 192 3811
20 26353 189 3808
20 26331 190 3809
19 26296 192 3809
20 26320 191 3810
20 26309 191 3809
19 26352 192 3811
20 26358 194 3810
20 26345 192 3807
20 26294 191 3808
19 26292 193 3808
21 26305 193 3810
19 26297 193 3808
20 26308 192 3810
19 26315 194 3810
21 26356 189 3809
19 26357 191 3809
20 26334 192 3808
20 26311 193 3811
20 26309 193 3809
19 26327 192 3810
20 26302 192 3810
20 26284 191 3809
19 26249 193 3810
20 26237 194 3811
20 26274 192 3808
20 26318 195 3809
19 26379 193 3811
21 26374 192 3810
19 26354 192 3808
20 26362 192 3808
19 26325 191 3809
21 26314 193 3810
19 26318 194 3809
19 26374 194 3809
21 26344 193 3808
19 26340 195 3809
20 26332 192 3810
20 26329 192 3810
20 26298 191 3810
19 26259 194 3810
20 26275 193 3808
20 26269 191 3809
20 26280 192 3809
19 26284 190 3811
21 26326 192 3809
19 26322 192 3810
19 26325 193 3811
21 26336 192 3810
19 26313 192 3812
20 26295 193 3810
19 26307 193 3808
21 26309 191 3810
19 26333 190 3810
20 26287 192 3809
20 26264 193 3809
20 26241 191 3808
19 26231 191 3809
20 26250 194 3808
20 26271 191 3810
20 26303 191 3809
19 26337 193 3809
20 26363 194 3810
20 26318 193 3809
19 26332 192 3809
21 26307 194 3811
19 26311 192 3809
20 26291 194 3810
19 26256 194 3809
21 26241 192 3811
19 26262 192 3810
20 26252 194 3809
20 26329 192 3807
20 26354 193 3809
19 26370 192 3810
20 26389 192 3811
20 26377 191 3809
19 26364 192 3811
20 26352 193 3810
20 26346 192 3810
20 26321 194 3809
19 26308 193 3809
21 26278 191 3809
19 26298 193 3810
20 26324 193 3810
20 26340 192 3809
20 26360 192 3810
19 26349 193 3808
19 26366 193 3809
21 26373 192 3811
19 26345 191 3810
20 26313 191 3810
20 26312 193 3810
20 26294 191 3807
19 26302 191 3810
20 26344 193 3811
20 26347 192 3810
20 26346 190 3808
19 26349 192 3809
21 26348 192 3811
19 26345 191 3810
19 26344 190 3810
21 26316 192 3811
19 26300 191 3810
20 26319 190 3809
19 26313 190 3810
21 26322 190 3809
19 26324 190 3810
20 26307 190 3809
20 26286 190 3810
20 26288 188 3810
19 26313 188 3811
21 26312 190 3811
19 26268 190 3809
20 26276 190 3808
19 26306 191 3809
20 26321 189 3808
20 26323 191 3810
19 26312 192 3811
21 26313 191 3810
19 26312 190 3808
20 26304 192 3809
19 26328 190 3810
21 26309 190 3809
19 26312 191 3809
20 26271 190 3809
20 26274 190 3811
20 26288 189 3810
19 26289 190 3810
20 26292 188 3810
20 26309 189 3807
19 26338 188 3809
20 26358 191 3810
20 26339 191 3809
20 26320 189 3809
19 26261 191 3810
21 26260 190 3809
19 26263 188 3810
20 26282 193 3810
20 26306 192 3810
20 26313 190 3809
19 26324 189 3811
19 26327 189 3810
21 26339 190 3809
19 26378 189 3809
20 26351 191 3808
20 26298 189 3808
20 26276 190 3809
19 26267 189 3809
21 26306 188 3809
19 26341 192 3808
20 26365 189 3808
19 26330 188 3809
21 26304 190 3808
19 26310 190 3809
19 26332 189 3810
21 26351 190 3810
19 26371 191 3808
20 26386 190 3810
19 26380 189 3808
21 26354 189 3810
19 26317 191 3810
20 26286 191 3810
20 26257 192 3808
20 26279 192 3810
19 26263 192 3809
21 26264 190 3810
19 26284 193 3808
20 26316 192 3810
19 26339 192 3810
20 26326 191 3810
20 26298 193 3809
19 26308 191 3810
21 26339 191 3811
19 26322 193 3810
20 26357 192 3809
20 26369 191 3810
20 26357 191 3810
19 26344 190 3810
20 26348 193 3809
20 26288 191 3808
20 26275 191 3811
19 26295 192 3810
20 26284 190 3810
20 26284 190 3808
19 26299 190 3808
20 26291 189 3810
20 26324 189 3809
20 26326 192 3809
19 26353 189 3809
21 26341 188 3809
19 26311 190 3810
20 26358 189 3808
20 26339 191 3809
20 26339 189 3809
19 26339 189 3810
19 26342 187 3809
21 26355 188 3808
19 26333 191 3810
20 26310 189 3809
20 26298 188 3809
20 26285 188 3811
19 26290 188 3808
21 26320 189 3810
19 26339 190 3810
20 26337 190 3810
19 26336 189 3809
21 26323 190 3810
19 26318 189 3810
20 26313 188 3810
20 26331 192 3808
19 26280 190 3810
20 26277 189 3809
20 26286 191 3809
20 26300 189 3811
19 26332 189 3809
20 26332 189 3810
20 26335 191 3810
20 26285 190 3809
19 26258 190 3810
21 26265 188 3809
19 26243 190 3808
20 26263 190 3810
19 26353 189 3810
