Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338853014154,26873,32471,4513
1730338853036016,26863,32474,4496
1730338853057815,26821,32472,4496
1730338853079800,26744,32472,4496
1730338853101536,26688,32473,4497
1730338853123569,26596,32473,4495
1730338853145350,26520,32473,4496
1730338853167180,26536,32473,4513
1730338853189007,26506,32472,4497
1730338853210788,26569,32471,4496
1730338853232686,26601,32472,4513
1730338853254559,26592,32473,4496
1730338853276443,26599,32472,4496
1730338853298216,26483,32472,4496
1730338853320103,26387,32472,4514
1730338853341955,26411,32472,4479
1730338853363775,26453,32473,4514
1730338853385730,26460,32473,4479
1730338853407563,26475,32473,4498
1730338853429321,26630,32475,4478
1730338853451155,26772,32474,4495
1730338853473033,26994,32474,4512
1730338853494776,27054,32473,4514
1730338853516679,26963,32475,4498
1730338853538698,26880,32473,4479
1730338853560475,26760,32470,4514
1730338853582279,26659,32474,4513
1730338853604130,26572,32474,4496
1730338853626046,26423,32474,4514
1730338853647905,26321,32473,4516
1730338853669695,26240,32473,4515
1730338853691646,26261,32472,4495
1730338853713531,26344,32474,4496
1730338853735207,26370,32472,4514
1730338853757104,26461,32473,4495
1730338853779063,26462,32473,4514
1730338853800831,26567,32471,4514
1730338853822761,26633,32473,4497
1730338853844478,26703,32473,4513
1730338853866322,26643,32473,4496
1730338853888241,26714,32471,4478
1730338853910203,26863,32473,4479
1730338853931885,27077,32472,4496
1730338853953730,27091,32471,4514
1730338853975731,27076,32470,4496
1730338853997444,26985,32470,4478
1730338854019452,26903,32472,4514
1730338854041210,26798,32471,4496
1730338854063042,26715,32472,4478
1730338854084886,26575,32470,4496
1730338854106811,26432,32472,4496
1730338854128830,26515,32473,4514
1730338854150488,26604,32473,4495
1730338854172388,26669,32473,4513
1730338854194196,26577,32472,4496
1730338854227946,26456,32472,4495
1730338854240322,26332,32472,4478
1730338854259829,26271,32471,4513
1730338854281545,26297,32472,4494
1730338854303388,26327,32473,4514
1730338854325412,26455,32472,4495
1730338854347110,26585,32473,4495
1730338854369075,26748,32473,4514
1730338854391010,26886,32472,4479
1730338854412756,26964,32471,4495
1730338854434554,27016,32473,4495
1730338854456515,27019,32473,4495
1730338854478355,26917,32471,4479
1730338854500169,26787,32472,4495
1730338854522127,26674,32470,4495
1730338854543925,26549,32472,4514
1730338854565708,26527,32470,4514
1730338854587679,26506,32472,4514
1730338854609481,26499,32474,4478
1730338854631289,26468,32472,4498
1730338854653212,26419,32472,4494
1730338854675079,26349,32472,4496
1730338854696804,26250,32474,4513
1730338854718651,26237,32473,4496
1730338854740487,26254,32474,4496
1730338854762389,26384,32475,4515
1730338854784252,26483,32474,4478
1730338854806169,26633,32473,4496
1730338854827953,26744,32474,4479
1730338854849771,26875,32475,4514
1730338854871622,27041,32472,4495
1730338854893467,27201,32474,4497
1730338854915276,27105,32474,4515
1730338854937222,26982,32474,4496
1730338854959099,26778,32473,4497
1730338854980966,26576,32472,4497
1730338855002753,26487,32471,4497
1730338855024674,26519,32472,4478
1730338855046481,26534,32477,4479
1730338855068248,26514,32474,4496
1730338855090151,26474,32474,4513
1730338855112307,26399,32473,4513
1730338855133870,26351,32472,4496
1730338855155764,26335,32473,4496
1730338855177586,26337,32473,4495
1730338855199399,26337,32473,4514
1730338855221239,26461,32472,4514
1730338855243115,26511,32471,4496
1730338855266486,26585,32474,4496
1730338855286806,26715,32472,4495
1730338855308789,26835,32473,4479
1730338855330495,27022,32471,4514
1730338855352277,27171,32472,4478
1730338855374297,27181,32472,4496
1730338855396123,27070,32471,4496
1730338855417817,26878,32472,4495
1730338855439893,26775,32470,4514
1730338855461696,26654,32473,4495
1730338855483440,26547,32470,4496
1730338855505390,26486,32473,4497
1730338855527327,26388,32472,4513
1730338855549036,26483,32472,4516
1730338855570972,26402,32471,4495
1730338855592791,26246,32473,4514
1730338855614586,26141,32472,4494
1730338855636492,26129,32471,4513
1730338855658324,26186,32473,4496
1730338855680143,26349,32473,4514
1730338855702047,26540,32475,4496
1730338855723861,26641,32473,4513
1730338855745726,26688,32473,4514
1730338855784968,26680,32474,4514
1730338855798677,26583,32474,4495
1730338855811352,26529,32470,4478
1730338855833028,26415,32474,4495
1730338855855025,26227,32474,4496
1730338855876940,26183,32474,4514
1730338855898619,26305,32472,4514
1730338855920429,26557,32475,4479
1730338855942477,26847,32473,4495
1730338855964238,27031,32472,4495
1730338855986078,26835,32472,4498
1730338856008014,26580,32473,4496
1730338856029873,26411,32473,4514
1730338856051532,26323,32474,4496
1730338856073447,26304,32473,4513
1730338856095299,26264,32473,4514
1730338856117166,26318,32472,4496
1730338856139103,26399,32472,4496
1730338856160882,26499,32472,4495
1730338856182700,26697,32472,4496
1730338856204550,26919,32475,4478
1730338856226429,27004,32474,4479
1730338856248291,27032,32471,4512
1730338856270097,26951,32476,4496
1730338856292123,26849,32475,4496
1730338856313921,26703,32474,4514
1730338856335698,26674,32474,4514
1730338856357605,26580,32472,4496
1730338856379420,26642,32472,4497
1730338856401207,26684,32469,4515
1730338856423172,26731,32471,4513
1730338856444975,26718,32472,4495
1730338856466720,26683,32472,4495
1730338856495936,26630,32473,4496
1730338856510472,26544,32475,4496
1730338856532318,26562,32473,4514
1730338856554222,26548,32472,4478
1730338856576108,26551,32473,4479
1730338856597875,26565,32473,4496
1730338856619927,26575,32472,4496
1730338856641560,26590,32473,4496
1730338856663531,26729,32473,4513
1730338856686786,26784,32473,4514
1730338856707157,26810,32470,4496
1730338856729024,26799,32472,4513
1730338856750847,26759,32471,4496
1730338856772839,26690,32473,4516
1730338856794628,26583,32473,4479
1730338856816542,26525,32472,4498
1730338856838247,26470,32474,4497
1730338856860140,26476,32472,4497
1730338856882029,26423,32472,4514
1730338856903826,26332,32470,4479
1730338856925751,26276,32473,4496
1730338856947537,26367,32474,4496
1730338856969354,26389,32473,4496
1730338856991260,26469,32474,4496
1730338857013039,26553,32471,4497
1730338857034898,26656,32472,4496
1730338857056896,26747,32472,4478
1730338857078617,26809,32474,4514
1730338857100469,26916,32473,4496
1730338857122309,26875,32471,4478
1730338857144127,26768,32473,4496
1730338857166110,26703,32474,4514
1730338857187976,26625,32470,4514
1730338857209726,26613,32475,4496
1730338857231662,26724,32475,4479
1730338857253490,26760,32475,4496
1730338857275274,26772,32473,4514
1730338857297105,26703,32472,4495
1730338857319015,26682,32474,4514
1730338857340829,26609,32474,4495
1730338857362964,26585,32475,4496
1730338857384532,26578,32474,4514
1730338857406399,26634,32474,4494
1730338857428287,26615,32474,4514
1730338857450123,26586,32475,4496
1730338857471966,26600,32473,4496
1730338857493994,26660,32473,4497
1730338857515726,26769,32474,4497
1730338857537464,26831,32474,4495
1730338857559403,26885,32473,4496
1730338857581269,26918,32472,4496
1730338857603107,26819,32473,4515
1730338857625019,26709,32473,4513
1730338857646788,26650,32472,4496
1730338857668595,26600,32473,4513
1730338857690430,26566,32474,4478
1730338857712293,26497,32476,4477
1730338857734100,26435,32473,4513
1730338857756126,26381,32473,4497
1730338857778086,26428,32473,4496
1730338857799679,26514,32474,4497
1730338857821480,26582,32474,4477
1730338857843483,26638,32472,4478
1730338857865341,26663,32472,4479
1730338857887168,26620,32471,4515
1730338857908935,26594,32473,4514
1730338857930779,26622,32474,4496
1730338857952666,26681,32475,4496
1730338857974550,26711,32472,4497
1730338857996572,26771,32473,4514
1730338858018188,26900,32473,4514
1730338858040050,26930,32471,4514
1730338858061889,26943,32473,4495
1730338858083695,26828,32472,4514
1730338858105602,26739,32474,4496
1730338858127637,26642,32473,4513
1730338858149224,26650,32472,4479
1730338858171083,26594,32472,4496
1730338858193141,26565,32474,4496
1730338858214875,26458,32472,4479
1730338858236731,26399,32473,4514
1730338858258557,26397,32474,4514
1730338858280372,26404,32475,4515
1730338858302257,26474,32473,4495
1730338858324076,26520,32474,4514
1730338858345977,26544,32474,4495
1730338858367760,26621,32474,4477
1730338858389713,26704,32473,4494
1730338858411516,26895,32473,4496
1730338858433412,27002,32473,4496
1730338858455283,27035,32472,4496
1730338858477078,26947,32475,4495
1730338858499004,26820,32473,4494
1730338858520683,26722,32474,4479
1730338858551139,26633,32473,4495
1730338858564385,26605,32473,4495
1730338858586419,26565,32472,4514
1730338858608242,26578,32472,4479
1730338858630358,26542,32473,4479
