Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338842084131,25234,15689,4274
1730338842114827,25241,15682,4274
1730338842130971,25263,15676,4276
1730338842150578,25410,15672,4273
1730338842159184,25854,15669,4276
1730338842183900,26591,15664,4275
1730338842217265,27417,15662,4274
1730338842224856,27916,15657,4275
1730338842250963,27943,15654,4275
1730338842283866,27553,15652,4275
1730338842290584,26918,15648,4272
1730338842317256,26276,15645,4274
1730338842350607,25708,15642,4275
1730338842359844,25320,15640,4276
1730338842383944,25091,15636,4275
1730338842417328,24988,15634,4275
1730338842430932,25017,15632,4276
1730338842450598,25100,15629,4276
1730338842483823,25257,15626,4276
1730338842490642,25436,15623,4276
1730338842517120,25608,15620,4275
1730338842550527,25684,15618,4276
1730338842567446,25712,15614,4274
1730338842583709,25670,15612,4276
1730338842617032,25577,15608,4275
1730338842624428,25459,15606,4275
1730338842650433,25367,15603,4274
1730338842683773,25284,15600,4275
1730338842701549,25231,15597,4273
1730338842722791,25209,15594,4275
1730338842750269,25219,15592,4275
1730338842759641,25222,15590,4275
1730338842783785,25228,15587,4275
1730338842792184,25221,15583,4276
1730338842817141,25239,15580,4276
1730338842850415,25333,15577,4275
1730338842858590,25649,15575,4276
1730338842883774,26248,15571,4277
1730338842916967,27027,15570,4275
1730338842926353,27627,15566,4274
1730338842950629,27811,15563,4276
1730338842983802,27556,15561,4275
1730338843005930,27029,15558,4275
1730338843017932,26416,15555,4275
1730338843050321,25843,15552,4274
1730338843056245,25421,15550,4273
1730338843083506,25138,15546,4276
1730338843116965,25001,15544,4276
1730338843125664,25003,15542,4274
1730338843150405,25123,15538,4276
1730338843187821,25301,15536,4274
1730338843194538,25493,15533,4275
1730338843217443,25669,15530,4275
1730338843250190,25756,15526,4276
1730338843257579,25760,15523,4274
1730338843283903,25705,15520,4276
1730338843316892,25601,15518,4275
1730338843328350,25487,15514,4274
1730338843350096,25354,15512,4275
1730338843383467,25299,15509,4275
1730338843389626,25258,15506,4273
1730338843416814,25233,15502,4275
1730338843450055,25209,15500,4275
1730338843458437,25221,15497,4275
1730338843483384,25240,15495,4273
1730338843490500,25319,15493,4277
1730338843516847,25590,15488,4276
1730338843550338,26182,15485,4274
1730338843568431,26960,15483,4277
1730338843583576,27578,15480,4275
1730338843616793,27766,15477,4273
1730338843622700,27539,15475,4275
1730338843650099,27028,15472,4276
1730338843683395,26429,15469,4276
1730338843693663,25881,15466,4275
1730338843716864,25464,15462,4277
1730338843750120,25174,15460,4275
1730338843763009,25032,15457,4276
1730338843783391,25024,15455,4274
1730338843816686,25103,15451,4276
1730338843824235,25250,15449,4274
1730338843850044,25431,15446,4275
1730338843883348,25586,15443,4276
1730338843893115,25674,15439,4276
1730338843916791,25727,15436,4276
1730338843950020,25682,15435,4276
1730338843965575,25588,15432,4274
1730338843983334,25475,15428,4274
1730338844016561,25390,15425,4276
1730338844023384,25317,15423,4276
1730338844050153,25263,15419,4274
1730338844083269,25232,15416,4274
1730338844091256,25223,15413,4275
1730338844116575,25225,15411,4274
