Time,EDA,Heart Rate,Temperature
BEGIN sesh1 FOR 600 SECONDS,,,
1719386864539965,19628.0,23309.0,5555.0
1719386864556588,19628.0,23221.0,5556.0
1719386864579968,19628.0,23163.0,5557.0
1719386864592865,19630.0,23164.0,5558.0
1719386864606708,19629.0,23151.0,5556.0
1719386864636735,19627.0,23267.0,5556.0
1719386864656450,19630.0,23343.0,5558.0
1719386864680006,19637.0,23389.0,5556.0
1719386864696336,19629.0,23415.0,5559.0
1719386864706458,19634.0,23438.0,5557.0
1719386864729854,19624.0,23449.0,5557.0
1719386864746681,19633.0,23314.0,5557.0
1719386864769962,19636.0,23389.0,5556.0
1719386864786861,19634.0,23323.0,5558.0
1719386864809784,19633.0,23286.0,5556.0
1719386864829866,19635.0,23212.0,5557.0
1719386864843202,19632.0,23212.0,5556.0
1719386864870129,19631.0,23248.0,5556.0
1719386864883236,19630.0,23210.0,5557.0
1719386864909655,19632.0,23211.0,5558.0
1719386864929912,19630.0,23221.0,5556.0
1719386864950170,19631.0,23529.0,5556.0
1719386864970101,19631.0,23771.0,5557.0
1719386864993103,19630.0,23974.0,5557.0
1719386865016393,19630.0,24126.0,5554.0
1719386865036469,19631.0,24142.0,5557.0
1719386865053452,19632.0,24086.0,5557.0
1719386865067107,19639.0,23990.0,5556.0
1719386865093059,19633.0,23837.0,5553.0
1719386865109896,19635.0,23660.0,5551.0
1719386865133562,19637.0,23447.0,5554.0
1719386865160059,19640.0,23330.0,5560.0
1719386865176537,19637.0,23224.0,5554.0
1719386865196627,19643.0,23145.0,5554.0
1719386865209892,19641.0,23144.0,5555.0
1719386865229690,19643.0,23215.0,5555.0
1719386865249874,19644.0,23265.0,5555.0
1719386865276718,19646.0,23318.0,5555.0
1719386865290165,19649.0,23391.0,5555.0
1719386865313266,19649.0,23397.0,5556.0
1719386865336818,19650.0,23402.0,5557.0
1719386865359848,19652.0,23408.0,5557.0
1719386865369950,19655.0,23386.0,5556.0
1719386865393633,19664.0,23325.0,5558.0
1719386865413311,19662.0,23305.0,5558.0
1719386865433623,19664.0,23301.0,5558.0
1719386865453637,19666.0,23277.0,5557.0
1719386865470224,19671.0,23225.0,5555.0
1719386865486999,19675.0,23317.0,5557.0
1719386865516889,19681.0,23194.0,5555.0
1719386865526597,19684.0,23232.0,5556.0
1719386865553581,19685.0,23363.0,5559.0
1719386865573603,19687.0,23445.0,5556.0
1719386865599955,19694.0,23759.0,5559.0
1719386865616873,19699.0,23948.0,5558.0
1719386865633614,19710.0,24061.0,5556.0
1719386865653463,19710.0,23980.0,5556.0
1719386865680134,19716.0,23972.0,5558.0
1719386865693230,19722.0,23871.0,5559.0
1719386865710296,19722.0,23739.0,5558.0
1719386865736886,19730.0,23569.0,5559.0
1719386865753649,19737.0,23419.0,5559.0
1719386865780167,19741.0,23310.0,5555.0
1719386865793248,19748.0,23208.0,5558.0
1719386865820160,19755.0,23187.0,5555.0
1719386865836837,19759.0,23180.0,5554.0
1719386865859866,19766.0,23200.0,5556.0
1719386865873235,19770.0,23282.0,5556.0
1719386865902997,19776.0,23330.0,5555.0
1719386865920129,19781.0,23381.0,5554.0
1719386865936934,19788.0,23402.0,5558.0
1719386865953580,19793.0,23429.0,5559.0
1719386865979975,19799.0,23415.0,5558.0
1719386865993445,19809.0,23395.0,5558.0
1719386866013262,19806.0,23365.0,5556.0
1719386866033593,19811.0,23344.0,5557.0
1719386866059920,19813.0,23311.0,5558.0
1719386866073104,19826.0,23294.0,5558.0
1719386866093208,19829.0,23284.0,5556.0
1719386866113625,19826.0,23256.0,5557.0
1719386866136634,19830.0,23323.0,5555.0
1719386866153467,19834.0,23436.0,5556.0
1719386866176462,19839.0,23596.0,5556.0
1719386866196871,19842.0,23890.0,5560.0
1719386866216854,19845.0,23964.0,5556.0
1719386866229863,19845.0,23993.0,5558.0
1719386866256737,19849.0,23984.0,5557.0
1719386866279713,19851.0,23950.0,5556.0
1719386866296442,19856.0,23671.0,5557.0
1719386866320165,19855.0,23521.0,5555.0
1719386866333222,19856.0,23417.0,5559.0
1719386866359590,19857.0,23314.0,5558.0
1719386866379605,19858.0,23247.0,5560.0
1719386866393336,19859.0,23199.0,5553.0
1719386866420128,19861.0,23145.0,5558.0
1719386866443157,19865.0,23174.0,5560.0
1719386866459901,19865.0,23269.0,5552.0
1719386866486516,19871.0,23280.0,5560.0
1719386866499756,19865.0,23330.0,5555.0
1719386866519633,19866.0,23377.0,5555.0
1719386866539793,19867.0,23369.0,5559.0
1719386866563490,19869.0,23378.0,5553.0
1719386866576573,19869.0,23355.0,5555.0
1719386866593566,19875.0,23310.0,5556.0
1719386866626825,19873.0,23318.0,5558.0
1719386866643437,19877.0,23286.0,5556.0
1719386866653372,19884.0,23273.0,5557.0
1719386866670072,19879.0,23284.0,5556.0
1719386866696582,19876.0,23344.0,5557.0
1719386866716940,19882.0,23443.0,5558.0
1719386866739893,19890.0,23601.0,5557.0
1719386866756903,19895.0,23841.0,5557.0
1719386866776798,19892.0,23892.0,5557.0
1719386866799805,19899.0,24026.0,5561.0
1719386866820181,19902.0,23997.0,5560.0
1719386866840169,19903.0,23883.0,5561.0
1719386866863256,19908.0,23790.0,5556.0
1719386866880177,19909.0,23588.0,5557.0
1719386866900210,19913.0,23475.0,5558.0
1719386866913193,19915.0,23273.0,5557.0
1719386866940079,19918.0,23253.0,5556.0
1719386866953306,19922.0,23215.0,5554.0
1719386866980172,19927.0,23168.0,5556.0
1719386867000057,19930.0,23211.0,5557.0
1719386867023598,19931.0,23281.0,5554.0
1719386867040103,19935.0,23316.0,5556.0
1719386867063234,19937.0,23335.0,5561.0
1719386867076513,19941.0,23403.0,5562.0
1719386867103286,19945.0,23392.0,5557.0
1719386867126624,19948.0,23384.0,5558.0
1719386867143391,19952.0,23385.0,5560.0
1719386867156581,19961.0,23368.0,5560.0
1719386867183551,19957.0,23315.0,5557.0
1719386867206309,19962.0,23265.0,5558.0
1719386867219820,19960.0,23285.0,5555.0
1719386867240238,19962.0,23254.0,5557.0
1719386867266779,19965.0,23299.0,5555.0
1719386867276163,19965.0,23449.0,5554.0
1719386867299815,19968.0,23658.0,5555.0
1719386867320122,19968.0,23902.0,5558.0
1719386867336870,19969.0,24083.0,5556.0
1719386867359828,19966.0,24143.0,5556.0
1719386867376857,19968.0,24139.0,5556.0
1719386867400181,19965.0,24006.0,5559.0
1719386867420172,19974.0,23888.0,5558.0
1719386867443275,19970.0,23641.0,5557.0
1719386867460263,19968.0,23556.0,5557.0
1719386867480250,19970.0,23490.0,5558.0
1719386867497122,19968.0,23235.0,5557.0
1719386867519873,19970.0,23296.0,5556.0
1719386867543271,19968.0,23273.0,5554.0
1719386867563098,19967.0,23223.0,5556.0
1719386867576332,19966.0,23313.0,5553.0
1719386867603258,19967.0,23304.0,5556.0
1719386867620100,19967.0,23362.0,5556.0
1719386867640150,19966.0,23402.0,5557.0
1719386867659723,19962.0,23437.0,5555.0
1719386867676421,19962.0,23427.0,5555.0
1719386867709751,19959.0,23385.0,5559.0
1719386867730193,19958.0,23333.0,5559.0
1719386867739815,19957.0,23266.0,5554.0
1719386867766729,19965.0,23218.0,5561.0
1719386867789984,19956.0,23206.0,5557.0
1719386867803156,19955.0,23205.0,5557.0
1719386867830054,19955.0,23195.0,5560.0
1719386867850081,19953.0,23239.0,5553.0
1719386867866895,19951.0,23305.0,5555.0
1719386867879798,19953.0,23416.0,5556.0
1719386867913011,19948.0,23641.0,5557.0
1719386867926373,19947.0,23839.0,5561.0
1719386867940132,19945.0,24114.0,5558.0
1719386867963226,19949.0,24253.0,5557.0
1719386867983501,19945.0,24258.0,5557.0
1719386868006369,19946.0,24169.0,5556.0
1719386868023468,19952.0,24043.0,5556.0
1719386868033171,19942.0,23775.0,5556.0
1719386868059781,19940.0,23588.0,5557.0
1719386868083527,19943.0,23448.0,5557.0
1719386868100158,19942.0,23298.0,5557.0
1719386868123219,19940.0,23325.0,5558.0
1719386868143199,19934.0,23222.0,5556.0
1719386868163246,19935.0,23188.0,5557.0
1719386868183202,19934.0,23103.0,5556.0
1719386868206508,19931.0,23269.0,5561.0
1719386868223404,19930.0,23296.0,5560.0
1719386868246853,19929.0,23312.0,5559.0
1719386868266832,19929.0,23327.0,5558.0
1719386868279931,19925.0,23324.0,5557.0
1719386868306629,19926.0,23362.0,5554.0
1719386868329874,19923.0,23344.0,5556.0
1719386868350103,19924.0,23291.0,5560.0
1719386868366814,19919.0,23283.0,5555.0
1719386868393097,19919.0,23294.0,5559.0
1719386868406487,19915.0,23263.0,5560.0
1719386868426478,19920.0,23250.0,5558.0
1719386868449886,19911.0,23213.0,5560.0
1719386868470081,19910.0,23200.0,5560.0
1719386868490139,19903.0,23210.0,5557.0
1719386868499881,19905.0,23206.0,5556.0
1719386868523078,19910.0,23214.0,5557.0
1719386868550075,19900.0,23204.0,5557.0
1719386868569781,19893.0,23185.0,5556.0
1719386868583208,19894.0,23219.0,5557.0
1719386868606598,19891.0,23208.0,5559.0
1719386868623208,19886.0,23218.0,5556.0
1719386868643157,19887.0,23275.0,5556.0
1719386868666666,19883.0,23469.0,5556.0
1719386868683537,19884.0,23672.0,5557.0
1719386868706567,19884.0,23912.0,5557.0
1719386868723086,19877.0,24082.0,5558.0
1719386868743103,19872.0,24282.0,5557.0
1719386868766553,19866.0,24208.0,5557.0
1719386868783522,19870.0,24166.0,5558.0
1719386868799872,19862.0,23900.0,5557.0
1719386868820167,19861.0,23743.0,5560.0
1719386868846798,19857.0,23560.0,5560.0
1719386868863131,19853.0,23464.0,5556.0
1719386868890120,19849.0,23331.0,5555.0
1719386868909775,19843.0,23253.0,5554.0
1719386868926604,19842.0,23157.0,5556.0
1719386868949931,19838.0,23227.0,5554.0
1719386868970235,19837.0,23263.0,5555.0
1719386868990176,19832.0,23300.0,5559.0
1719386869009818,19829.0,23340.0,5557.0
