Time,EDA,Heart Rate,Temperature
BEGIN sesh1 FOR 600 SECONDS,,,
1721806894825084,19938.0,22925.0,5745.0
1721806894848543,19946.0,22846.0,5752.0
1721806894871876,19952.0,22798.0,5748.0
1721806894881919,19965.0,22755.0,5748.0
1721806894912070,19967.0,22631.0,5748.0
1721806894928777,19979.0,22792.0,5751.0
1721806894938776,19991.0,22883.0,5751.0
1721806894961820,20000.0,23088.0,5753.0
1721806894981784,20006.0,23344.0,5748.0
1721806894998640,20014.0,23570.0,5751.0
1721806895022165,20031.0,23672.0,5750.0
1721806895042190,20031.0,23658.0,5747.0
1721806895062193,20048.0,23655.0,5750.0
1721806895081874,20054.0,23451.0,5751.0
1721806895105144,20055.0,23330.0,5750.0
1721806895115217,20068.0,23153.0,5751.0
1721806895142127,20075.0,22821.0,5750.0
1721806895155254,20082.0,22745.0,5750.0
1721806895182160,20091.0,22548.0,5749.0
1721806895208915,20099.0,22449.0,5747.0
1721806895225351,20106.0,22594.0,5750.0
1721806895245461,20117.0,22564.0,5749.0
1721806895265252,20120.0,22626.0,5752.0
1721806895285518,20125.0,22729.0,5750.0
1721806895298542,20133.0,22936.0,5746.0
1721806895332167,20140.0,23001.0,5748.0
1721806895348768,20145.0,23116.0,5752.0
1721806895365708,20149.0,22996.0,5749.0
1721806895391868,20155.0,23033.0,5747.0
1721806895408627,20164.0,22991.0,5750.0
1721806895428777,20172.0,23003.0,5750.0
1721806895451882,20176.0,23019.0,5754.0
1721806895462526,20180.0,22968.0,5744.0
1721806895492129,20193.0,22857.0,5750.0
1721806895508759,20190.0,22732.0,5752.0
1721806895521814,20191.0,22648.0,5748.0
1721806895551594,20196.0,22609.0,5748.0
1721806895572123,20205.0,22672.0,5753.0
1721806895595187,20214.0,22843.0,5750.0
1721806895604982,20212.0,23138.0,5749.0
1721806895628474,20212.0,23384.0,5752.0
1721806895645482,20221.0,23687.0,5749.0
1721806895665299,20227.0,23808.0,5749.0
1721806895675153,20234.0,23752.0,5750.0
1721806895705220,20234.0,23605.0,5752.0
1721806895728566,20238.0,23391.0,5749.0
1721806895741811,20238.0,23145.0,5750.0
1721806895758907,20246.0,22990.0,5750.0
1721806895788877,20247.0,22846.0,5756.0
1721806895805498,20249.0,22693.0,5751.0
1721806895825521,20255.0,22780.0,5749.0
1721806895845377,20264.0,22714.0,5749.0
1721806895868505,20270.0,22774.0,5750.0
1721806895891883,20273.0,22886.0,5754.0
1721806895905127,20275.0,23003.0,5748.0
1721806895928504,20279.0,23076.0,5749.0
1721806895945473,20282.0,23084.0,5754.0
1721806895968574,20288.0,23072.0,5750.0
1721806895988738,20297.0,23104.0,5750.0
1721806896011850,20298.0,23034.0,5747.0
1721806896028708,20301.0,22971.0,5749.0
1721806896048743,20303.0,22898.0,5748.0
1721806896068793,20308.0,22884.0,5747.0
1721806896091908,20310.0,22855.0,5751.0
1721806896105209,20312.0,22852.0,5748.0
1721806896132135,20318.0,22813.0,5749.0
1721806896158707,20320.0,22933.0,5747.0
1721806896168241,20319.0,23057.0,5749.0
1721806896191875,20325.0,23183.0,5751.0
1721806896218709,20330.0,23415.0,5748.0
1721806896231710,20334.0,23732.0,5752.0
1721806896252181,20332.0,23644.0,5752.0
1721806896265121,20335.0,23739.0,5751.0
1721806896288570,20329.0,23542.0,5750.0
1721806896305539,20334.0,23291.0,5750.0
1721806896318566,20335.0,23104.0,5749.0
1721806896345543,20329.0,22897.0,5754.0
1721806896368518,20336.0,22746.0,5749.0
1721806896385523,20332.0,22657.0,5749.0
1721806896408654,20326.0,22611.0,5750.0
1721806896425572,20329.0,22657.0,5749.0
1721806896448643,20323.0,22650.0,5750.0
1721806896461901,20319.0,22853.0,5754.0
1721806896491902,20320.0,22831.0,5754.0
1721806896511748,20310.0,22921.0,5749.0
1721806896528833,20309.0,22993.0,5749.0
1721806896548795,20303.0,22990.0,5748.0
1721806896571865,20298.0,22990.0,5751.0
1721806896592164,20293.0,22948.0,5751.0
1721806896605249,20285.0,22953.0,5751.0
1721806896628776,20277.0,22918.0,5749.0
1721806896648625,20271.0,22875.0,5749.0
1721806896671789,20266.0,22763.0,5748.0
1721806896695268,20258.0,22851.0,5748.0
1721806896718630,20252.0,22878.0,5748.0
1721806896735440,20245.0,22875.0,5748.0
1721806896748406,20244.0,22951.0,5748.0
1721806896775352,20231.0,23144.0,5750.0
1721806896788601,20219.0,23392.0,5749.0
1721806896818726,20212.0,23589.0,5750.0
1721806896835431,20203.0,23754.0,5746.0
1721806896848474,20198.0,23671.0,5752.0
1721806896882146,20190.0,23633.0,5752.0
1721806896892149,20180.0,23414.0,5750.0
1721806896901761,20175.0,23173.0,5749.0
1721806896925339,20163.0,23008.0,5750.0
1721806896948763,20159.0,22850.0,5750.0
1721806896965602,20151.0,22659.0,5750.0
1721806896992142,20144.0,22631.0,5750.0
1721806897008784,20135.0,22665.0,5748.0
1721806897038804,20125.0,22738.0,5748.0
1721806897048300,20125.0,22772.0,5748.0
1721806897071924,20110.0,22635.0,5750.0
1721806897088757,20110.0,22875.0,5748.0
1721806897112020,20098.0,22873.0,5751.0
