 26376 18577 4121
22 26321 18595 4122
22 26314 18610 4129
21 26327 18625ÿ
Delay= 19552
Source file: EDA_withMillis_noAccel_Final.ino
Millis PPG EDA T_Skin
21 26358 18658 4126
22 26389 18651 4124
22 26381 18637 4123
22 26350 18629 4129
21 26371 18620 4122
23 26326 18611 4123
21 26334 18601 4126
22 26337 18599 4122
21 26319 18581 4125
23 26360 18573 4123
21 26395 18567 4120
22 26395 18551 4127
22 26386 18544 4124
22 26375 18534 4125
21 26347 18524 4127
23 26351 18515 4126
21 26323 18511 4124
22 26325 18503 4124
22 26325 18496 4123
22 26336 18489 4124
21 26351 18486 4124
23 26370 18482 4123
21 26415 18472 4127
22 26381 18469 4125
22 26354 18459 4123
22 26350 18454 4133
21 26344 18446 4124
23 26356 18448 4125
21 26338 18436 4124
22 26326 18433 4125
22 26358 18440 4122
22 26345 18420 4123
21 26354 18421 4122
23 26346 18412 4123
21 26348 18410 4125
22 26362 18405 4123
22 26375 18405 4124
22 26370 18394 4124
21 26342 18391 4127
23 26353 18389 4123
21 26370 18379 4122
22 26375 18377 4127
23 26376 18371 4124
21 26355 18365 4124
22 26351 18363 4123
22 26349 18361 4134
22 26367 18355 4123
21 26358 18344 4125
23 26321 18349 4131
21 26321 18344 4124
22 26349 18343 4126
22 26330 18340 4125
22 26327 18337 4122
21 26330 18331 4124
23 26355 18327 4124
21 26354 18322 4125
22 26371 18319 4125
22 26374 18316 4121
22 26389 18308 4125
21 26408 18303 4122
23 26398 18301 4124
21 26348 18299 4125
22 26331 18296 4122
22 26353 18294 4124
22 26366 18287 4125
21 26394 18291 4123
23 26407 18293 4126
21 26405 18287 4126
22 26372 18287 4127
22 26347 18283 4123
22 26328 18284 4128
21 26343 18284 4125
22 26343 18279 4125
22 26278 18275 4125
22 26282 18273 4128
21 26313 18272 4123
23 26371 18269 4124
21 26366 18270 4122
22 26366 18265 4121
22 26399 18261 4122
22 26360 18261 4126
21 26362 18259 4125
23 26366 18257 4127
21 26384 18254 4125
22 26403 18259 4124
23 26365 18252 4123
21 26356 18250 4133
22 26315 18247 4122
22 26343 18245 4125
22 26343 18248 4127
21 26348 18248 4125
23 26369 18254 4121
21 26347 18244 4122
22 26341 18240 4124
22 26338 18247 4126
22 26363 18238 4121
21 26377 18238 4122
23 26392 18238 4125
21 26392 18234 4121
22 26339 18235 4124
22 26307 18235 4122
22 26310 18232 4122
21 26299 18236 4122
23 26356 18228 4124
21 26362 18228 4125
22 26391 18229 4127
22 26387 18224 4122
22 26379 18223 4125
21 26372 18224 4127
23 26365 18220 4134
21 26338 18219 4123
22 26349 18217 4123
22 26339 18213 4137
22 26321 18209 4123
21 26298 18209 4129
23 26326 18204 4125
21 26386 18203 4121
22 26399 18201 4124
22 26431 18197 4123
22 26359 18193 4127
21 26346 18192 4129
23 26327 18191 4124
21 26327 18195 4123
22 26333 18190 4126
22 26331 18189 4123
22 26326 18190 4125
21 26335 18188 4126
23 26338 18191 4123
22 26364 18189 4129
21 26350 18185 4123
23 26343 18184 4125
21 26358 18181 4122
22 26338 18191 4126
22 26349 18182 4121
22 26383 18175 4128
21 26372 18179 4126
22 26379 18175 4125
22 26357 18176 4124
22 26316 18173 4129
21 26323 18176 4125
23 26377 18171 4124
21 26382 18171 4126
22 26387 18176 4129
22 26383 18173 4121
22 26387 18170 4122
21 26358 18175 4125
23 26339 18169 4125
21 26336 18172 4121
22 26331 18172 4124
22 26370 18169 4127
22 26390 18169 4127
21 26363 18166 4125
23 26359 18162 4121
21 26347 18162 4124
22 26364 18158 4123
22 26368 18167 4121
22 26351 18158 4121
21 26352 18162 4123
23 26347 18168 4122
21 26406 18158 4126
22 26357 18157 4124
22 26348 18154 4122
22 26347 18157 4123
21 26376 18157 4122
23 26355 18160 4123
21 26317 18159 4124
22 26328 18167 4128
22 26343 18153 4122
22 26332 18152 4125
22 26323 18152 4128
22 26327 18150 4123
22 26341 18151 4124
21 26350 18142 4123
23 26369 18147 4130
21 26392 18148 4124
22 26361 18148 4126
22 26345 18146 4137
22 26358 18147 4122
21 26351 18145 4125
23 26351 18147 4126
21 26371 18146 4125
22 26369 18145 4124
22 26375 18143 4123
22 26376 18143 4123
21 26379 18146 4127
23 26387 18144 4125
21 26354 18145 4123
22 26365 18144 4120
22 26323 18140 4121
22 26311 18140 4121
21 26308 18140 4122
23 26301 18139 4125
21 26308 18140 4123
22 26296 18139 4124
22 26339 18140 4124
22 26372 18135 4128
21 26396 18136 4123
23 26381 18135 4127
21 26375 18133 4127
22 26371 18144 4120
21 26390 18132 4124
23 26404 18133 4124
21 26365 18131 4128
22 26339 18130 4127
22 26346 18128 4124
22 26340 18129 4124
21 26340 18126 4124
23 26376 18124 4123
21 26356 18119 4123
22 26383 18126 4122
23 26381 18121 4123
21 26369 18120 4125
22 26354 18117 4126
22 26364 18115 4122
22 26366 18111 4128
21 26407 18107 4121
23 26380 18103 4124
21 26326 18095 4124
22 26320 18083 4124
22 26318 18094 4124
22 26356 18079 4121
21 26370 18069 4126
23 26348 18075 4125
21 26354 18048 4123
22 26361 18051 4123
22 26387 18050 4122
22 26361 18040 4121
21 26387 18035 4125
23 26359 18035 4121
21 26349 18030 4122
22 26325 18030 4128
22 26321 18022 4123
22 26346 18020 4124
21 26355 18017 4126
23 26325 18016 4125
21 26352 18016 4125
22 26377 18010 4127
22 26389 18011 4132
22 26349 18009 4126
21 26327 18009 4124
23 26344 18010 4136
21 26337 18010 4119
22 26347 18008 4125
22 26352 18007 4125
22 26376 18007 4124
21 26401 18006 4125
23 26371 18003 4126
21 26388 18003 4126
22 26387 17998 4124
22 26357 18004 4123
22 26333 18002 4124
21 26349 18004 4125
23 26365 18005 4124
22 26343 18004 4127
21 26345 18009 4126
23 26353 18012 4123
21 26385 18010 4126
22 26384 18017 4124
22 26354 18023 4125
22 26354 18024 4127
21 26341 18036 4124
23 26318 18036 4125
21 26310 18037 4122
22 26311 18051 4124
21 26292 18056 4129
23 26313 18065 4124
21 26319 18079 4126
22 26345 18079 4123
22 26361 18089 4128
22 26388 18101 4123
21 26349 18117 4125
23 26378 18126 4124
21 26405 18137 4125
22 26411 18154 4123
22 26351 18166 4122
22 26324 18179 4118
21 26294 18202 4124
23 26301 18213 4122
21 26344 18225 4128
22 26357 18252 4125
22 26394 18268 4125
22 26338 18286 4128
21 26316 18306 4126
23 26324 18332 4123
21 26312 18343 4126
22 26308 18362 4124
22 26338 18387 4125
22 26388 18390 4124
21 26411 18408 4125
23 26400 18422 4122
21 26399 18436 4122
22 26379 18451 4123
22 26370 18466 4126
22 26368 18475 4125
21 26323 18483 4124
23 26324 18497 4123
22 26332 18509 4124
21 26341 18517 4124
23 26336 18522 4124
21 26338 18530 4122
22 26351 18532 4122
22 26378 18540 4128
22 26347 18552 4125
21 26344 18549 4126
23 26370 18551 4129
21 26379 18554 4123
22 26384 18558 4125
22 26347 18556 4124
22 26319 18563 4124
21 26309 18561 4126
23 26281 18559 4123
21 26338 18557 4125
22 26379 18558 4129
22 26397 18558 4124
22 26416 18557 4124
21 26405 18551 4125
23 26349 18553 4123
21 26332 18549 4123
22 26280 18550 4123
22 26273 18544 4125
22 26339 18541 4129
21 26360 18535 4125
23 26350 18536 4125
21 26350 18524 4129
22 26353 18528 4125
22 26362 18518 4122
22 26363 18511 4126
21 26372 18508 4122
22 26390 18493 4124
22 26380 18487 4122
22 26385 18483 4123
21 26394 18465 4124
23 26387 18462 4125
21 26371 18451 4120
22 26377 18445 4124
22 26361 18436 4125
22 26351 18425 4127
21 26351 18419 4125
23 26363 18416 4125
22 26329 18405 4122
21 26357 18404 4126
23 26375 18394 4125
21 26373 18386 4130
22 26348 18390 4126
22 26339 18377 4125
22 26343 18376 4127
21 26344 18372 4124
23 26341 18374 4125
21 26330 18365 4121
22 26349 18361 4124
22 26384 18359 4121
22 26367 18351 4122
21 26356 18343 4124
23 26349 18331 4122
21 26354 18330 4121
22 26351 18328 4126
22 26354 18317 4124
22 26387 18309 4126
21 26360 18302 4127
23 26357 18295 4124
21 26328 18290 4121
22 26372 18284 4123
22 26389 18277 4125
22 26391 18269 4126
21 26360 18262 4123
23 26358 18256 4127
21 26325 18250 4127
22 26327 18246 4123
22 26336 18243 4136
22 26323 18240 4124
21 26328 18239 4126
23 26358 18238 4125
21 26379 18237 4123
22 26391 18239 4123
22 26399 18237 4124
22 26373 18240 4122
21 26354 18245 4128
23 26323 18250 4123
21 26311 18262 4123
22 26305 18265 4125
23 26328 18276 4123
21 26337 18284 4124
22 26349 18300 4127
22 26365 18318 4125
22 26324 18327 4125
21 26379 18344 4124
23 26392 18363 4122
21 26378 18386 4125
22 26347 18405 4122
22 26342 18422 4123
22 26351 18444 4131
21 26339 18477 4121
22 26329 18495 4127
22 26318 18514 4124
22 26299 18542 4133
21 26306 18565 4124
23 26284 18585 4125
21 26269 18611 4122
22 26291 18634 4123
22 26313 18656 4124
22 26323 18678 4126
21 26384 18706 4124
